refid	region	sector	local_x	local_z	world_x	world_z	height
5858	26694	70x104	508.05	527.73	-164611.95	29327.73	-162.07
5858	26694	70x104	25.24	782.4	-165094.76	29582.4	-140.25
5858	26693	69x104	1530.04	152.74	-165509.96	28952.74	-191.4
5858	26693	69x104	1863.43	1387.92	-165176.57	30187.92	-20.63
5858	26694	70x104	839.55	1572.94	-164280.45	30372.94	-120.7
5858	26950	70x105	1143.74	281.76	-163976.26	31001.76	64.94
5858	26950	70x105	1293.43	860.4	-163826.57	31580.4	12.94
5858	26950	70x105	574.4	795.16	-164545.6	31515.16	1.48
5858	26950	70x105	325.18	240.94	-164794.82	30960.94	0
5858	26949	69x105	1690.71	40.87	-165349.29	30760.87	0.22
5858	26949	69x105	1738.24	940.93	-165301.76	31660.93	-9.59
5858	26950	70x105	1236.34	1773.66	-163883.66	32493.66	123.77
5858	27206	70x106	928.07	376.87	-164191.93	33016.87	139.91
5858	27206	70x106	1590.27	374.78	-163529.73	33014.78	103.2
5858	27206	70x106	1346.72	749.52	-163773.28	33389.52	102.26
5858	27206	70x106	759.9	909.21	-164360.1	33549.21	-10.52
5858	27206	70x106	382.02	344.22	-164737.98	32984.22	14.22
5858	26950	70x105	486.75	1664.8	-164633.25	32384.8	9.08
5858	27205	69x106	1757.29	122.15	-165282.71	32762.15	-8.56
5858	27205	69x106	1876.13	684.8	-165163.87	33324.8	-53.9
5858	27205	69x106	1486.2	1059.93	-165553.8	33699.93	15.54
5858	27205	69x106	1773.2	1618.87	-165266.8	34258.87	-19.62
5858	27205	69x106	1356.11	1887.28	-165683.89	34527.28	-8.85
5858	27461	69x107	1799.88	251.46	-165240.12	34811.46	-82.59
5858	27206	70x106	354.62	1801.53	-164765.38	34441.53	-69.79
5858	27206	70x106	292.16	1229.32	-164827.84	33869.32	-13.56
5858	27206	70x106	804.03	1356.38	-164315.97	33996.38	-68.96
5858	27206	70x106	971.22	1872.67	-164148.78	34512.67	-135.81
5858	27206	70x106	1465.8	1532.16	-163654.2	34172.16	-112.63
5858	27207	71x106	216.3	1533.8	-162983.7	34173.8	-110.43
5858	27206	70x106	1836.72	1024.81	-163283.28	33664.81	15.05
5858	27207	71x106	293.32	559.75	-162906.68	33199.75	0.9
5858	27463	71x107	591.51	43.98	-162608.49	34603.98	-132.47
5858	27463	71x107	796.68	1815.04	-162403.32	36375.04	-147.74
5858	27719	71x108	640.93	592.46	-162559.07	37072.46	-184.45
5858	27461	69x107	1531.33	1752.16	-165508.67	36312.16	-85.73
5858	26693	69x104	1375.06	826.44	-165664.94	29626.44	-105.55
5858	26949	69x105	1337.91	1447.97	-165702.09	32167.97	0
5858	27461	69x107	1433.89	652.15	-165606.11	35212.15	-4.91
5858	27717	69x108	1711.57	719.52	-165328.43	37199.52	-162.1
5858	27718	70x108	317.74	1329.71	-164802.26	37809.71	-192.43
5858	26694	70x104	529.37	1107.1	-164590.63	29907.1	-153.58
5858	27463	71x107	408.79	937.11	-162791.21	35497.11	-172.4
5858	27718	70x108	959.41	1000.43	-164160.59	37480.43	-168.97
5858	27718	70x108	1178.23	995.77	-163941.77	37475.77	-168.93
5858	27718	70x108	1432.93	992.31	-163687.07	37472.31	-170.01
5858	27718	70x108	1554.34	1005.63	-163565.66	37485.63	-168.67
5858	27718	70x108	692.18	976.63	-164427.82	37456.63	-167.85
5858	27718	70x108	562.95	979.33	-164557.05	37459.33	-168.38
5858	27462	70x107	795.26	338.67	-164324.74	34898.67	-145.68
5858	27462	70x107	1140.91	336.95	-163979.09	34896.95	-159.07
5858	27462	70x107	1011.9	971.64	-164108.1	35531.64	-158.63
5858	27462	70x107	1063.36	1566.37	-164056.64	36126.37	-164.34
5858	27718	70x108	894.77	179.22	-164225.23	36659.22	-163.09
5858	27718	70x108	1388.07	220.92	-163731.93	36700.92	-171.82
5858	27718	70x108	1156.47	620.94	-163963.53	37100.94	-169.9
5858	27718	70x108	661.91	650.94	-164458.09	37130.94	-167.01
5858	27718	70x108	342.44	322.15	-164777.56	36802.15	-165.66
5858	27462	70x107	570.26	1406.74	-164549.74	35966.74	-150.81
5858	27462	70x107	1563.21	1308.18	-163556.79	35868.18	-161.89
5858	27462	70x107	1537.81	791.08	-163582.19	35351.08	-172.41
5858	27462	70x107	476.66	707.82	-164643.34	35267.82	-139.61
5858	27718	70x108	1645.81	601.29	-163474.19	37081.29	-171.4
5858	27462	70x107	1479.05	1760.83	-163640.95	36320.83	-166.15
5858	27462	70x107	1177.8	615.78	-163942.2	35175.78	-155.87
5858	27719	71x108	76.17	1242.35	-163123.83	37722.35	-211.83
5858	27718	70x108	1365.29	1372.55	-163754.71	37852.55	-190.71
5858	27718	70x108	826.3	1410.18	-164293.7	37890.18	-200.71
5858	27206	70x106	1786.25	1821.66	-163333.75	34461.66	-152.43
