refid	region	sector	local_x	local_z	world_x	world_z	height
5859	27718	70x108	1628.73	580.22	-163491.27	37060.22	-170.99
5859	27718	70x108	1135.83	606.62	-163984.17	37086.62	-169.79
5859	27718	70x108	682.68	651.66	-164437.32	37131.66	-166.93
5859	27718	70x108	369.57	322.26	-164750.43	36802.26	-165.79
5859	27718	70x108	917.02	187.53	-164202.98	36667.53	-163.39
5859	27718	70x108	1401.55	240.32	-163718.45	36720.32	-172.08
5859	27462	70x107	1081.15	1584.48	-164038.85	36144.48	-164.35
5859	27462	70x107	1568.38	1328.71	-163551.62	35888.71	-162.21
5859	27462	70x107	584.26	1415.27	-164535.74	35975.27	-150.98
5859	27462	70x107	993.48	985.3	-164126.52	35545.3	-158.51
5859	27462	70x107	492.95	723.1	-164627.05	35283.1	-139.2
5859	27462	70x107	1540.69	812.51	-163579.31	35372.51	-172.66
5859	27462	70x107	1463.46	1766.95	-163656.54	36326.95	-165.06
5859	27462	70x107	1156.2	619.32	-163963.8	35179.32	-155.35
