refid	region	sector	local_x	local_z	world_x	world_z	height
5862	27717	69x108	1058.63	1753.87	-165981.37	38233.87	-200.49
5862	27973	69x109	479.95	57.42	-166560.05	38457.42	-193.52
5862	27973	69x109	119.22	247.63	-166920.78	38647.63	-166.21
5862	27972	68x109	1705.61	663.45	-167254.39	39063.45	-154.13
5862	27716	68x108	1780.85	1614.66	-167179.15	38094.66	-10.3
5862	27717	69x108	127.92	1384.56	-166912.08	37864.56	-30.13
5862	27717	69x108	606.38	1074.15	-166433.62	37554.15	-97.96
5862	27717	69x108	50.08	865.6	-166989.92	37345.6	4.67
5862	27717	69x108	586.36	639.51	-166453.64	37119.51	-58.98
5862	27716	68x108	1866.47	224.97	-167093.53	36704.97	0
5862	27461	69x107	621.36	1873.48	-166418.64	36433.48	-23.74
5862	27461	69x107	144.34	1516.96	-166895.66	36076.96	0
5862	27461	69x107	737.93	1224.47	-166302.07	35784.47	0
5862	27460	68x107	1662.16	1101.88	-167297.84	35661.88	0
5862	27461	69x107	271.23	899.71	-166768.77	35459.71	0
5862	27460	68x107	1791.2	708.3	-167168.8	35268.3	0
5862	27461	69x107	331.45	448.06	-166708.55	35008.06	0
5862	27205	69x106	497.05	1879.85	-166542.95	34519.85	0
5862	27460	68x107	1879.38	131.91	-167080.62	34691.91	0
5862	27205	69x106	372.31	1428.2	-166667.69	34068.2	0
5862	27204	68x106	1802.9	1553.82	-167157.1	34193.82	6.52
5862	27204	68x106	1812.95	1102.59	-167147.05	33742.59	6.51
5862	27205	69x106	694.44	891.3	-166345.56	33531.3	15.22
5862	27205	69x106	149.89	674.46	-166890.11	33314.46	23.18
5862	27205	69x106	580.85	342.69	-166459.15	32982.69	18.32
5862	27205	69x106	145.16	222.24	-166894.84	32862.24	27.86
5862	26949	69x105	563.63	1901.98	-166476.37	32621.98	-14.56
5862	26949	69x105	15.59	1497.77	-167024.41	32217.77	16.31
5862	26949	69x105	571.32	1289.53	-166468.68	32009.53	-21.95
5862	26949	69x105	263.97	1025.49	-166776.03	31745.49	-28.29
5862	26949	69x105	524.32	611.77	-166515.68	31331.77	-2.22
5862	26949	69x105	20.04	429.05	-167019.96	31149.05	-0.07
5862	26949	69x105	348.47	127.66	-166691.53	30847.66	-0.13
5862	26693	69x104	17.41	1705.44	-167022.59	30505.44	-31.14
5862	26693	69x104	401.26	1386.51	-166638.74	30186.51	-65.49
5862	26693	69x104	750.3	1686.31	-166289.7	30486.31	-20.12
5862	26949	69x105	849.62	232.32	-166190.38	30952.32	4.68
5862	26949	69x105	907.92	876.61	-166132.08	31596.61	4.61
5862	26693	69x104	36.73	989.17	-167003.27	29789.17	-85.96
5862	26693	69x104	563.29	904.9	-166476.71	29704.9	-116.98
5862	26693	69x104	10.01	443.76	-167029.99	29243.76	-126.01
