refid	region	sector	local_x	local_z	world_x	world_z	height
5853	26700	76x104	1046.92	1194.78	-152553.08	29994.78	-33.48
5853	26700	76x104	471.76	939.89	-153128.24	29739.89	-78.4
5853	26700	76x104	340.36	1555.11	-153259.64	30355.11	-144.86
5853	26699	75x104	1590.01	1183.05	-153929.99	29983.05	-138.21
5853	26699	75x104	1526.36	1876.49	-153993.64	30676.49	-147.35
5853	26699	75x104	830.18	1670.7	-154689.82	30470.7	-137.56
5853	26955	75x105	963.76	440.62	-154556.24	31160.62	-153.05
5853	26699	75x104	203.58	1911.3	-155316.42	30711.3	-140.08
5853	26955	75x105	305.85	660.58	-155214.15	31380.58	-135.5
5853	26698	74x104	1613.89	1599.4	-155826.11	30399.4	-112.47
5853	26698	74x104	1079.64	1919.7	-156360.36	30719.7	-163.42
5853	26698	74x104	487.3	1584.45	-156952.7	30384.45	-185.64
5853	26954	74x105	602.54	379.62	-156837.46	31099.62	-212.7
5853	26954	74x105	144.64	769.64	-157295.36	31489.64	-188.74
5853	26954	74x105	1104.7	858.96	-156335.3	31578.96	-173.76
5853	26954	74x105	1823.02	1208.73	-155616.98	31928.73	-132.75
5853	26955	75x105	686.69	1465.87	-154833.31	32185.87	-43.12
5853	26955	75x105	1191.37	907.15	-154328.63	31627.15	-113.21
5853	27211	75x106	319.44	63.06	-155200.56	32703.06	21.9
5853	26954	74x105	1599.32	1852.2	-155840.68	32572.2	-83.88
5853	26954	74x105	988.35	1841.06	-156451.65	32561.06	-164.39
5853	26954	74x105	301.33	1797.24	-157138.67	32517.24	-171.7
5853	27210	74x106	617.08	520.89	-156822.92	33160.89	-168.66
5853	27210	74x106	312.98	1141.0	-157127.02	33781.0	-179.01
5853	27210	74x106	1011.46	1143.51	-156428.54	33783.51	-128.3
5853	27210	74x106	1408.81	440.99	-156031.19	33080.99	23.2
5853	27210	74x106	1654.78	988.29	-155785.22	33628.29	27.66
5853	27211	75x106	266.73	1499.74	-155253.27	34139.74	-54.38
5853	27211	75x106	796.19	849.75	-154723.81	33489.75	12.13
5853	27210	74x106	1480.09	1850.47	-155959.91	34490.47	-171.43
5853	27466	74x107	507.94	93.43	-156932.06	34653.43	-178.98
5853	27465	73x107	1750.35	209.44	-157609.65	34769.44	-165.73
5853	27209	73x106	1905.36	510.93	-157454.64	33150.93	-179.12
5853	27466	74x107	1129.92	634.75	-156310.08	35194.75	-179.83
5853	27466	74x107	653.68	1320.59	-156786.32	35880.59	-165.71
5853	27722	74x108	1511.81	22.18	-155928.19	36502.18	-172.06
5853	27722	74x108	1338.1	749.89	-156101.9	37229.89	-173.97
5853	27723	75x108	306.64	113.03	-155213.36	36593.03	-111.65
5853	27723	75x108	1019.87	212.02	-154500.13	36692.02	-25.11
5853	27723	75x108	405.98	847.23	-155114.02	37327.23	-134.95
5853	27723	75x108	1140.84	984.29	-154379.16	37464.29	-74.54
5853	27723	75x108	1830.29	954.45	-153689.71	37434.45	26.43
5853	27723	75x108	1840.53	1637.11	-153679.47	38117.11	0.7
5853	27979	75x109	1209.74	147.44	-154310.26	38547.44	0.34
5853	27979	75x109	1878.52	450.46	-153641.48	38850.46	6.03
5853	27979	75x109	1395.33	1085.06	-154124.67	39485.06	10.91
5853	27979	75x109	292.09	1221.34	-155227.91	39621.34	-29.72
5853	27979	75x109	592.23	529.69	-154927.77	38929.69	4.37
5853	27723	75x108	672.08	1633.43	-154847.92	38113.43	-7.18
5853	27722	74x108	1656.91	1703.51	-155783.09	38183.51	-166.56
5853	27978	74x109	1665.69	677.91	-155774.31	39077.91	-81.75
5853	27978	74x109	1304.59	1323.66	-156135.41	39723.66	-141.94
5853	28234	74x110	1868.1	60.65	-155571.9	40380.65	-19.6
5853	28234	74x110	1091.83	196.99	-156348.17	40516.99	-133.26
5853	28235	75x110	829.01	116.63	-154690.99	40436.63	28.12
5853	28235	75x110	1873.06	84.66	-153646.94	40404.66	-1.4
5853	28236	76x110	816.79	47.15	-152783.21	40367.15	11.14
5853	27980	76x109	536.55	1444.85	-153063.45	39844.85	-59.77
5853	28236	76x110	1433.24	96.61	-152166.76	40416.61	44.55
5853	28237	77x110	102.27	647.42	-151577.73	40967.42	138.09
5853	28237	77x110	719.93	254.22	-150960.07	40574.22	137.87
5853	27981	77x109	274.98	1895.53	-151405.02	40295.53	123.45
5853	27981	77x109	813.42	1557.6	-150866.58	39957.6	13.73
5853	27981	77x109	1485.19	1840.74	-150194.81	40240.74	228.29
5853	27982	78x109	177.82	1842.56	-149582.18	40242.56	204.23
5853	27982	78x109	3.04	1254.7	-149756.96	39654.7	6.09
5853	28238	78x110	1070.79	550.06	-148689.21	40870.06	247.88
5853	28238	78x110	830.91	106.33	-148929.09	40426.33	247.25
5853	27982	78x109	1399.16	1915.9	-148360.84	40315.9	239.85
5853	28238	78x110	1734.77	588.45	-148025.23	40908.45	352.95
5853	28239	79x110	141.26	63.14	-147698.74	40383.14	176.73
5853	27982	78x109	1826.57	1257.02	-147933.43	39657.02	207.27
5853	27983	79x109	534.85	1461.77	-147305.15	39861.77	113.69
5853	27983	79x109	1225.85	1782.28	-146614.15	40182.28	176.2
5853	28240	80x110	11.28	165.28	-145908.72	40485.28	205.84
5853	27983	79x109	1886.28	1404.04	-145953.72	39804.04	182.87
5853	27984	80x109	806.1	1514.05	-145113.9	39914.05	234.79
5853	28240	80x110	1370.21	86.11	-144549.79	40406.11	251.29
5853	27984	80x109	1610.97	1449.86	-144309.03	39849.86	343.77
5853	27985	81x109	166.86	1004.95	-143833.14	39404.95	442.18
