refid	region	sector	local_x	local_z	world_x	world_z	height
5871	26181	69x102	1890.61	1094.7	-165149.39	26054.7	-34.68
5871	26441	73x103	1654.1	1125.79	-157705.9	28005.79	-84.37
5871	25414	70x99	1249.93	1906.13	-163870.07	21106.13	-3.65
5871	25416	72x99	258.0	1910.41	-161022.0	21110.41	0
5871	25157	69x98	1844.07	1447.81	-165195.93	18727.81	196.47
5871	25161	73x98	930.72	1614.0	-158429.28	18894.0	-4.39
5871	25929	73x101	515.92	382.89	-158844.08	23422.89	-11.14
5871	25674	74x100	385.69	1294.15	-157054.31	22414.15	0
5871	25926	70x101	586.84	936.75	-164533.16	23976.75	0
5871	26443	75x103	762.5	832.4	-154757.5	27712.4	-38.93
5871	26186	74x102	1049.7	664.7	-156390.3	25624.7	0
5871	26187	75x102	1879.52	882.88	-153640.48	25842.88	0
5871	25931	75x101	1476.85	500.86	-154043.15	23540.86	-2.56
