refid	region	sector	local_x	local_z	world_x	world_z	height
5865	26182	70x102	1746.17	1461.31	-163373.83	26421.31	-8.68
5865	26183	71x102	1864.78	1327.65	-161335.22	26287.65	7.79
5865	26183	71x102	1836.91	1318.65	-161363.09	26278.65	7.75
5865	26184	72x102	370.09	851.73	-160909.91	25811.73	16.9
5865	26184	72x102	351.52	840.19	-160928.48	25800.19	16.2
5865	26183	71x102	867.56	635.6	-162332.44	25595.6	-10.89
5865	26183	71x102	849.15	631.0	-162350.85	25591.0	-11.73
5865	26439	71x103	248.17	367.05	-162951.83	27247.05	-9.79
5865	26439	71x103	262.35	355.25	-162937.65	27235.25	-9.42
5865	26184	72x102	1551.84	1087.4	-159728.16	26047.4	-4.06
5865	26184	72x102	1560.22	1062.58	-159719.78	26022.58	-4.06
5865	26183	71x102	556.12	1234.39	-162643.88	26194.39	-2.83
5865	26183	71x102	577.73	1238.71	-162622.27	26198.71	-3.1
5865	26183	71x102	124.67	513.88	-163075.33	25473.88	-8.76
5865	26183	71x102	199.67	946.32	-163000.33	25906.32	-8.29
5865	26183	71x102	482.22	767.84	-162717.78	25727.84	-11.11
5865	26183	71x102	220.85	1439.36	-162979.15	26399.36	-5.16
5865	26183	71x102	46.14	1875.18	-163153.86	26835.18	1.28
5865	26438	70x103	1820.42	349.54	-163299.58	27229.54	-4.74
5865	26438	70x103	1559.04	102.7	-163560.96	26982.7	-5.4
5865	26183	71x102	533.98	1647.26	-162666.02	26607.26	0
5865	26183	71x102	853.54	1603.03	-162346.46	26563.03	1.01
5865	26440	72x103	816.21	397.71	-160463.79	27277.71	-0.01
5865	26440	72x103	1483.35	385.99	-159796.65	27265.99	-0.15
5865	26440	72x103	1794.39	125.77	-159485.61	27005.77	0
5865	26441	73x103	115.02	121.86	-159244.98	27001.86	0
5865	26185	73x102	326.17	1601.56	-159033.83	26561.56	0.72
5865	26185	73x102	376.97	893.3	-158983.03	25853.3	1.3
5865	26185	73x102	371.3	556.99	-158988.7	25516.99	0
5865	26184	72x102	1870.59	419.76	-159409.41	25379.76	4.29
5865	26184	72x102	1641.43	697.39	-159638.57	25657.39	3.87
5865	26184	72x102	924.65	8.85	-160355.35	24968.85	16.08
5865	26184	72x102	235.89	55.03	-161044.11	25015.03	9.65
5865	26183	71x102	1894.57	61.22	-161305.43	25021.22	11.76
5865	26184	72x102	107.38	418.48	-161172.62	25378.48	20.37
5865	26183	71x102	1842.74	789.31	-161357.26	25749.31	18.88
5865	26183	71x102	1468.58	1113.11	-161731.42	26073.11	7.19
5865	26439	71x103	1480.23	29.9	-161719.77	26909.9	0.05
5865	26439	71x103	1042.04	96.51	-162157.96	26976.51	-0.36
5865	26183	71x102	1180.3	1329.06	-162019.7	26289.06	3.55
5865	26183	71x102	950.29	1138.64	-162249.71	26098.64	-3.69
5865	26183	71x102	1182.18	884.8	-162017.82	25844.8	6.11
5865	26182	70x102	1817.07	1108.92	-163302.93	26068.92	-2.51
5865	26439	71x103	782.2	200.73	-162417.8	27080.73	-3.91
5865	26439	71x103	648.95	637.43	-162551.05	27517.43	-9.24
5865	26439	71x103	1059.35	536.24	-162140.65	27416.24	-7.6
5865	26184	72x102	1023.59	1421.31	-160256.41	26381.31	3.97
5865	26184	72x102	1191.77	1734.87	-160088.23	26694.87	2.34
5865	26440	72x103	993.85	115.21	-160286.15	26995.21	1.18
5865	26184	72x102	1622.45	1686.18	-159657.55	26646.18	0
5865	26184	72x102	1867.86	1595.57	-159412.14	26555.57	0
5865	26184	72x102	1160.0	520.95	-160120.0	25480.95	2.9
5865	26184	72x102	794.28	853.01	-160485.72	25813.01	5.39
5865	26184	72x102	1116.41	1110.19	-160163.59	26070.19	1.78
5865	26440	72x103	127.56	66.67	-161152.44	26946.67	-2.57
5865	26183	71x102	1716.19	376.37	-161483.81	25336.37	16.52
5865	26183	71x102	1033.55	262.46	-162166.45	25222.46	2.07
5865	26440	72x103	615.99	35.09	-160664.01	26915.09	3.99
5865	26184	72x102	617.66	1433.85	-160662.34	26393.85	7.7
5865	26184	72x102	100.63	1655.39	-161179.37	26615.39	3.58
5865	26183	71x102	1490.42	1501.02	-161709.58	26461.02	1.74
5865	26183	71x102	1368.79	206.21	-161831.21	25166.21	10.54
5865	26440	72x103	1318.65	143.46	-159961.35	27023.46	-0.01
5865	26185	73x102	27.06	1159.01	-159332.94	26119.01	-4.07
5865	26184	72x102	342.63	1235.69	-160937.37	26195.69	11.99
