refid	region	sector	local_x	local_z	world_x	world_z	height
5866	26699	75x104	424.27	347.16	-155095.73	29147.16	-132.65
5866	25932	76x101	1102.83	251.66	-152497.17	23291.66	0
5866	25675	75x100	919.5	1585.44	-154600.5	22705.44	-7.16
5866	25674	74x100	1238.87	1302.87	-156201.13	22422.87	-0.33
5866	25932	76x101	202.64	1508.37	-153397.36	24548.37	-4.06
5866	25931	75x101	317.85	589.34	-155202.15	23629.34	0
5866	25675	75x100	68.11	177.22	-155451.89	21297.22	0
5866	25418	74x99	943.4	985.68	-156496.6	20185.68	0
5866	25418	74x99	1281.09	1615.32	-156158.91	20815.32	0
5866	25418	74x99	1568.4	859.56	-155871.6	20059.56	-29.38
5866	25419	75x99	120.87	1059.55	-155399.13	20259.55	0
5866	25419	75x99	585.19	1210.81	-154934.81	20410.81	0
5866	25419	75x99	542.7	546.13	-154977.3	19746.13	-5.22
5866	25419	75x99	1207.77	225.97	-154312.23	19425.97	-3.62
5866	25419	75x99	1383.66	626.9	-154136.34	19826.9	0
5866	25420	76x99	1580.52	1489.56	-152019.48	20689.56	-19.16
5866	25676	76x100	1604.62	703.77	-151995.38	21823.77	-70.83
5866	25676	76x100	778.51	1190.61	-152821.49	22310.61	-5.21
5866	25676	76x100	128.48	1615.93	-153471.52	22735.93	-0.31
5866	25675	75x100	1584.16	740.03	-153935.84	21860.03	0
5866	25675	75x100	163.08	870.18	-155356.92	21990.18	0
5866	25420	76x99	951.57	961.07	-152648.43	20161.07	-0.14
5866	25676	76x100	1677.17	1653.69	-151922.83	22773.69	-123.11
