refid	region	sector	local_x	local_z	world_x	world_z	height
5851	26956	76x105	263.2	1781.98	-153336.8	32501.98	38.83
5851	27212	76x106	539.91	804.67	-153060.09	33444.67	0
5851	27212	76x106	1323.02	1700.95	-152276.98	34340.95	12.76
5851	27211	75x106	1715.55	661.12	-153804.45	33301.12	-3.26
5851	27212	76x106	6.39	1669.94	-153593.61	34309.94	-20.58
5851	27468	76x107	360.46	581.33	-153239.54	35141.33	0
5851	27468	76x107	1424.13	1135.99	-152175.87	35695.99	0.03
5851	27468	76x107	377.13	1729.28	-153222.87	36289.28	3.61
5851	27724	76x108	807.1	696.46	-152792.9	37176.46	31.69
5851	27724	76x108	1748.48	674.13	-151851.52	37154.13	7.98
5851	27725	77x108	224.02	416.11	-151455.98	36896.11	10.53
5851	27724	76x108	1244.03	1596.34	-152355.97	38076.34	22.48
5851	27725	77x108	355.72	1411.86	-151324.28	37891.86	0
5851	27725	77x108	1269.3	873.5	-150410.7	37353.5	0
5851	27980	76x109	1432.15	627.61	-152167.85	39027.61	75.54
5851	27981	77x109	560.72	398.62	-151119.28	38798.62	0
5851	27981	77x109	1186.38	83.13	-150493.62	38483.13	0
5851	27726	78x108	162.46	894.96	-149597.54	37374.96	0
5851	27982	78x109	102.01	226.29	-149657.99	38626.29	4.06
5851	27726	78x108	911.63	1553.35	-148848.37	38033.35	40.57
5851	27726	78x108	989.76	407.24	-148770.24	36887.24	0.87
5851	27982	78x109	1496.94	269.61	-148263.06	38669.61	102.76
5851	27984	80x109	30.46	232.05	-145889.54	38632.05	178.84
5851	27983	79x109	1029.66	635.06	-146810.34	39035.06	82.56
5851	27984	80x109	929.31	216.72	-144990.69	38616.72	441.21
