refid	region	sector	local_x	local_z	world_x	world_z	height
5870	24904	72x97	1077.72	352.1	-160202.28	15712.1	-230.06
5870	24904	72x97	1546.42	812.69	-159733.58	16172.69	-198.44
5870	24905	73x97	343.42	1008.66	-159016.58	16368.66	-145.42
5870	24905	73x97	683.51	105.64	-158676.49	15465.64	-242.56
5870	24905	73x97	901.73	579.18	-158458.27	15939.18	-180.21
5870	24905	73x97	1628.18	234.17	-157731.82	15594.17	-199.71
5870	24649	73x96	1309.64	1544.23	-158050.36	14984.23	-248.39
5870	24650	74x96	56.89	1488.14	-157383.11	14928.14	-250.88
5870	24650	74x96	802.02	1658.23	-156637.98	15098.23	-249.74
5870	24906	74x97	308.19	133.58	-157131.81	15493.58	-218.24
5870	24905	73x97	1626.12	1887.98	-157733.88	17247.98	-147.02
5870	24906	74x97	236.65	1385.2	-157203.35	16745.2	-234.2
5870	24906	74x97	143.5	734.85	-157296.5	16094.85	-218.22
5870	24906	74x97	750.75	611.49	-156689.25	15971.49	-246.74
5870	24906	74x97	676.97	1226.72	-156763.03	16586.72	-244.59
5870	25162	74x98	322.81	66.12	-157117.19	17346.12	-249.01
5870	25161	73x98	1814.11	546.75	-157545.89	17826.75	-197.1
5870	25162	74x98	344.49	726.65	-157095.51	18006.65	-244.77
5870	25161	73x98	1745.74	1179.87	-157614.26	18459.87	-133.34
5870	25162	74x98	459.49	1598.74	-156980.51	18878.74	-197.33
5870	25162	74x98	803.11	1097.86	-156636.89	18377.86	-242.16
5870	25162	74x98	1273.84	615.94	-156166.16	17895.94	-248.94
5870	25162	74x98	758.23	236.76	-156681.77	17516.76	-250.81
5870	25163	75x98	93.64	669.33	-155426.36	17949.33	-245.52
5870	25162	74x98	1313.54	1548.04	-156126.46	18828.04	-199.66
5870	25162	74x98	1617.33	1161.48	-155822.67	18441.48	-219.38
5870	25163	75x98	1522.62	805.07	-153997.38	18085.07	-203.34
5870	25163	75x98	1892.23	389.9	-153627.77	17669.9	-240.33
5870	25164	76x98	843.91	1767.73	-152756.09	19047.73	-162.5
5870	25164	76x98	892.21	1251.72	-152707.79	18531.72	-239.5
5870	25164	76x98	1394.41	1663.7	-152205.59	18943.7	-211.36
5870	25421	77x99	281.27	278.74	-151398.73	19478.74	-124.38
5870	25420	76x99	1755.47	84.42	-151844.53	19284.42	-167.71
5870	25165	77x98	384.72	1666.11	-151295.28	18946.11	-213.22
5870	25164	76x98	1805.73	1306.12	-151794.27	18586.12	-243.67
5870	25164	76x98	399.06	901.95	-153200.94	18181.95	-225.93
5870	25164	76x98	148.49	1350.92	-153451.51	18630.92	-54.64
