refid	region	sector	local_x	local_z	world_x	world_z	height
5855	28232	72x110	98.95	344.0	-161181.05	40664.0	1.95
5855	27976	72x109	710.46	1829.72	-160569.54	40229.72	48.03
5855	27976	72x109	289.35	1038.76	-160990.65	39438.76	5.82
5855	27976	72x109	488.05	213.89	-160791.95	38613.89	-53.09
5855	27720	72x108	901.66	1729.28	-160378.34	38209.28	14.73
5855	27720	72x108	433.44	1221.1	-160846.56	37701.1	-135.73
5855	27720	72x108	59.96	1707.48	-161220.04	38187.48	-147.97
5855	27975	71x109	1561.29	125.4	-161638.71	38525.4	-132.78
5855	27975	71x109	1112.89	127.17	-162087.11	38527.17	-158.56
5855	27975	71x109	1584.95	874.9	-161615.05	39274.9	-71.26
5855	27975	71x109	955.89	567.33	-162244.11	38967.33	-185.16
5855	27975	71x109	299.43	644.72	-162900.57	39044.72	-166.15
5855	27975	71x109	697.65	1495.94	-162502.35	39895.94	-136.49
5855	27975	71x109	1019.84	1562.51	-162180.16	39962.51	-78.97
5855	28231	71x110	794.25	37.93	-162405.75	40357.93	-70.59
5855	28231	71x110	1115.98	383.71	-162084.02	40703.71	-5.99
5855	28231	71x110	864.1	673.97	-162335.9	40993.97	26.11
5855	28231	71x110	139.8	250.18	-163060.2	40570.18	-37.32
5855	28230	70x110	1730.7	500.74	-163389.3	40820.74	-31.4
5855	28230	70x110	1746.63	164.3	-163373.37	40484.3	-68.11
5855	28230	70x110	984.27	495.6	-164135.73	40815.6	-52.48
5855	28230	70x110	319.99	415.32	-164800.01	40735.32	-69.45
5855	28229	69x110	1906.54	194.16	-165133.46	40514.16	-87.43
5855	27973	69x109	1771.97	1654.15	-165268.03	40054.15	-183.77
5855	27973	69x109	1548.54	1358.26	-165491.46	39758.26	-194.73
5855	27974	70x109	313.05	1395.24	-164806.95	39795.24	-208.3
5855	27974	70x109	413.95	996.97	-164706.05	39396.97	-219.95
5855	27974	70x109	1212.5	1602.04	-163907.5	40002.04	-186.24
5855	27974	70x109	933.45	1885.9	-164186.55	40285.9	-180.81
5855	27974	70x109	526.92	1861.94	-164593.08	40261.94	-192.83
5855	28229	69x110	879.47	125.03	-166160.53	40445.03	-165.72
5855	27973	69x109	798.44	1566.27	-166241.56	39966.27	-197.04
5855	28232	72x110	779.15	518.03	-160500.85	40838.03	30.87
5855	27975	71x109	134.44	1683.05	-163065.56	40083.05	-144.81
5855	27974	70x109	1391.5	683.79	-163728.5	39083.79	-188.62
5855	27976	72x109	205.24	570.25	-161074.76	38970.25	-70.66
5855	27720	72x108	1241.78	782.33	-160038.22	37262.33	-75.09
5855	27464	72x107	794.57	1732.39	-160485.43	36292.39	-186.82
5855	27464	72x107	1000.8	835.95	-160279.2	35395.95	-197
5855	27208	72x106	493.16	652.64	-160786.84	33292.64	-174.02
5855	27208	72x106	87.33	505.89	-161192.67	33145.89	-159.82
5855	27207	71x106	1687.93	803.57	-161512.07	33443.57	-138.67
5855	27208	72x106	295.54	1280.0	-160984.46	33920.0	-193.2
5855	27207	71x106	1769.16	1908.32	-161430.84	34548.32	-177.75
5855	27207	71x106	1408.93	1266.62	-161791.07	33906.62	-153.35
5855	26951	71x105	1474.86	1767.96	-161725.14	32487.96	-47.49
5855	26952	72x105	69.05	1342.84	-161210.95	32062.84	-58.59
5855	26951	71x105	1747.34	885.8	-161452.66	31605.8	-116.46
5855	26952	72x105	86.33	559.73	-161193.67	31279.73	-139.9
5855	26952	72x105	86.65	156.66	-161193.35	30876.66	-138.36
5855	26951	71x105	1237.81	418.37	-161962.19	31138.37	-138.39
5855	26951	71x105	786.89	839.25	-162413.11	31559.25	-76.68
5855	26951	71x105	297.5	926.88	-162902.5	31646.88	-21.45
5855	26951	71x105	164.17	1356.92	-163035.83	32076.92	-0.13
5855	26951	71x105	174.22	344.7	-163025.78	31064.7	-5.9
5855	26951	71x105	503.43	35.7	-162696.57	30755.7	-96.45
5855	26695	71x104	435.63	1488.67	-162764.37	30288.67	-145.38
5855	26951	71x105	119.38	53.57	-163080.62	30773.57	-88.57
5855	26694	70x104	1710.08	1135.9	-163409.92	29935.9	-154.17
5855	26695	71x104	174.24	1039.07	-163025.76	29839.07	-142.73
5855	26694	70x104	1473.53	1574.96	-163646.47	30374.96	-165.15
5855	26951	71x105	1497.39	37.8	-161702.61	30757.8	-138.42
5855	27207	71x106	1128.05	688.87	-162071.95	33328.87	-91.11
5855	27719	71x108	1870.66	920.23	-161329.34	37400.23	-136
5855	27718	70x108	1373.22	542.84	-163746.78	37022.84	-170.53
5855	27718	70x108	831.17	433.02	-164288.83	36913.02	-171.16
5855	27718	70x108	1186.16	27.29	-163933.84	36507.29	-171.09
5855	27462	70x107	1022.98	1296.28	-164097.02	35856.28	-156.66
5855	27462	70x107	1413.92	1123.34	-163706.08	35683.34	-156.15
5855	27462	70x107	857.73	794.3	-164262.27	35354.3	-144.74
5855	27462	70x107	573.34	1120.38	-164546.66	35680.38	-148.9
