refid	region	sector	local_x	local_z	world_x	world_z	height
22338	-32751	17x-128	2142.98	321.64	-264737.02	-416318.36	0
22343	-32751	17x-128	2107.1	273.69	-264772.9	-416366.31	0
22338	-32751	17x-128	2207.74	261.47	-264672.26	-416378.53	-7.79
22338	-32751	17x-128	2122.99	-160.14	-264757.01	-416800.14	-3.48
22343	-32751	17x-128	2087.41	-231.78	-264792.59	-416871.78	0
22338	-32751	17x-128	2165.28	-206.54	-264714.72	-416846.54	-7.2
22338	-32751	17x-128	2629.97	297.05	-264250.03	-416342.95	-5.52
22343	-32751	17x-128	2746.49	209.48	-264133.51	-416430.52	0
22343	-32751	17x-128	2624.01	186.84	-264255.99	-416453.16	-10.04
22338	-32751	17x-128	2676.26	-128.82	-264203.74	-416768.82	-10.04
22343	-32751	17x-128	2622.88	-188.02	-264257.12	-416828.02	-10.04
22343	-32751	17x-128	2752.78	-220.23	-264127.22	-416860.23	0
22298	-32751	17x-128	-209.75	-1428.25	-267089.75	-418068.25	-1.05
22303	-32751	17x-128	-79.7	-1510.16	-266959.7	-418150.16	0
22298	-32751	17x-128	-210.07	-1572.37	-267090.07	-418212.37	-10.04
22303	-32751	17x-128	-131.71	-1968.88	-267011.71	-418608.88	0
22298	-32751	17x-128	-270.88	-1994.64	-267150.88	-418634.64	-9.56
22303	-32751	17x-128	-135.36	-2044.12	-267015.36	-418684.12	0
22298	-32751	17x-128	-261.21	-2063.95	-267141.21	-418703.95	0
