refid	region	sector	local_x	local_z	world_x	world_z	height
36117	32228	228x125	728.46	49.6	138968.46	69169.6	799.42
36117	31717	229x123	1480.99	1403.47	141640.99	66683.47	668.58
36117	31715	227x123	654.2	184.87	136974.2	65464.87	787.22
36118	31717	229x123	1480.99	1403.47	141640.99	66683.47	668.58
36118	31715	227x123	654.2	184.87	136974.2	65464.87	787.22
36118	32228	228x125	728.46	49.6	138968.46	69169.6	799.42
36119	32228	228x125	727.46	49.6	138967.46	69169.6	799.42
36119	31717	229x123	1480.99	1403.47	141640.99	66683.47	668.58
36119	31715	227x123	654.2	184.87	136974.2	65464.87	787.22
36120	32228	228x125	728.46	49.6	138968.46	69169.6	799.42
36120	31717	229x123	1480.99	1403.47	141640.99	66683.47	668.58
36120	31715	227x123	654.2	184.87	136974.2	65464.87	787.22
36209	-32750	18x-128	2645.15	-4658.24	-262314.85	-421298.24	78.51
36209	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36209	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36209	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36210	-32750	18x-128	2643.15	-4658.24	-262316.85	-421298.24	78.51
36210	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36210	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36210	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36305	28657	241x111	858.46	1455.8	164058.46	43695.8	-800
36305	27381	245x106	54.34	1880.54	170934.34	34520.54	-850
36121	32228	228x125	727.46	49.6	138967.46	69169.6	799.42
36121	31717	229x123	1480.99	1403.47	141640.99	66683.47	668.58
36121	31715	227x123	654.2	184.87	136974.2	65464.87	787.22
36122	32228	228x125	727.46	49.6	138967.46	69169.6	799.42
36122	31717	229x123	1480.99	1403.47	141640.99	66683.47	668.58
36122	31715	227x123	654.2	184.87	136974.2	65464.87	787.22
36305	28920	248x112	1129.47	63.75	177769.47	44223.75	-890
36307	28903	231x112	756.35	301.46	144756.35	44461.46	-200
36307	28640	224x111	1580.85	1673.79	132140.85	43913.79	-50
36306	28657	241x111	858.46	1455.8	164058.46	43695.8	-800
36306	27381	245x106	54.34	1880.54	170934.34	34520.54	-850
36306	28920	248x112	1129.47	63.75	177769.47	44223.75	-890
36309	28657	241x111	858.46	1455.8	164058.46	43695.8	-800
36309	27381	245x106	54.34	1880.54	170934.34	34520.54	-850
36309	28920	248x112	1129.47	63.75	177769.47	44223.75	-890
36310	28657	241x111	858.46	1455.8	164058.46	43695.8	-800
36310	27381	245x106	54.34	1880.54	170934.34	34520.54	-850
36310	28920	248x112	1129.47	63.75	177769.47	44223.75	-890
36211	-32750	18x-128	2645.15	-4658.24	-262314.85	-421298.24	78.51
36211	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36211	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36211	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36212	-32750	18x-128	2645.15	-4658.24	-262314.85	-421298.24	78.51
36212	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36212	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36212	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36213	-32750	18x-128	2645.15	-4658.24	-262314.85	-421298.24	78.51
36213	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36213	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36213	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36214	-32750	18x-128	2645.15	-4656.24	-262314.85	-421296.24	80.51
36214	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36214	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36214	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36215	-32750	18x-128	2645.15	-4658.24	-262314.85	-421298.24	78.51
36215	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36215	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36215	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36216	-32750	18x-128	2645.15	-4658.24	-262314.85	-421298.24	78.51
36216	-32750	18x-128	-3183.9	-7163.72	-268143.9	-423803.72	78.51
36216	-32750	18x-128	-6927.92	-2600.47	-271887.92	-419240.47	78.51
36216	-32750	18x-128	-699.02	3334.69	-265659.02	-413305.31	71.3
36308	28903	231x112	756.35	301.46	144756.35	44461.46	-191
36308	28640	224x111	1580.85	1673.79	132140.85	43913.79	-50
36311	28903	231x112	756.35	301.46	144756.35	44461.46	-215
36311	28640	224x111	1580.85	1673.79	132140.85	43913.79	-50
36312	28903	231x112	756.35	301.46	144756.35	44461.46	-199
36312	28640	224x111	1580.85	1673.79	132140.85	43913.79	-50
36307	28901	229x112	1516.47	1287.16	141676.47	45447.16	-355
36308	28901	229x112	1516.47	1287.16	141676.47	45447.16	-355
36311	28901	229x112	1516.47	1287.16	141676.47	45447.16	-355
36312	28901	229x112	1516.47	1287.16	141676.47	45447.16	-355
