refid	region	sector	local_x	local_z	world_x	world_z	height
36201	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36201	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36202	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36202	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36203	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36203	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36204	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36204	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36205	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36205	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36206	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36206	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36207	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36207	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
36208	-32750	18x-128	-3683.6	-8712.93	-268643.6	-425352.93	78.24
36208	-32750	18x-128	-182.52	1690.31	-265142.52	-414949.69	71.04
