refid	region	sector	local_x	local_z	world_x	world_z	height
36153	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36153	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36153	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36153	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36153	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36153	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36154	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36154	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36154	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36154	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36154	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36154	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36155	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36155	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36155	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36155	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36155	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36155	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36156	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36156	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36156	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36156	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36156	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36156	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36157	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36157	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36157	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36157	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36157	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36157	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36158	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36158	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36158	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36158	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36158	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36158	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36159	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36159	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36159	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36159	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36159	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36159	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
36160	-32750	18x-128	5278.8	-9847.78	-259681.2	-426487.78	162.82
36160	-32750	18x-128	-1752.87	-3319.57	-266712.87	-419959.57	103.89
36160	-32750	18x-128	-2556.12	-5285.39	-267516.12	-421925.39	170.1
36160	-32750	18x-128	-5553.31	-7935.52	-270513.31	-424575.52	170.1
36160	-32750	18x-128	3301.29	-4251.97	-261658.71	-420891.97	78.16
36160	-32750	18x-128	25.29	2879.27	-264934.71	-413760.73	70.95
