refid	region	sector	local_x	local_z	world_x	world_z	height
36193	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36193	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36194	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36194	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36195	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36195	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36196	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36196	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36197	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36197	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36198	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36198	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36199	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36199	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
36200	-32750	18x-128	3152.54	-3112.99	-261807.46	-419752.99	78.24
36200	-32750	18x-128	-7354.17	-1061.02	-272314.17	-417701.02	78.25
