refid	region	sector	local_x	local_z	world_x	world_z	height
36177	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36177	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36177	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36177	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36177	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36177	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36177	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36177	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36178	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36178	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36178	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36178	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36178	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36178	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36178	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36178	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36179	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36179	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36179	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36179	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36179	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36179	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36179	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36179	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36180	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36180	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36180	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36180	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36180	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36180	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36180	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36180	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36181	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36181	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36181	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36181	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36181	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36181	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36181	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36181	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36182	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36182	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36182	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36182	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36182	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36182	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36182	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36182	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36183	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36183	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36183	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36183	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36183	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36183	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36183	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36183	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
36184	-32750	18x-128	6230.5	-5817.07	-258729.5	-422457.07	108.76
36184	-32750	18x-128	-2181.21	-3468.35	-267141.21	-420108.35	107.93
36184	-32750	18x-128	-9773.98	2872.36	-274733.98	-413767.64	153.16
36184	-32750	18x-128	-4900.2	3097.38	-269860.2	-413542.62	101.12
36184	-32750	18x-128	-4456.43	5662.82	-269416.43	-410977.18	165.29
36184	-32750	18x-128	-2053.7	7542.3	-267013.7	-409097.7	162.89
36184	-32750	18x-128	250.05	6972.4	-264709.95	-409667.6	100.73
36184	-32750	18x-128	2203.42	-3123.74	-262756.58	-419763.74	78.24
