refid	region	sector	local_x	local_z	world_x	world_z	height
36161	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36161	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36161	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36161	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36161	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36161	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36161	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36162	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36162	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36162	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36162	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36162	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36162	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36162	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36163	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36163	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36163	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36163	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36163	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36163	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36163	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36164	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36164	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36164	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36164	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36164	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36164	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36164	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36165	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36165	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36165	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36165	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36165	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36165	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36165	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36166	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36166	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36166	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36166	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36166	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36166	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36166	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36167	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36167	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36167	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36167	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36167	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36167	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36167	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
36168	-32750	18x-128	7028.08	-5825.21	-257931.92	-422465.21	108.66
36168	-32750	18x-128	-1561.41	-2873.02	-266521.41	-419513.02	107.93
36168	-32750	18x-128	-7349.94	-4527.21	-272309.94	-421167.21	170.1
36168	-32750	18x-128	-9313.04	-1612.41	-274273.04	-418252.41	170.09
36168	-32750	18x-128	-10887.94	-542.88	-275847.94	-417182.88	157.71
36168	-32750	18x-128	-5960.04	3161.32	-270920.04	-413478.68	103.14
36168	-32750	18x-128	536.06	11825.13	-264423.94	-404814.87	152.03
