refid	region	sector	local_x	local_z	world_x	world_z	height
36145	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36145	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36145	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36145	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36145	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36145	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36145	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36146	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36146	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36146	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36146	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36146	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36146	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36146	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36147	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36147	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36147	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36147	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36147	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36147	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36147	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36148	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36148	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36148	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36148	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36148	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36148	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36148	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36149	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36149	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36149	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36149	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36149	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36149	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36149	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36150	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36150	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36150	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36150	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36150	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36150	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36150	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36151	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36151	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36151	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36151	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36151	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36151	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36151	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
36152	-32750	18x-128	5449.14	-9693.73	-259510.86	-426333.73	161.84
36152	-32750	18x-128	-72.26	-12270.58	-265032.26	-428910.58	103.97
36152	-32750	18x-128	2135.12	-6575.23	-262824.88	-423215.23	170.09
36152	-32750	18x-128	279.96	-3905.81	-264680.04	-420545.81	170.1
36152	-32750	18x-128	499.32	11748.53	-264460.68	-404891.47	155.14
36152	-32750	18x-128	-2480.39	-7679.53	-267440.39	-424319.53	78.16
36152	-32750	18x-128	-6225.53	-2260.63	-271185.53	-418900.63	78.16
