refid	region	sector	local_x	local_z	world_x	world_z	height
36137	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36137	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36137	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36137	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36137	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36137	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36137	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36138	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36138	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36138	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36138	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36138	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36138	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36138	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36139	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36139	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36139	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36139	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36139	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36139	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36139	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36140	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36140	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36140	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36140	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36140	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36140	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36140	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36141	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36141	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36141	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36141	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36141	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36141	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36141	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36142	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36142	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36142	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36142	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36142	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36142	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36142	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36143	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36143	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36143	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36143	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36143	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36143	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36143	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
36144	-32750	18x-128	6813.66	-4945.87	-258146.34	-421585.87	111.3
36144	-32750	18x-128	3500.91	-9344.81	-261459.09	-425984.81	172.48
36144	-32750	18x-128	1616.22	-8612.35	-263343.78	-425252.35	162.53
36144	-32750	18x-128	922.84	-10214.55	-264037.16	-426854.55	170.08
36144	-32750	18x-128	-5383.33	2722.1	-270343.33	-413917.9	103.14
36144	-32750	18x-128	-7649.13	-2284.37	-272609.13	-418924.37	78.63
36144	-32750	18x-128	-1352.4	2835.82	-266312.4	-413804.18	70.95
