refid	region	sector	local_x	local_z	world_x	world_z	height
36169	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36169	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36169	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36169	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36169	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36169	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36169	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36169	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36169	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36170	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36170	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36170	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36170	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36170	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36170	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36170	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36170	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36170	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36171	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36171	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36171	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36171	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36171	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36171	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36171	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36171	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36171	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36172	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36172	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36172	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36172	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36172	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36172	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36172	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36172	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36172	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36173	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36173	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36173	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36173	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36173	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36173	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36173	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36173	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36173	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36174	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36174	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36174	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36174	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36174	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36174	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36174	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36174	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36174	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36175	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36175	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36175	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36175	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36175	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36175	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36175	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36175	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36175	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
36176	-32750	18x-128	759.72	-12191.85	-264200.28	-428831.85	103.89
36176	-32750	18x-128	-7802.37	-6452.68	-272762.37	-423092.68	103.97
36176	-32750	18x-128	-11211.92	-529.51	-276171.92	-417169.51	157.64
36176	-32750	18x-128	-4334.09	7520.19	-269294.09	-409119.81	157.66
36176	-32750	18x-128	364.44	8098.32	-264595.56	-408541.68	100.73
36176	-32750	18x-128	318.16	10040.46	-264641.84	-406599.54	162.89
36176	-32750	18x-128	-669.26	5073.97	-265629.26	-411566.03	162.89
36176	-32750	18x-128	-6438.92	-1041.18	-271398.92	-417681.18	78.25
36176	-32750	18x-128	-1182.85	1744.65	-266142.85	-414895.35	71.04
