refid	region	sector	local_x	local_z	world_x	world_z	height
36129	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36129	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36129	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36129	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36129	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36129	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36130	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36130	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36130	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36130	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36130	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36130	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36131	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36131	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36131	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36131	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36131	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36131	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36132	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36132	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36132	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36132	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36132	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36132	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36133	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36133	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36133	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36133	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36133	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36133	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36134	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36134	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36134	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36134	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36134	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36134	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36135	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36135	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36135	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36135	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36135	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36135	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
36136	-32750	18x-128	9301.84	-5476.24	-255658.16	-422116.24	199.47
36136	-32750	18x-128	6199.55	-7876.04	-258760.45	-424516.04	174.87
36136	-32750	18x-128	1672.56	-8427.03	-263287.44	-425067.03	161.37
36136	-32750	18x-128	-7418.5	-6937.07	-272378.5	-423577.07	107.94
36136	-32750	18x-128	1987.85	-4438.71	-262972.15	-421078.71	78.25
36136	-32750	18x-128	-3927.17	-7614.92	-268887.17	-424254.92	78.16
