refid	region	sector	local_x	local_z	world_x	world_z	height
36185	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36185	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36185	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36185	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36185	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36185	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36185	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36185	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36186	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36186	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36186	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36186	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36186	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36186	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36186	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36186	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36187	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36187	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36187	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36187	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36187	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36187	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36187	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36187	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36188	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36188	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36188	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36188	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36188	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36188	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36188	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36188	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36189	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36189	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36189	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36189	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36189	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36189	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36189	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36189	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36190	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36190	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36190	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36190	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36190	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36190	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36190	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36190	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36191	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36191	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36191	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36191	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36191	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36191	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36191	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36191	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
36192	-32750	18x-128	774.67	-12906.13	-264185.33	-429546.13	103.87
36192	-32750	18x-128	-7895.73	-7368.16	-272855.73	-424008.16	107.94
36192	-32750	18x-128	-10469.89	1327.29	-275429.89	-415312.71	167.7
36192	-32750	18x-128	-9885.36	3248.15	-274845.36	-413391.85	155.23
36192	-32750	18x-128	-8002.24	3231.53	-272962.24	-413408.47	165.3
36192	-32750	18x-128	-3874.77	7382.91	-268834.77	-409257.09	157.75
36192	-32750	18x-128	-224.09	7498.75	-265184.09	-409141.25	100.73
36192	-32750	18x-128	-2699.03	-8711.71	-267659.03	-425351.71	78.24
