refid	region	sector	local_x	local_z	world_x	world_z	height
36289	28657	241x111	981.65	1535.76	164181.65	43775.76	-800
36289	27381	245x106	181.05	1895.79	171061.05	34535.79	-850
36291	27876	228x108	399.45	756.28	138639.45	37236.28	-325
36291	28647	231x111	1543.11	879.83	145543.11	43119.83	-150
36291	28643	227x111	1574.77	1132.54	137894.77	43372.54	30
36290	28657	241x111	981.65	1535.76	164181.65	43775.76	-800
36290	27381	245x106	181.05	1895.79	171061.05	34535.79	-850
36293	28657	241x111	981.65	1535.76	164181.65	43775.76	-800
36293	27381	245x106	181.05	1895.79	171061.05	34535.79	-850
36294	28657	241x111	981.65	1535.76	164181.65	43775.76	-800
36294	27381	245x106	181.05	1895.79	171061.05	34535.79	-850
36292	27876	228x108	399.45	756.28	138639.45	37236.28	-325
36292	28647	231x111	1543.11	879.83	145543.11	43119.83	-150
36292	28643	227x111	1574.77	1132.54	137894.77	43372.54	30
36295	27876	228x108	399.45	756.28	138639.45	37236.28	-325
36295	28647	231x111	1543.11	879.83	145543.11	43119.83	-150
36295	28643	227x111	1574.77	1132.54	137894.77	43372.54	30
36296	27876	228x108	399.45	756.28	138639.45	37236.28	-325
36296	28647	231x111	1543.11	879.83	145543.11	43119.83	-150
36296	28643	227x111	1574.77	1132.54	137894.77	43372.54	30
