refid	region	sector	local_x	local_z	world_x	world_z	height
36257	28148	244x109	337.64	1575.44	169297.64	39975.44	-968.9
36257	28918	246x112	1436.16	1108.69	174236.16	45268.69	-816
36257	29173	245x113	447.61	1901.12	171327.61	47981.12	-944
36257	27637	245x107	638.31	37.55	171518.31	34597.55	-850
36259	29156	228x113	1449.52	1357.43	139689.52	47437.43	-525
36259	28392	232x110	298.61	37.41	146218.61	40357.41	-325
36259	29409	225x114	1722.46	791.26	134202.46	48791.26	-325
36259	27874	226x108	927.46	1051.22	135327.46	37531.22	-325
36259	29154	226x113	539.57	603.71	134939.57	46683.71	-330
36259	28896	224x112	136.74	54.18	130696.74	44214.18	150
36258	28148	244x109	337.64	1575.44	169297.64	39975.44	-968.9
36258	28918	246x112	1436.16	1108.69	174236.16	45268.69	-816
36258	29173	245x113	447.61	1901.12	171327.61	47981.12	-944
36258	27637	245x107	638.31	37.55	171518.31	34597.55	-850
36261	28148	244x109	337.64	1575.44	169297.64	39975.44	-968.9
36261	28918	246x112	1436.16	1108.69	174236.16	45268.69	-816
36261	29173	245x113	447.61	1901.12	171327.61	47981.12	-944
36261	27637	245x107	638.31	37.55	171518.31	34597.55	-850
36262	28148	244x109	337.64	1575.44	169297.64	39975.44	-968.9
36262	28918	246x112	1436.16	1108.69	174236.16	45268.69	-816
36262	29173	245x113	447.61	1901.12	171327.61	47981.12	-944
36262	27637	245x107	638.31	37.55	171518.31	34597.55	-850
36260	29156	228x113	1449.52	1357.43	139689.52	47437.43	-525
36260	28392	232x110	298.61	37.41	146218.61	40357.41	-325
36260	29409	225x114	1722.46	791.26	134202.46	48791.26	-325
36260	27874	226x108	927.46	1051.22	135327.46	37531.22	-325
36260	28896	224x112	136.74	54.18	130696.74	44214.18	150
36260	29154	226x113	539.57	603.71	134939.57	46683.71	-330
36263	29156	228x113	1449.52	1357.43	139689.52	47437.43	-525
36263	28392	232x110	298.61	37.41	146218.61	40357.41	-325
36263	29409	225x114	1722.46	791.26	134202.46	48791.26	-325
36263	27874	226x108	927.46	1051.22	135327.46	37531.22	-325
36263	28896	224x112	136.74	54.18	130696.74	44214.18	150
36263	29154	226x113	539.57	603.71	134939.57	46683.71	-330
36264	29156	228x113	1449.52	1357.43	139689.52	47437.43	-525
36264	28392	232x110	298.61	37.41	146218.61	40357.41	-325
36264	29409	225x114	1722.46	791.26	134202.46	48791.26	-325
36264	27874	226x108	927.46	1051.22	135327.46	37531.22	-325
36264	28896	224x112	136.74	54.18	130696.74	44214.18	150
36264	29154	226x113	539.57	603.71	134939.57	46683.71	-330
