refid	region	sector	local_x	local_z	world_x	world_z	height
36281	28920	248x112	1504.21	579.69	178144.21	44739.69	-890
36283	28640	224x111	104.67	970.18	130664.67	43210.18	150
36283	28644	228x111	154.03	1124.68	138394.03	43364.68	30
36282	28920	248x112	1504.21	579.69	178144.21	44739.69	-890
36285	28920	248x112	1504.21	579.69	178144.21	44739.69	-890
36286	28920	248x112	1504.21	579.69	178144.21	44739.69	-890
36284	28640	224x111	104.67	970.18	130664.67	43210.18	150
36284	28644	228x111	154.03	1124.68	138394.03	43364.68	30
36287	28640	224x111	104.67	970.18	130664.67	43210.18	150
36287	28644	228x111	154.03	1124.68	138394.03	43364.68	30
36288	28640	224x111	104.67	970.18	130664.67	43210.18	150
36288	28644	228x111	154.03	1124.68	138394.03	43364.68	30
