refid	region	sector	local_x	local_z	world_x	world_z	height
36241	28659	243x111	62.19	1579.11	167102.19	43819.11	-330
36241	27891	243x108	876.18	981.5	167916.18	37461.5	-800
36241	27895	247x108	655.62	1356.84	175375.62	37836.84	-800
36241	28664	248x111	693.29	1341.27	177333.29	43581.27	-890
36243	29159	231x113	668.97	1402.99	144668.97	47482.99	-325
36243	28135	231x109	1701.14	1606.87	145701.14	40006.87	-325
36243	28389	229x110	107.21	430.8	140267.21	40750.8	-450
36243	29667	227x115	1398.2	303.48	137718.2	50223.48	-325
36243	28128	224x109	1786.23	788.5	132346.23	39188.5	-325
36243	28642	226x111	525.81	604.17	134925.81	42844.17	-330
36243	28641	225x111	285.07	999.48	132765.07	43239.48	-50
36243	28896	224x112	670.92	414.37	131230.92	44574.37	-50
36242	28659	243x111	62.19	1579.11	167102.19	43819.11	-330
36242	27891	243x108	876.18	981.5	167916.18	37461.5	-800
36242	27895	247x108	655.62	1356.84	175375.62	37836.84	-800
36242	28664	248x111	693.29	1341.27	177333.29	43581.27	-890
36245	28659	243x111	62.19	1579.11	167102.19	43819.11	-330
36245	27891	243x108	876.18	981.5	167916.18	37461.5	-800
36245	27895	247x108	655.62	1356.84	175375.62	37836.84	-800
36245	28664	248x111	693.29	1341.27	177333.29	43581.27	-890
36246	28659	243x111	62.19	1579.11	167102.19	43819.11	-330
36246	27891	243x108	876.18	981.5	167916.18	37461.5	-800
36246	27895	247x108	655.62	1356.84	175375.62	37836.84	-800
36246	28664	248x111	693.29	1341.27	177333.29	43581.27	-890
36244	29159	231x113	668.97	1402.99	144668.97	47482.99	-325
36244	28135	231x109	1701.14	1606.87	145701.14	40006.87	-325
36244	28389	229x110	107.21	430.8	140267.21	40750.8	-450
36244	29667	227x115	1398.2	303.48	137718.2	50223.48	-325
36244	28128	224x109	1786.23	788.5	132346.23	39188.5	-325
36244	28641	225x111	285.07	999.48	132765.07	43239.48	-50
36244	28896	224x112	670.92	414.37	131230.92	44574.37	-50
36244	28642	226x111	525.81	604.17	134925.81	42844.17	-330
36247	29159	231x113	668.97	1402.99	144668.97	47482.99	-325
36247	28135	231x109	1701.14	1606.87	145701.14	40006.87	-325
36247	28389	229x110	107.21	430.8	140267.21	40750.8	-450
36247	29667	227x115	1398.2	303.48	137718.2	50223.48	-325
36247	28128	224x109	1786.23	788.5	132346.23	39188.5	-325
36247	28641	225x111	285.07	999.48	132765.07	43239.48	-50
36247	28896	224x112	670.92	414.37	131230.92	44574.37	-50
36247	28642	226x111	525.81	604.17	134925.81	42844.17	-330
36248	29159	231x113	668.97	1402.99	144668.97	47482.99	-325
36248	28135	231x109	1701.14	1606.87	145701.14	40006.87	-325
36248	28389	229x110	107.21	430.8	140267.21	40750.8	-450
36248	29667	227x115	1398.2	303.48	137718.2	50223.48	-325
36248	28128	224x109	1786.23	788.5	132346.23	39188.5	-325
36248	28641	225x111	285.07	999.48	132765.07	43239.48	-50
36248	28896	224x112	670.92	414.37	131230.92	44574.37	-50
36248	28642	226x111	525.81	604.17	134925.81	42844.17	-330
