refid	region	sector	local_x	local_z	world_x	world_z	height
36225	29171	243x113	1798.69	1359.56	168838.69	47439.56	-814
36225	28147	243x109	1374.9	1677.65	168414.9	40077.65	-969
36225	29173	245x113	1466.19	1284.0	172346.19	47364.0	-966
36225	28912	240x112	1882.27	137.76	163162.27	44297.76	-800
36225	27380	244x106	1169.74	1640.9	170129.74	34280.9	-850
36227	28901	229x112	1417.42	1300.95	141577.42	45460.95	-355
36227	29412	228x114	301.39	46.82	138541.39	48046.82	-525
36227	27875	227x108	1774.56	659.83	138094.56	37139.83	-325
36227	29154	226x113	1638.52	1244.86	136038.52	47324.86	-330
36227	28903	231x112	1438.85	1196.75	145438.85	45356.75	-198
36227	28647	231x111	16.64	1143.14	144016.64	43383.14	-195
36226	29171	243x113	1798.69	1359.56	168838.69	47439.56	-814
36226	28147	243x109	1374.9	1677.65	168414.9	40077.65	-969
36226	29173	245x113	1466.19	1284.0	172346.19	47364.0	-966
36226	28912	240x112	1882.27	137.76	163162.27	44297.76	-800
36226	27380	244x106	1169.74	1640.9	170129.74	34280.9	-850
36229	29171	243x113	1798.69	1359.56	168838.69	47439.56	-814
36229	28147	243x109	1374.9	1677.65	168414.9	40077.65	-969
36229	29173	245x113	1466.19	1284.0	172346.19	47364.0	-966
36229	28912	240x112	1882.27	137.76	163162.27	44297.76	-800
36229	27380	244x106	1169.74	1640.9	170129.74	34280.9	-850
36230	29171	243x113	1798.69	1359.56	168838.69	47439.56	-814
36230	28147	243x109	1374.9	1677.65	168414.9	40077.65	-969
36230	29173	245x113	1466.19	1284.0	172346.19	47364.0	-966
36230	28912	240x112	1882.27	137.76	163162.27	44297.76	-800
36230	27380	244x106	1169.74	1640.9	170129.74	34280.9	-850
36228	28901	229x112	1417.42	1300.95	141577.42	45460.95	-355
36228	29412	228x114	301.39	46.82	138541.39	48046.82	-525
36228	27875	227x108	1774.56	659.83	138094.56	37139.83	-325
36228	28903	231x112	1438.85	1196.75	145438.85	45356.75	-205
36228	28647	231x111	16.64	1143.14	144016.64	43383.14	-199
36228	29154	226x113	1638.52	1244.86	136038.52	47324.86	-330
36231	28901	229x112	1417.42	1300.95	141577.42	45460.95	-355
36231	29412	228x114	301.39	46.82	138541.39	48046.82	-525
36231	27875	227x108	1774.56	659.83	138094.56	37139.83	-325
36231	28903	231x112	1438.85	1196.75	145438.85	45356.75	-216
36231	28647	231x111	16.64	1143.14	144016.64	43383.14	-206
36231	29154	226x113	1638.52	1244.86	136038.52	47324.86	-330
36232	28901	229x112	1417.42	1300.95	141577.42	45460.95	-355
36232	29412	228x114	301.39	46.82	138541.39	48046.82	-525
36232	27875	227x108	1774.56	659.83	138094.56	37139.83	-325
36232	28903	231x112	1438.85	1196.75	145438.85	45356.75	-200
36232	28647	231x111	16.64	1143.14	144016.64	43383.14	-199
36232	29154	226x113	1638.52	1244.86	136038.52	47324.86	-330
