refid	region	sector	local_x	local_z	world_x	world_z	height
36249	28659	243x111	373.75	763.13	167413.75	43003.13	-330
36249	28406	246x110	831.94	1054.49	173631.94	41374.49	-888
36251	28901	229x112	1514.55	41.96	141674.55	44201.96	-355
36251	29159	231x113	373.05	1450.49	144373.05	47530.49	-325
36251	28136	232x109	265.12	1526.86	146185.12	39926.86	-325
36251	29152	224x113	1246.87	938.79	131806.87	47018.79	-325
36251	27873	225x108	1699.57	409.68	134179.57	36889.68	-325
36251	28131	227x109	491.58	1537.97	136811.58	39937.97	-500
36251	28640	224x111	1782.2	507.63	132342.2	42747.63	150
36250	28659	243x111	373.75	763.13	167413.75	43003.13	-330
36250	28406	246x110	831.94	1054.49	173631.94	41374.49	-888
36253	28659	243x111	373.75	763.13	167413.75	43003.13	-330
36253	28406	246x110	831.94	1054.49	173631.94	41374.49	-888
36254	28659	243x111	373.75	763.13	167413.75	43003.13	-330
36254	28406	246x110	831.94	1054.49	173631.94	41374.49	-888
36252	28901	229x112	1514.55	41.96	141674.55	44201.96	-355
36252	29159	231x113	373.05	1450.49	144373.05	47530.49	-325
36252	28136	232x109	265.12	1526.86	146185.12	39926.86	-325
36252	29152	224x113	1246.87	938.79	131806.87	47018.79	-325
36252	27873	225x108	1699.57	409.68	134179.57	36889.68	-325
36252	28131	227x109	491.58	1537.97	136811.58	39937.97	-500
36252	28640	224x111	1782.2	507.63	132342.2	42747.63	150
36255	28901	229x112	1514.55	41.96	141674.55	44201.96	-355
36255	29159	231x113	373.05	1450.49	144373.05	47530.49	-325
36255	28136	232x109	265.12	1526.86	146185.12	39926.86	-325
36255	29152	224x113	1246.87	938.79	131806.87	47018.79	-325
36255	27873	225x108	1699.57	409.68	134179.57	36889.68	-325
36255	28131	227x109	491.58	1537.97	136811.58	39937.97	-500
36255	28640	224x111	1782.2	507.63	132342.2	42747.63	150
36256	28901	229x112	1514.55	41.96	141674.55	44201.96	-355
36256	29159	231x113	373.05	1450.49	144373.05	47530.49	-325
36256	28136	232x109	265.12	1526.86	146185.12	39926.86	-325
36256	29152	224x113	1246.87	938.79	131806.87	47018.79	-325
36256	27873	225x108	1699.57	409.68	134179.57	36889.68	-325
36256	28131	227x109	491.58	1537.97	136811.58	39937.97	-500
36256	28640	224x111	1782.2	507.63	132342.2	42747.63	150
