refid	region	sector	local_x	local_z	world_x	world_z	height
36233	29171	243x113	686.14	688.69	167726.14	46768.69	-817
36233	28406	246x110	108.4	426.29	172908.4	40746.29	-893
36233	29430	246x114	1254.96	1243.37	174054.96	49243.37	-825
36233	28657	241x111	1458.5	793.71	164658.5	43033.71	-800
36233	28920	248x112	1147.2	131.42	177787.2	44291.42	-890
36235	29413	229x114	1049.67	1363.54	141209.67	49363.54	-325
36235	29159	231x113	322.52	1722.32	144322.52	47802.32	-325
36235	27877	229x108	1552.94	1785.75	141712.94	38265.75	-325
36235	29152	224x113	904.51	1099.37	131464.51	47179.37	-325
36235	28128	224x109	1182.67	928.37	131742.67	39328.37	-325
36235	28130	226x109	1183.77	1731.91	135583.77	40131.91	-500
36235	28904	232x112	37.53	771.91	145957.53	44931.91	-150
36234	29171	243x113	686.14	688.69	167726.14	46768.69	-817
36234	28406	246x110	108.4	426.29	172908.4	40746.29	-893
36234	29430	246x114	1254.96	1243.37	174054.96	49243.37	-825
36234	28657	241x111	1458.5	793.71	164658.5	43033.71	-800
36234	28920	248x112	1147.2	131.42	177787.2	44291.42	-890
36237	29171	243x113	686.14	688.69	167726.14	46768.69	-817
36237	28406	246x110	108.4	426.29	172908.4	40746.29	-893
36237	29430	246x114	1254.96	1243.37	174054.96	49243.37	-825
36237	28657	241x111	1458.5	793.71	164658.5	43033.71	-800
36237	28920	248x112	1147.2	131.42	177787.2	44291.42	-890
36238	29171	243x113	686.14	688.69	167726.14	46768.69	-817
36238	28406	246x110	108.4	426.29	172908.4	40746.29	-893
36238	29430	246x114	1254.96	1243.37	174054.96	49243.37	-825
36238	28657	241x111	1458.5	793.71	164658.5	43033.71	-800
36238	28920	248x112	1147.2	131.42	177787.2	44291.42	-890
36236	29413	229x114	1049.67	1363.54	141209.67	49363.54	-325
36236	29159	231x113	322.52	1722.32	144322.52	47802.32	-325
36236	27877	229x108	1552.94	1785.75	141712.94	38265.75	-325
36236	29152	224x113	904.51	1099.37	131464.51	47179.37	-325
36236	28128	224x109	1182.67	928.37	131742.67	39328.37	-325
36236	28130	226x109	1183.77	1731.91	135583.77	40131.91	-500
36236	28904	232x112	37.53	771.91	145957.53	44931.91	-150
36239	29413	229x114	1049.67	1363.54	141209.67	49363.54	-325
36239	29159	231x113	322.52	1722.32	144322.52	47802.32	-325
36239	27877	229x108	1552.94	1785.75	141712.94	38265.75	-325
36239	29152	224x113	904.51	1099.37	131464.51	47179.37	-325
36239	28128	224x109	1182.67	928.37	131742.67	39328.37	-325
36239	28130	226x109	1183.77	1731.91	135583.77	40131.91	-500
36239	28904	232x112	37.53	771.91	145957.53	44931.91	-150
36240	29413	229x114	1049.67	1363.54	141209.67	49363.54	-325
36240	29159	231x113	322.52	1722.32	144322.52	47802.32	-325
36240	27877	229x108	1552.94	1785.75	141712.94	38265.75	-325
36240	29152	224x113	904.51	1099.37	131464.51	47179.37	-325
36240	28128	224x109	1182.67	928.37	131742.67	39328.37	-325
36240	28130	226x109	1183.77	1731.91	135583.77	40131.91	-500
36240	28904	232x112	37.53	771.91	145957.53	44931.91	-150
