refid	region	sector	local_x	local_z	world_x	world_z	height
36265	27894	246x108	1606.6	1745.31	174406.6	38225.31	-800
36265	29430	246x114	1688.01	583.2	174488.01	48583.2	-825
36265	27380	244x106	1889.56	1880.52	170849.56	34520.52	-850
36267	29413	229x114	1825.57	374.92	141985.57	48374.92	-325
36267	28389	229x110	1078.5	1234.36	141238.5	41554.36	-450
36267	29668	228x115	143.97	551.23	138383.97	50471.23	-325
36267	27876	228x108	313.51	938.09	138553.51	37418.09	-325
36267	28642	226x111	0.6	1729.73	134400.6	43969.73	-350
36267	28648	232x111	231.16	1810.93	146151.16	44050.93	-150
36267	28640	224x111	1030.99	251.53	131590.99	42491.53	150
36266	27894	246x108	1606.6	1745.31	174406.6	38225.31	-800
36266	29430	246x114	1688.01	583.2	174488.01	48583.2	-825
36266	27380	244x106	1889.56	1880.52	170849.56	34520.52	-850
36269	27894	246x108	1606.6	1745.31	174406.6	38225.31	-800
36269	29430	246x114	1688.01	583.2	174488.01	48583.2	-825
36269	27380	244x106	1889.56	1880.52	170849.56	34520.52	-850
36270	27894	246x108	1606.6	1745.31	174406.6	38225.31	-800
36270	29430	246x114	1688.01	583.2	174488.01	48583.2	-825
36270	27380	244x106	1889.56	1880.52	170849.56	34520.52	-850
36268	29413	229x114	1825.57	374.92	141985.57	48374.92	-325
36268	28389	229x110	1078.5	1234.36	141238.5	41554.36	-450
36268	29668	228x115	143.97	551.23	138383.97	50471.23	-325
36268	27876	228x108	313.51	938.09	138553.51	37418.09	-325
36268	28648	232x111	231.16	1810.93	146151.16	44050.93	-150
36268	28640	224x111	1030.99	251.53	131590.99	42491.53	150
36268	28642	226x111	0.6	1729.73	134400.6	43969.73	-350
36271	29413	229x114	1825.57	374.92	141985.57	48374.92	-325
36271	28389	229x110	1078.5	1234.36	141238.5	41554.36	-450
36271	29668	228x115	143.97	551.23	138383.97	50471.23	-325
36271	27876	228x108	313.51	938.09	138553.51	37418.09	-325
36271	28648	232x111	231.16	1810.93	146151.16	44050.93	-150
36271	28640	224x111	1030.99	251.53	131590.99	42491.53	150
36271	28642	226x111	0.6	1729.73	134400.6	43969.73	-350
36272	29413	229x114	1825.57	374.92	141985.57	48374.92	-325
36272	28389	229x110	1078.5	1234.36	141238.5	41554.36	-450
36272	29668	228x115	143.97	551.23	138383.97	50471.23	-325
36272	27876	228x108	313.51	938.09	138553.51	37418.09	-325
36272	28648	232x111	231.16	1810.93	146151.16	44050.93	-150
36272	28640	224x111	1030.99	251.53	131590.99	42491.53	150
36272	28642	226x111	0.6	1729.73	134400.6	43969.73	-350
