refid	region	sector	local_x	local_z	world_x	world_z	height
36273	27890	242x108	1865.29	497.79	166985.29	36977.79	-800
36273	28918	246x112	1606.92	136.61	174406.92	44296.61	-816
36273	28657	241x111	935.3	1486.17	164135.3	43726.17	-800
36275	27878	230x108	732.05	1210.31	142812.05	37690.31	-325
36275	29410	226x114	451.33	1919.05	134851.33	49919.05	-325
36275	29152	224x113	1180.53	1536.47	131740.53	47616.47	-325
36275	28128	224x109	1613.36	377.53	132173.36	38777.53	-325
36275	28647	231x111	510.53	652.41	144510.53	42892.41	-150
36274	27890	242x108	1865.29	497.79	166985.29	36977.79	-800
36274	28918	246x112	1606.92	136.61	174406.92	44296.61	-816
36274	28657	241x111	935.3	1486.17	164135.3	43726.17	-800
36277	27890	242x108	1865.29	497.79	166985.29	36977.79	-800
36277	28918	246x112	1606.92	136.61	174406.92	44296.61	-816
36277	28657	241x111	935.3	1486.17	164135.3	43726.17	-800
36278	27890	242x108	1865.29	497.79	166985.29	36977.79	-800
36278	28918	246x112	1606.92	136.61	174406.92	44296.61	-816
36278	28657	241x111	935.3	1486.17	164135.3	43726.17	-800
36276	27878	230x108	732.05	1210.31	142812.05	37690.31	-325
36276	29410	226x114	451.33	1919.05	134851.33	49919.05	-325
36276	29152	224x113	1180.53	1536.47	131740.53	47616.47	-325
36276	28128	224x109	1613.36	377.53	132173.36	38777.53	-325
36276	28647	231x111	510.53	652.41	144510.53	42892.41	-150
36279	27878	230x108	732.05	1210.31	142812.05	37690.31	-325
36279	29410	226x114	451.33	1919.05	134851.33	49919.05	-325
36279	29152	224x113	1180.53	1536.47	131740.53	47616.47	-325
36279	28128	224x109	1613.36	377.53	132173.36	38777.53	-325
36279	28647	231x111	510.53	652.41	144510.53	42892.41	-150
36280	27878	230x108	732.05	1210.31	142812.05	37690.31	-325
36280	29410	226x114	451.33	1919.05	134851.33	49919.05	-325
36280	29152	224x113	1180.53	1536.47	131740.53	47616.47	-325
36280	28128	224x109	1613.36	377.53	132173.36	38777.53	-325
36280	28647	231x111	510.53	652.41	144510.53	42892.41	-150
