refid	region	sector	local_x	local_z	world_x	world_z	height
36075	32226	226x125	940.75	241.89	135340.75	69361.89	793.57
36075	32226	226x125	639.46	197.55	135039.46	69317.55	807.52
36075	31970	226x124	880.31	1271.38	135280.31	68471.38	775.62
36075	31970	226x124	662.0	960.76	135062.0	68160.76	817.49
36075	31970	226x124	1257.67	121.88	135657.67	67321.88	884.84
36075	31970	226x124	1534.74	620.69	135934.74	67820.69	885.13
36075	31971	227x124	1745.57	142.05	138065.57	67342.05	794.26
36075	31971	227x124	1801.45	689.97	138121.45	67889.97	777.47
36075	31718	230x123	996.04	583.28	143076.04	65863.28	797.1
36075	31718	230x123	629.27	554.88	142709.27	65834.88	798.18
36075	31462	230x122	743.85	1209.8	142823.85	64569.8	819.98
36075	31462	230x122	553.56	1100.85	142633.56	64460.85	820.34
36075	31719	231x123	687.57	1701.22	144687.57	66981.22	689.29
36075	31719	231x123	670.54	1432.89	144670.54	66712.89	673.56
36075	31715	227x123	149.8	414.37	136469.8	65694.37	785.45
36075	31715	227x123	622.2	248.63	136942.2	65528.63	787.84
36076	31715	227x123	149.8	414.37	136469.8	65694.37	785.45
36076	31715	227x123	622.2	248.63	136942.2	65528.63	787.84
36077	31715	227x123	149.8	414.37	136469.8	65694.37	785.45
36077	31715	227x123	622.2	248.63	136942.2	65528.63	787.84
36078	31715	227x123	149.8	414.37	136469.8	65694.37	785.45
36078	31715	227x123	622.2	248.63	136942.2	65528.63	787.84
36076	32226	226x125	940.75	241.89	135340.75	69361.89	793.57
36076	32226	226x125	639.46	197.55	135039.46	69317.55	807.52
36076	31970	226x124	880.31	1271.38	135280.31	68471.38	775.62
36076	31970	226x124	662.0	960.76	135062.0	68160.76	817.49
36076	31970	226x124	1257.67	121.88	135657.67	67321.88	884.84
36076	31970	226x124	1534.74	620.69	135934.74	67820.69	885.13
36076	31971	227x124	1745.57	142.05	138065.57	67342.05	794.26
36076	31971	227x124	1801.45	689.97	138121.45	67889.97	777.47
36076	31718	230x123	996.04	583.28	143076.04	65863.28	797.1
36076	31718	230x123	629.27	554.88	142709.27	65834.88	798.18
36076	31462	230x122	743.85	1209.8	142823.85	64569.8	819.98
36076	31462	230x122	553.56	1100.85	142633.56	64460.85	820.34
36076	31719	231x123	687.57	1701.22	144687.57	66981.22	689.29
36076	31719	231x123	670.54	1432.89	144670.54	66712.89	673.56
36077	32226	226x125	940.75	241.89	135340.75	69361.89	793.57
36077	32226	226x125	639.46	197.55	135039.46	69317.55	807.52
36077	31970	226x124	880.31	1271.38	135280.31	68471.38	775.62
36077	31970	226x124	662.0	960.76	135062.0	68160.76	817.49
36077	31970	226x124	1257.67	121.88	135657.67	67321.88	884.84
36077	31970	226x124	1534.74	620.69	135934.74	67820.69	885.13
36077	31971	227x124	1745.57	142.05	138065.57	67342.05	794.26
36077	31971	227x124	1801.45	689.97	138121.45	67889.97	777.47
36078	31718	230x123	996.04	583.28	143076.04	65863.28	797.1
36078	31718	230x123	629.27	554.88	142709.27	65834.88	798.18
36078	31462	230x122	743.85	1209.8	142823.85	64569.8	819.98
36078	31462	230x122	553.56	1100.85	142633.56	64460.85	820.34
36078	31719	231x123	687.57	1701.22	144687.57	66981.22	689.29
36078	31719	231x123	670.54	1432.89	144670.54	66712.89	673.56
36078	32226	226x125	940.75	241.89	135340.75	69361.89	793.57
36078	32226	226x125	639.46	197.55	135039.46	69317.55	807.52
36078	31970	226x124	880.31	1271.38	135280.31	68471.38	775.62
36078	31970	226x124	662.0	960.76	135062.0	68160.76	817.49
36078	31970	226x124	1257.67	121.88	135657.67	67321.88	884.84
