refid	region	sector	local_x	local_z	world_x	world_z	height
36099	31970	226x124	1339.59	415.49	135739.59	67615.49	887.86
36099	31970	226x124	1561.85	40.95	135961.85	67240.95	890.46
36099	31971	227x124	543.47	83.81	136863.47	67283.81	860.91
36099	31971	227x124	849.94	152.12	137169.94	67352.12	861.11
36099	31971	227x124	617.31	1706.29	136937.31	68906.29	772.14
36099	31971	227x124	313.84	1560.12	136633.84	68760.12	782.71
36099	31462	230x122	957.27	941.51	143037.27	64301.51	804.46
36099	31462	230x122	721.31	830.64	142801.31	64190.64	821.85
36099	31460	228x122	1655.5	1554.81	139895.5	64914.81	768.65
36099	31460	228x122	1226.15	1379.94	139466.15	64739.94	778.85
36099	31716	228x123	1041.78	265.76	139281.78	65545.76	780.69
36099	31716	228x123	665.48	318.26	138905.48	65598.26	780.14
36099	31715	227x123	428.9	464.05	136748.9	65744.05	785.49
36099	31459	227x122	147.13	1738.31	136467.13	65098.31	789.08
36100	31715	227x123	428.9	464.05	136748.9	65744.05	785.49
36100	31459	227x122	147.13	1738.31	136467.13	65098.31	789.08
36101	31715	227x123	428.9	464.05	136748.9	65744.05	785.49
36101	31459	227x122	147.13	1738.31	136467.13	65098.31	789.08
36102	31715	227x123	428.9	464.05	136748.9	65744.05	785.49
36102	31459	227x122	147.13	1738.31	136467.13	65098.31	789.08
36100	31970	226x124	1339.59	415.49	135739.59	67615.49	887.86
36100	31970	226x124	1561.85	40.95	135961.85	67240.95	890.46
36100	31971	227x124	543.47	83.81	136863.47	67283.81	860.91
36100	31971	227x124	849.94	152.12	137169.94	67352.12	861.11
36100	31971	227x124	617.31	1706.29	136937.31	68906.29	772.14
36100	31971	227x124	313.84	1560.12	136633.84	68760.12	782.71
36100	31462	230x122	957.27	941.51	143037.27	64301.51	804.46
36100	31462	230x122	721.31	830.64	142801.31	64190.64	821.85
36100	31460	228x122	1655.5	1554.81	139895.5	64914.81	768.65
36100	31460	228x122	1226.15	1379.94	139466.15	64739.94	778.85
36100	31716	228x123	1041.78	265.76	139281.78	65545.76	780.69
36100	31716	228x123	665.48	318.26	138905.48	65598.26	780.14
36101	31970	226x124	1339.59	415.49	135739.59	67615.49	887.86
36101	31970	226x124	1561.85	40.95	135961.85	67240.95	890.46
36101	31971	227x124	543.47	83.81	136863.47	67283.81	860.91
36101	31971	227x124	849.94	152.12	137169.94	67352.12	861.11
36101	31971	227x124	617.31	1706.29	136937.31	68906.29	772.14
36101	31971	227x124	313.84	1560.12	136633.84	68760.12	782.71
36102	31460	228x122	1655.5	1554.81	139895.5	64914.81	768.65
36102	31460	228x122	1226.15	1379.94	139466.15	64739.94	778.85
36102	31716	228x123	1041.78	265.76	139281.78	65545.76	780.69
36102	31716	228x123	665.48	318.26	138905.48	65598.26	780.14
36102	31462	230x122	957.27	941.51	143037.27	64301.51	804.46
36102	31462	230x122	721.31	830.64	142801.31	64190.64	821.85
36102	31970	226x124	1339.59	415.49	135739.59	67615.49	887.86
36102	31970	226x124	1561.85	40.95	135961.85	67240.95	890.46
36102	31971	227x124	543.47	83.81	136863.47	67283.81	860.91
36102	31971	227x124	849.94	152.12	137169.94	67352.12	861.11
36102	31971	227x124	617.31	1706.29	136937.31	68906.29	772.14
36102	31971	227x124	313.84	1560.12	136633.84	68760.12	782.71
36101	31462	230x122	957.27	941.51	143037.27	64301.51	804.46
36101	31462	230x122	721.31	830.64	142801.31	64190.64	821.85
36101	31460	228x122	1655.5	1554.81	139895.5	64914.81	768.65
36101	31460	228x122	1226.15	1379.94	139466.15	64739.94	778.85
36101	31716	228x123	1041.78	265.76	139281.78	65545.76	780.69
36101	31716	228x123	665.48	318.26	138905.48	65598.26	780.14
36103	31970	226x124	1339.59	415.49	135739.59	67615.49	887.86
36103	31970	226x124	1561.85	40.95	135961.85	67240.95	890.46
36103	31971	227x124	543.47	83.81	136863.47	67283.81	860.91
36103	31971	227x124	849.94	152.12	137169.94	67352.12	861.11
36103	31971	227x124	617.31	1706.29	136937.31	68906.29	772.14
36103	31971	227x124	313.84	1560.12	136633.84	68760.12	782.71
36103	31462	230x122	957.27	941.51	143037.27	64301.51	804.46
36103	31462	230x122	721.31	830.64	142801.31	64190.64	821.85
36103	31460	228x122	1655.5	1554.81	139895.5	64914.81	768.65
36103	31460	228x122	1226.15	1379.94	139466.15	64739.94	778.85
36103	31716	228x123	1041.78	265.76	139281.78	65545.76	780.69
36103	31716	228x123	665.48	318.26	138905.48	65598.26	780.14
36103	31715	227x123	428.9	464.05	136748.9	65744.05	785.49
36103	31459	227x122	147.13	1738.31	136467.13	65098.31	789.08
36104	31970	226x124	1339.59	415.49	135739.59	67615.49	887.86
36104	31970	226x124	1561.85	40.95	135961.85	67240.95	890.46
36104	31971	227x124	543.47	83.81	136863.47	67283.81	860.91
36104	31971	227x124	849.94	152.12	137169.94	67352.12	861.11
36104	31971	227x124	617.31	1706.29	136937.31	68906.29	772.14
36104	31971	227x124	313.84	1560.12	136633.84	68760.12	782.71
36104	31462	230x122	957.27	941.51	143037.27	64301.51	804.46
36104	31462	230x122	721.31	830.64	142801.31	64190.64	821.85
36104	31460	228x122	1655.5	1554.81	139895.5	64914.81	768.65
36104	31460	228x122	1226.15	1379.94	139466.15	64739.94	778.85
36104	31716	228x123	1041.78	265.76	139281.78	65545.76	780.69
36104	31716	228x123	665.48	318.26	138905.48	65598.26	780.14
36104	31715	227x123	428.9	464.05	136748.9	65744.05	785.49
36104	31459	227x122	147.13	1738.31	136467.13	65098.31	789.08
