refid	region	sector	local_x	local_z	world_x	world_z	height
36105	32228	228x125	615.91	54.07	138855.91	69174.07	798.68
36105	31716	228x123	804.28	217.32	139044.28	65497.32	780.19
36111	31461	229x122	632.21	1602.39	140792.21	64962.39	810.89
36111	31717	229x123	1022.81	1316.13	141182.81	66596.13	645.26
36112	31717	229x123	1022.81	1316.13	141182.81	66596.13	645.26
36106	32228	228x125	621.91	54.07	138861.91	69174.07	798.68
36107	32228	228x125	614.91	54.07	138854.91	69174.07	798.68
36113	31717	229x123	1022.81	1316.13	141182.81	66596.13	645.26
36108	32228	228x125	615.91	54.07	138855.91	69174.07	798.68
36114	31717	229x123	1022.81	1316.13	141182.81	66596.13	645.26
36106	31716	228x123	804.28	217.32	139044.28	65497.32	780.19
36112	31461	229x122	632.21	1602.39	140792.21	64962.39	810.89
36108	31716	228x123	804.28	217.32	139044.28	65497.32	780.19
36114	31461	229x122	632.21	1602.39	140792.21	64962.39	810.89
36107	31716	228x123	804.28	217.32	139044.28	65497.32	780.19
36113	31461	229x122	632.21	1602.39	140792.21	64962.39	810.89
36109	31716	228x123	804.28	217.32	139044.28	65497.32	780.19
36115	31461	229x122	632.21	1602.39	140792.21	64962.39	810.89
36109	32228	228x125	616.91	54.07	138856.91	69174.07	798.68
36115	31717	229x123	1022.81	1316.13	141182.81	66596.13	645.26
36110	31716	228x123	804.28	217.32	139044.28	65497.32	780.19
36116	31461	229x122	632.21	1602.39	140792.21	64962.39	810.89
36110	32228	228x125	618.91	54.07	138858.91	69174.07	798.68
36116	31717	229x123	1022.81	1316.13	141182.81	66596.13	645.26
