refid	region	sector	local_x	local_z	world_x	world_z	height
36081	31971	227x124	763.18	1450.82	137083.18	68650.82	772.89
36081	31971	227x124	291.32	1309.43	136611.32	68509.43	782.03
36081	32227	227x125	244.74	405.34	136564.74	69525.34	835.51
36081	32226	226x125	1849.06	321.36	136249.06	69441.36	836.26
36081	31971	227x124	1449.67	363.7	137769.67	67563.7	796.21
36081	31972	228x124	118.42	427.51	138358.42	67627.51	789.09
36081	31719	231x123	942.63	671.92	144942.63	65951.92	797.27
36081	31719	231x123	581.19	591.65	144581.19	65871.65	800.53
36081	31462	230x122	1088.17	1262.13	143168.17	64622.13	804.63
36081	31462	230x122	512.14	1412.53	142592.14	64772.53	819.93
36081	31461	229x122	715.9	1805.54	140875.9	65165.54	817.37
36081	31461	229x122	430.62	1590.43	140590.62	64950.43	795.65
36081	31715	227x123	87.19	107.34	136407.19	65387.34	786.62
36081	31715	227x123	660.36	25.51	136980.36	65305.51	788.77
36082	31715	227x123	87.19	107.34	136407.19	65387.34	786.62
36082	31715	227x123	660.36	25.51	136980.36	65305.51	788.77
36083	31715	227x123	87.19	107.34	136407.19	65387.34	786.62
36083	31715	227x123	660.36	25.51	136980.36	65305.51	788.77
36084	31715	227x123	87.19	107.34	136407.19	65387.34	786.62
36084	31715	227x123	660.36	25.51	136980.36	65305.51	788.77
36082	31971	227x124	763.18	1450.82	137083.18	68650.82	772.89
36082	31971	227x124	291.32	1309.43	136611.32	68509.43	782.03
36082	32227	227x125	244.74	405.34	136564.74	69525.34	835.51
36082	32226	226x125	1849.06	321.36	136249.06	69441.36	836.26
36082	31971	227x124	1449.67	363.7	137769.67	67563.7	796.21
36082	31972	228x124	118.42	427.51	138358.42	67627.51	789.09
36082	31719	231x123	942.63	671.92	144942.63	65951.92	797.27
36082	31719	231x123	581.19	591.65	144581.19	65871.65	800.53
36082	31462	230x122	1088.17	1262.13	143168.17	64622.13	804.63
36082	31462	230x122	512.14	1412.53	142592.14	64772.53	819.93
36082	31461	229x122	715.9	1805.54	140875.9	65165.54	817.37
36082	31461	229x122	430.62	1590.43	140590.62	64950.43	795.65
36083	31971	227x124	763.18	1450.82	137083.18	68650.82	772.89
36083	31971	227x124	291.32	1309.43	136611.32	68509.43	782.03
36083	32227	227x125	244.74	405.34	136564.74	69525.34	835.51
36083	32226	226x125	1849.06	321.36	136249.06	69441.36	836.26
36083	31971	227x124	1449.67	363.7	137769.67	67563.7	796.21
36083	31972	228x124	118.42	427.51	138358.42	67627.51	789.09
36084	31461	229x122	715.9	1805.54	140875.9	65165.54	817.37
36084	31461	229x122	430.62	1590.43	140590.62	64950.43	795.65
36084	31719	231x123	942.63	671.92	144942.63	65951.92	797.27
36084	31719	231x123	581.19	591.65	144581.19	65871.65	800.53
36084	31462	230x122	1088.17	1262.13	143168.17	64622.13	804.63
36084	31462	230x122	512.14	1412.53	142592.14	64772.53	819.93
36084	31971	227x124	763.18	1450.82	137083.18	68650.82	772.89
36084	31971	227x124	291.32	1309.43	136611.32	68509.43	782.03
36084	32227	227x125	244.74	405.34	136564.74	69525.34	835.51
36084	32226	226x125	1849.06	321.36	136249.06	69441.36	836.26
36084	31971	227x124	1449.67	363.7	137769.67	67563.7	796.21
36084	31972	228x124	118.42	427.51	138358.42	67627.51	789.09
36083	31719	231x123	942.63	671.92	144942.63	65951.92	797.27
36083	31719	231x123	581.19	591.65	144581.19	65871.65	800.53
36083	31462	230x122	1088.17	1262.13	143168.17	64622.13	804.63
36083	31462	230x122	512.14	1412.53	142592.14	64772.53	819.93
36083	31461	229x122	715.9	1805.54	140875.9	65165.54	817.37
36083	31461	229x122	430.62	1590.43	140590.62	64950.43	795.65
36085	31971	227x124	763.18	1450.82	137083.18	68650.82	772.89
36085	31971	227x124	291.32	1309.43	136611.32	68509.43	782.03
36085	32227	227x125	244.74	405.34	136564.74	69525.34	835.51
36085	32226	226x125	1849.06	321.36	136249.06	69441.36	836.26
36085	31971	227x124	1449.67	363.7	137769.67	67563.7	796.21
36085	31972	228x124	118.42	427.51	138358.42	67627.51	789.09
36085	31719	231x123	942.63	671.92	144942.63	65951.92	797.27
36085	31719	231x123	581.19	591.65	144581.19	65871.65	800.53
36085	31462	230x122	1088.17	1262.13	143168.17	64622.13	804.63
36085	31462	230x122	512.14	1412.53	142592.14	64772.53	819.93
36085	31461	229x122	715.9	1805.54	140875.9	65165.54	817.37
36085	31461	229x122	430.62	1590.43	140590.62	64950.43	795.65
36085	31715	227x123	87.19	107.34	136407.19	65387.34	786.62
36085	31715	227x123	660.36	25.51	136980.36	65305.51	788.77
36086	31971	227x124	763.18	1450.82	137083.18	68650.82	772.89
36086	31971	227x124	291.32	1309.43	136611.32	68509.43	782.03
36086	32227	227x125	244.74	405.34	136564.74	69525.34	835.51
36086	32226	226x125	1849.06	321.36	136249.06	69441.36	836.26
36086	31971	227x124	1449.67	363.7	137769.67	67563.7	796.21
36086	31972	228x124	118.42	427.51	138358.42	67627.51	789.09
36086	31719	231x123	942.63	671.92	144942.63	65951.92	797.27
36086	31719	231x123	581.19	591.65	144581.19	65871.65	800.53
36086	31462	230x122	1088.17	1262.13	143168.17	64622.13	804.63
36086	31462	230x122	512.14	1412.53	142592.14	64772.53	819.93
36086	31461	229x122	715.9	1805.54	140875.9	65165.54	817.37
36086	31461	229x122	430.62	1590.43	140590.62	64950.43	795.65
36086	31715	227x123	87.19	107.34	136407.19	65387.34	786.62
36086	31715	227x123	660.36	25.51	136980.36	65305.51	788.77
