refid	region	sector	local_x	local_z	world_x	world_z	height
36093	32228	228x125	343.07	266.8	138583.07	69386.8	763.43
36093	31972	228x124	588.82	1663.22	138828.82	68863.22	770.48
36093	32228	228x125	1045.26	157.59	139285.26	69277.59	785.84
36093	31973	229x124	631.09	1075.75	140791.09	68275.75	801.24
36093	31973	229x124	873.52	1028.14	141033.52	68228.14	794.53
36093	31973	229x124	1621.63	1303.01	141781.63	68503.01	808.61
36093	31973	229x124	1423.01	556.1	141583.01	67756.1	773.53
36093	31718	230x123	1243.04	986.67	143323.04	66266.67	785.9
36093	31718	230x123	1474.42	1088.62	143554.42	66368.62	782.5
36093	31717	229x123	110.63	1069.89	140270.63	66349.89	694.38
36093	31717	229x123	176.83	595.23	140336.83	65875.23	742.42
36094	31972	228x124	316.8	1871.39	138556.8	69071.39	764.34
36094	31972	228x124	909.83	1742.17	139149.83	68942.17	780.69
36094	32228	228x125	1045.26	157.59	139285.26	69277.59	785.84
36095	31972	228x124	316.8	1871.39	138556.8	69071.39	764.34
36095	31972	228x124	909.83	1742.17	139149.83	68942.17	780.69
36095	32228	228x125	1045.26	157.59	139285.26	69277.59	785.84
36096	31972	228x124	316.8	1871.39	138556.8	69071.39	764.34
36096	31972	228x124	909.83	1742.17	139149.83	68942.17	780.69
36096	32228	228x125	1045.26	157.59	139285.26	69277.59	785.84
36094	31973	229x124	631.09	1075.75	140791.09	68275.75	801.24
36094	31973	229x124	873.52	1028.14	141033.52	68228.14	794.53
36094	31973	229x124	1621.63	1303.01	141781.63	68503.01	808.61
36094	31973	229x124	1423.01	556.1	141583.01	67756.1	773.53
36094	31718	230x123	1243.04	986.67	143323.04	66266.67	785.9
36094	31718	230x123	1474.42	1088.62	143554.42	66368.62	782.5
36094	31717	229x123	110.63	1069.89	140270.63	66349.89	694.38
36094	31717	229x123	176.83	595.23	140336.83	65875.23	742.42
36095	31973	229x124	631.09	1075.75	140791.09	68275.75	801.24
36095	31973	229x124	873.52	1028.14	141033.52	68228.14	794.53
36095	31973	229x124	1621.63	1303.01	141781.63	68503.01	808.61
36095	31973	229x124	1423.01	556.1	141583.01	67756.1	773.53
36096	31717	229x123	110.63	1069.89	140270.63	66349.89	694.38
36096	31717	229x123	176.83	595.23	140336.83	65875.23	742.42
36096	31718	230x123	1243.04	986.67	143323.04	66266.67	785.9
36096	31718	230x123	1474.42	1088.62	143554.42	66368.62	782.5
36096	31973	229x124	631.09	1075.75	140791.09	68275.75	801.24
36096	31973	229x124	873.52	1028.14	141033.52	68228.14	794.53
36096	31973	229x124	1621.63	1303.01	141781.63	68503.01	808.61
36096	31973	229x124	1423.01	556.1	141583.01	67756.1	773.53
36095	31718	230x123	1243.04	986.67	143323.04	66266.67	785.9
36095	31718	230x123	1474.42	1088.62	143554.42	66368.62	782.5
36095	31717	229x123	110.63	1069.89	140270.63	66349.89	694.38
36095	31717	229x123	176.83	595.23	140336.83	65875.23	742.42
36097	31973	229x124	631.09	1075.75	140791.09	68275.75	801.24
36097	31973	229x124	873.52	1028.14	141033.52	68228.14	794.53
36097	31973	229x124	1621.63	1303.01	141781.63	68503.01	808.61
36097	31973	229x124	1423.01	556.1	141583.01	67756.1	773.53
36097	31718	230x123	1243.04	986.67	143323.04	66266.67	785.9
36097	31718	230x123	1474.42	1088.62	143554.42	66368.62	782.5
36097	31717	229x123	110.63	1069.89	140270.63	66349.89	694.38
36097	31717	229x123	176.83	595.23	140336.83	65875.23	742.42
36097	31972	228x124	316.8	1871.39	138556.8	69071.39	764.34
36097	31972	228x124	909.83	1742.17	139149.83	68942.17	780.69
36097	32228	228x125	1045.26	157.59	139285.26	69277.59	785.84
36098	31973	229x124	631.09	1075.75	140791.09	68275.75	801.24
36098	31973	229x124	873.52	1028.14	141033.52	68228.14	794.53
36098	31973	229x124	1621.63	1303.01	141781.63	68503.01	808.61
36098	31973	229x124	1423.01	556.1	141583.01	67756.1	773.53
36098	31717	229x123	110.63	1069.89	140270.63	66349.89	694.38
36098	31717	229x123	176.83	595.23	140336.83	65875.23	742.42
36098	31972	228x124	316.8	1871.39	138556.8	69071.39	764.34
36098	31972	228x124	909.83	1742.17	139149.83	68942.17	780.69
36098	32228	228x125	1045.26	157.59	139285.26	69277.59	785.84
