refid	region	sector	local_x	local_z	world_x	world_z	height
36087	32226	226x125	1335.54	1684.8	135735.54	70804.8	750
36087	32226	226x125	1562.52	1569.94	135962.52	70689.94	765.17
36087	32226	226x125	619.42	1207.02	135019.42	70327.02	768.02
36087	32226	226x125	782.15	898.58	135182.15	70018.58	763.05
36087	31972	228x124	316.8	1871.39	138556.8	69071.39	764.34
36087	31972	228x124	909.83	1742.17	139149.83	68942.17	780.69
36087	32228	228x125	743.39	319.42	138983.39	69439.42	781.66
36087	31718	230x123	890.95	1717.29	142970.95	66997.29	720.34
36087	31718	230x123	1373.86	1615.95	143453.86	66895.95	725.42
36087	31718	230x123	1737.56	716.66	143817.56	65996.66	798.22
36087	31718	230x123	1552.89	515.85	143632.89	65795.85	795.66
36088	32228	228x125	743.39	319.42	138983.39	69439.42	781.66
36088	32228	228x125	343.07	266.8	138583.07	69386.8	763.43
36088	31972	228x124	588.82	1663.22	138828.82	68863.22	770.48
36089	32228	228x125	743.39	319.42	138983.39	69439.42	781.66
36089	32228	228x125	343.07	266.8	138583.07	69386.8	763.43
36089	31972	228x124	588.82	1663.22	138828.82	68863.22	770.48
36090	32228	228x125	743.39	319.42	138983.39	69439.42	781.66
36090	32228	228x125	343.07	266.8	138583.07	69386.8	763.43
36090	31972	228x124	588.82	1663.22	138828.82	68863.22	770.48
36088	32226	226x125	1335.54	1684.8	135735.54	70804.8	750
36088	32226	226x125	1562.52	1569.94	135962.52	70689.94	765.17
36088	32226	226x125	619.42	1207.02	135019.42	70327.02	768.02
36088	32226	226x125	782.15	898.58	135182.15	70018.58	763.05
36088	31718	230x123	890.95	1717.29	142970.95	66997.29	720.34
36088	31718	230x123	1373.86	1615.95	143453.86	66895.95	725.42
36088	31718	230x123	1737.56	716.66	143817.56	65996.66	798.22
36088	31718	230x123	1552.89	515.85	143632.89	65795.85	795.66
36089	32226	226x125	1562.52	1569.94	135962.52	70689.94	765.17
36089	32226	226x125	619.42	1207.02	135019.42	70327.02	768.02
36089	32226	226x125	782.15	898.58	135182.15	70018.58	763.05
36089	32226	226x125	1335.54	1684.8	135735.54	70804.8	750
36090	31718	230x123	890.95	1717.29	142970.95	66997.29	720.34
36090	31718	230x123	1373.86	1615.95	143453.86	66895.95	725.42
36090	31718	230x123	1737.56	716.66	143817.56	65996.66	798.22
36090	31718	230x123	1552.89	515.85	143632.89	65795.85	795.66
36090	32226	226x125	1562.52	1569.94	135962.52	70689.94	765.17
36090	32226	226x125	619.42	1207.02	135019.42	70327.02	768.02
36090	32226	226x125	782.15	898.58	135182.15	70018.58	763.05
36090	32226	226x125	1335.54	1684.8	135735.54	70804.8	750
36089	31718	230x123	890.95	1717.29	142970.95	66997.29	720.34
36089	31718	230x123	1373.86	1615.95	143453.86	66895.95	725.42
36089	31718	230x123	1737.56	716.66	143817.56	65996.66	798.22
36089	31718	230x123	1552.89	515.85	143632.89	65795.85	795.66
36091	32226	226x125	1562.52	1569.94	135962.52	70689.94	765.17
36091	32226	226x125	619.42	1207.02	135019.42	70327.02	768.02
36091	32226	226x125	782.15	898.58	135182.15	70018.58	763.05
36091	32226	226x125	1335.54	1684.8	135735.54	70804.8	750
36091	31718	230x123	890.95	1717.29	142970.95	66997.29	720.34
36091	31718	230x123	1373.86	1615.95	143453.86	66895.95	725.42
36091	31718	230x123	1737.56	716.66	143817.56	65996.66	798.22
36091	31718	230x123	1552.89	515.85	143632.89	65795.85	795.66
36091	32228	228x125	743.39	319.42	138983.39	69439.42	781.66
36091	32228	228x125	343.07	266.8	138583.07	69386.8	763.43
36091	31972	228x124	588.82	1663.22	138828.82	68863.22	770.48
36092	32226	226x125	1562.52	1569.94	135962.52	70689.94	765.17
36092	32226	226x125	619.42	1207.02	135019.42	70327.02	768.02
36092	32226	226x125	782.15	898.58	135182.15	70018.58	763.05
36092	32226	226x125	1335.54	1684.8	135735.54	70804.8	750
36092	31718	230x123	890.95	1717.29	142970.95	66997.29	720.34
36092	31718	230x123	1373.86	1615.95	143453.86	66895.95	725.42
36092	31718	230x123	1243.04	986.67	143323.04	66266.67	785.9
36092	31718	230x123	1474.42	1088.62	143554.42	66368.62	782.5
36092	31718	230x123	1737.56	716.66	143817.56	65996.66	798.22
36092	31718	230x123	1552.89	515.85	143632.89	65795.85	795.66
36092	32228	228x125	743.39	319.42	138983.39	69439.42	781.66
36092	32228	228x125	343.07	266.8	138583.07	69386.8	763.43
36092	31972	228x124	588.82	1663.22	138828.82	68863.22	770.48
