refid	region	sector	local_x	local_z	world_x	world_z	height
36063	32483	227x126	1441.3	218.56	137761.3	71258.56	818.17
36063	32483	227x126	1066.49	512.94	137386.49	71552.94	820.68
36063	32226	226x125	1549.46	1759.06	135949.46	70879.06	759.35
36063	32226	226x125	1387.58	1475.45	135787.58	70595.45	759.66
36069	32226	226x125	866.6	309.95	135266.6	69429.95	800.31
36069	32226	226x125	873.82	39.2	135273.82	69159.2	772.08
36063	32227	227x125	1527.65	75.41	137847.65	69195.41	771.52
36063	31971	227x124	1446.65	1526.04	137766.65	68726.04	757.73
36063	32228	228x125	180.94	849.8	138420.94	69969.8	830.43
36063	32228	228x125	1413.29	764.11	139653.29	69884.11	800.65
36063	31972	228x124	1327.78	1412.91	139567.78	68612.91	785.72
36063	31972	228x124	192.21	1402.83	138432.21	68602.83	776.49
36069	32229	229x125	198.69	238.18	140358.69	69358.18	790.55
36069	32229	229x125	582.79	349.44	140742.79	69469.44	796.82
36069	31973	229x124	968.73	1605.16	141128.73	68805.16	812.07
36069	31973	229x124	800.0	1716.43	140960.0	68916.43	815.8
36063	31719	231x123	1129.1	1764.01	145129.1	67044.01	676.29
36063	31719	231x123	1085.92	1370.17	145085.92	66650.17	674.56
36069	31719	231x123	1214.74	1567.53	145214.74	66847.53	675.14
36069	31719	231x123	923.69	1383.99	144923.69	66663.99	670.59
36063	31717	229x123	1363.31	1807.05	141523.31	67087.05	668.13
36063	31717	229x123	1145.57	1173.67	141305.57	66453.67	649.97
36063	31717	229x123	967.78	1579.28	141127.78	66859.28	645.26
36069	31717	229x123	1695.36	1208.48	141855.36	66488.48	693.42
36069	31717	229x123	1711.97	1632.12	141871.97	66912.12	688.04
36069	31717	229x123	1438.09	1129.02	141598.09	66409.02	668.61
36063	31973	229x124	942.21	111.15	141102.21	67311.15	646.96
36063	31717	229x123	790.67	808.49	140950.67	66088.49	681.04
36063	31717	229x123	1899.18	869.46	142059.18	66149.46	711.1
36063	31974	230x124	42.88	177.47	142122.88	67377.47	711.68
36063	31714	226x123	1726.01	523.33	136126.01	65803.33	785.25
36063	31715	227x123	712.79	786.98	137032.79	66066.98	783.52
36063	31458	226x122	1871.35	1435.83	136271.35	64795.83	789.65
36063	31459	227x122	892.68	1514.06	137212.68	64874.06	788.11
36063	32228	228x125	359.42	1854.14	138599.42	70974.14	826.24
36063	32484	228x126	135.79	69.47	138375.79	71109.47	825.06
36069	32483	227x126	1340.55	204.71	137660.55	71244.71	819.8
36069	32483	227x126	1189.44	445.36	137509.44	71485.36	813.72
36069	32483	227x126	643.39	154.79	136963.39	71194.79	824.21
36069	32483	227x126	272.43	289.15	136592.43	71329.15	768.5
36064	31717	229x123	1363.31	1807.05	141523.31	67087.05	668.13
36064	31717	229x123	1145.57	1173.67	141305.57	66453.67	649.97
36064	31717	229x123	967.78	1579.28	141127.78	66859.28	645.26
36070	31717	229x123	1695.36	1208.48	141855.36	66488.48	693.42
36070	31717	229x123	1711.97	1632.12	141871.97	66912.12	688.04
36070	31717	229x123	1438.09	1129.02	141598.09	66409.02	668.61
36064	31973	229x124	942.21	111.15	141102.21	67311.15	646.96
36064	31717	229x123	790.67	808.49	140950.67	66088.49	681.04
36064	31717	229x123	1899.18	869.46	142059.18	66149.46	711.1
36064	31974	230x124	42.88	177.47	142122.88	67377.47	711.68
36064	31714	226x123	1726.01	523.33	136126.01	65803.33	785.25
36064	31715	227x123	712.79	786.98	137032.79	66066.98	783.52
36064	31458	226x122	1871.35	1435.83	136271.35	64795.83	789.65
36064	31459	227x122	892.68	1514.06	137212.68	64874.06	788.11
36064	32228	228x125	1413.29	764.11	139653.29	69884.11	800.65
36064	32228	228x125	180.94	849.8	138420.94	69969.8	830.43
36064	31972	228x124	1327.78	1412.91	139567.78	68612.91	785.72
36064	31972	228x124	192.21	1402.83	138432.21	68602.83	776.49
36065	32228	228x125	1413.29	764.11	139653.29	69884.11	800.65
36065	32228	228x125	180.94	849.8	138420.94	69969.8	830.43
36065	31972	228x124	1327.78	1412.91	139567.78	68612.91	785.72
36065	31972	228x124	192.21	1402.83	138432.21	68602.83	776.49
36065	31717	229x123	1363.31	1807.05	141523.31	67087.05	668.13
36065	31717	229x123	1145.57	1173.67	141305.57	66453.67	649.97
36065	31717	229x123	967.78	1579.28	141127.78	66859.28	645.26
36071	31717	229x123	1695.36	1208.48	141855.36	66488.48	693.42
36071	31717	229x123	1711.97	1632.12	141871.97	66912.12	688.04
36071	31717	229x123	1438.09	1129.02	141598.09	66409.02	668.61
36065	31973	229x124	942.21	111.15	141102.21	67311.15	646.96
36065	31717	229x123	790.67	808.49	140950.67	66088.49	681.04
36065	31717	229x123	1899.18	869.46	142059.18	66149.46	711.1
36065	31974	230x124	42.88	177.47	142122.88	67377.47	711.68
36065	31714	226x123	1726.01	523.33	136126.01	65803.33	785.25
36065	31715	227x123	712.79	786.98	137032.79	66066.98	783.52
36065	31458	226x122	1871.35	1435.83	136271.35	64795.83	789.65
36065	31459	227x122	892.68	1514.06	137212.68	64874.06	788.11
36066	32228	228x125	1413.29	764.11	139653.29	69884.11	800.65
36066	32228	228x125	180.94	849.8	138420.94	69969.8	830.43
36066	31972	228x124	1327.78	1412.91	139567.78	68612.91	785.72
36066	31972	228x124	192.21	1402.83	138432.21	68602.83	776.49
36066	31717	229x123	1363.31	1807.05	141523.31	67087.05	668.13
36066	31717	229x123	1145.57	1173.67	141305.57	66453.67	649.97
36066	31717	229x123	967.78	1579.28	141127.78	66859.28	645.26
36072	31717	229x123	1695.36	1208.48	141855.36	66488.48	693.42
36072	31717	229x123	1711.97	1632.12	141871.97	66912.12	688.04
36072	31717	229x123	1438.09	1129.02	141598.09	66409.02	668.61
36066	31973	229x124	942.21	111.15	141102.21	67311.15	646.96
36066	31717	229x123	790.67	808.49	140950.67	66088.49	681.04
36066	31717	229x123	1899.18	869.46	142059.18	66149.46	711.1
36066	31974	230x124	42.88	177.47	142122.88	67377.47	711.68
36066	31714	226x123	1726.01	523.33	136126.01	65803.33	785.25
36066	31715	227x123	712.79	786.98	137032.79	66066.98	783.52
36066	31458	226x122	1871.35	1435.83	136271.35	64795.83	789.65
36066	31459	227x122	892.68	1514.06	137212.68	64874.06	788.11
36064	32483	227x126	1441.3	218.56	137761.3	71258.56	818.17
36064	32483	227x126	1066.49	512.94	137386.49	71552.94	820.68
36064	32226	226x125	1549.46	1759.06	135949.46	70879.06	759.35
36064	32226	226x125	1387.58	1475.45	135787.58	70595.45	759.66
36070	32226	226x125	866.6	309.95	135266.6	69429.95	800.31
36070	32226	226x125	873.82	39.2	135273.82	69159.2	772.08
36064	32227	227x125	1527.65	75.41	137847.65	69195.41	771.52
36064	31971	227x124	1446.65	1526.04	137766.65	68726.04	757.73
36064	32228	228x125	359.42	1854.14	138599.42	70974.14	826.24
36064	32484	228x126	135.79	69.47	138375.79	71109.47	825.06
36070	32483	227x126	1340.55	204.71	137660.55	71244.71	819.8
36070	32483	227x126	1189.44	445.36	137509.44	71485.36	813.72
36070	32483	227x126	643.39	154.79	136963.39	71194.79	824.21
36070	32483	227x126	272.43	289.15	136592.43	71329.15	768.5
36070	32229	229x125	198.69	238.18	140358.69	69358.18	790.55
36070	32229	229x125	582.79	349.44	140742.79	69469.44	796.82
36070	31973	229x124	968.73	1605.16	141128.73	68805.16	812.07
36070	31973	229x124	800.0	1716.43	140960.0	68916.43	815.8
36064	31719	231x123	1129.1	1764.01	145129.1	67044.01	676.29
36064	31719	231x123	1085.92	1370.17	145085.92	66650.17	674.56
36070	31719	231x123	1214.74	1567.53	145214.74	66847.53	675.14
36070	31719	231x123	923.69	1383.99	144923.69	66663.99	670.59
36065	32226	226x125	1387.58	1475.45	135787.58	70595.45	759.66
36071	32226	226x125	866.6	309.95	135266.6	69429.95	800.31
36071	32226	226x125	873.82	39.2	135273.82	69159.2	772.08
36065	32227	227x125	1527.65	75.41	137847.65	69195.41	771.52
36065	31971	227x124	1446.65	1526.04	137766.65	68726.04	757.73
36065	32228	228x125	359.42	1854.14	138599.42	70974.14	826.24
36065	32484	228x126	135.79	69.47	138375.79	71109.47	825.06
36071	32483	227x126	1340.55	204.71	137660.55	71244.71	819.8
36071	32483	227x126	1189.44	445.36	137509.44	71485.36	813.72
36071	32483	227x126	643.39	154.79	136963.39	71194.79	824.21
36071	32483	227x126	272.43	289.15	136592.43	71329.15	768.5
36065	32483	227x126	1441.3	218.56	137761.3	71258.56	818.17
36065	32483	227x126	1066.49	512.94	137386.49	71552.94	820.68
36065	32226	226x125	1549.46	1759.06	135949.46	70879.06	759.35
36071	31973	229x124	800.0	1716.43	140960.0	68916.43	815.8
