refid	region	sector	local_x	local_z	world_x	world_z	height
41388	25291	203x98	1676.81	1669.22	91916.81	18949.22	-166.57
41388	25292	204x98	628.4	1470.1	92788.4	18750.1	-144.24
41388	25547	203x99	1494.78	327.24	91734.78	19527.24	-87.11
41388	25548	204x99	551.13	303.69	92711.13	19503.69	-7
41388	25548	204x99	1442.76	135.0	93602.76	19335.0	3.52
41388	25548	204x99	58.56	324.86	92218.56	19524.86	-23.3
41388	25292	204x98	1072.91	1740.37	93232.91	19020.37	-63.95
41388	25292	204x98	222.07	1768.81	92382.07	19048.81	-125.97
41388	25548	204x99	1035.51	380.98	93195.51	19580.98	-1.93
41388	25293	205x98	91.16	1888.25	94171.16	19168.25	28.84
41388	25549	205x99	273.51	387.47	94353.51	19587.47	0.8
41388	25293	205x98	632.21	1817.97	94712.21	19097.97	47.06
41388	25549	205x99	1009.02	304.3	95089.02	19504.3	52.01
41388	25293	205x98	1303.93	1833.15	95383.93	19113.15	39.94
41388	25549	205x99	1670.86	257.28	95750.86	19457.28	8.22
41388	25549	205x99	1910.1	18.44	95990.1	19218.44	4.43
41388	25550	206x99	466.03	131.41	96466.03	19331.41	-33.09
41388	25294	206x98	921.3	1756.11	96921.3	19036.11	-118.16
41388	25294	206x98	1275.91	1628.15	97275.91	18908.15	-158.9
41388	25293	205x98	1089.25	1014.08	95169.25	18294.08	9.06
41388	25293	205x98	1606.1	1078.85	95686.1	18358.85	13.01
41388	25294	206x98	303.99	1024.98	96303.99	18304.98	-33.51
41388	25293	205x98	1264.01	509.88	95344.01	17789.88	9.52
41388	25293	205x98	1858.53	450.81	95938.53	17730.81	-0.05
41388	25293	205x98	1813.24	36.78	95893.24	17316.78	0
41388	25294	206x98	460.37	491.52	96460.37	17771.52	-50.59
41388	25294	206x98	871.69	794.6	96871.69	18074.6	-102.24
41388	25294	206x98	1350.72	493.34	97350.72	17773.34	-159.16
41388	25294	206x98	978.41	190.04	96978.41	17470.04	-111.71
41388	25038	206x97	494.41	1904.08	96494.41	17264.08	-20.27
41388	25038	206x97	1485.54	1872.25	97485.54	17232.25	-145.34
41388	25294	206x98	329.31	337.63	96329.31	17617.63	-20.03
41388	25294	206x98	260.59	361.26	96260.59	17641.26	-13
41388	25293	205x98	906.79	1693.26	94986.79	18973.26	47
41388	25293	205x98	833.09	1715.94	94913.09	18995.94	46.99
41389	-32746	22x-128	-2215.85	527.72	-259495.85	-416112.28	1.11
41389	-32746	22x-128	-2130.7	369.48	-259410.7	-416270.52	1.11
41389	-32746	22x-128	-2318.57	35.52	-259598.57	-416604.48	1.11
41389	-32746	22x-128	-2570.88	207.21	-259850.88	-416432.79	1.11
41389	-32746	22x-128	-2582.73	548.3	-259862.73	-416091.7	1.11
41390	-32746	22x-128	-1469.21	849.01	-258749.21	-415790.99	1.59
41390	-32746	22x-128	1457.57	2090.85	-255822.43	-414549.15	1.11
41390	-32746	22x-128	1079.32	1906.64	-256200.68	-414733.36	1.11
41390	-32746	22x-128	1814.26	1932.02	-255465.74	-414707.98	1.11
41390	-32746	22x-128	1658.29	1569.4	-255621.71	-415070.6	1.11
41390	-32746	22x-128	1263.49	1545.38	-256016.51	-415094.62	1.11
41390	-32746	22x-128	2226.91	701.22	-255053.09	-415938.78	1.11
41390	-32746	22x-128	2002.01	295.72	-255277.99	-416344.28	1.11
41390	-32746	22x-128	2598.87	673.84	-254681.13	-415966.16	1.11
41390	-32746	22x-128	2571.46	221.63	-254708.54	-416418.37	1.11
41390	-32746	22x-128	2181.12	-20.13	-255098.88	-416660.13	1.11
41390	-32746	22x-128	1107.58	47.6	-256172.42	-416592.4	1.11
41390	-32746	22x-128	1428.86	172.23	-255851.14	-416467.77	1.11
41390	-32746	22x-128	1691.81	65.09	-255588.19	-416574.91	1.11
41390	-32746	22x-128	1805.45	-144.55	-255474.55	-416784.55	1.11
41390	-32746	22x-128	1709.84	-399.21	-255570.16	-417039.21	1.11
41390	-32746	22x-128	1481.02	-323.68	-255798.98	-416963.68	1.11
41389	-32746	22x-128	-419.08	285.9	-257699.08	-416354.1	1.11
41389	-32746	22x-128	-453.1	229.86	-257733.1	-416410.14	1.11
41389	-32746	22x-128	-779.62	505.02	-258059.62	-416134.98	1.11
41389	-32746	22x-128	-821.64	433.98	-258101.64	-416206.02	1.11
41389	-32746	22x-128	-1210.65	-64.47	-258490.65	-416704.47	1.11
41389	-32746	22x-128	-1170.82	-125.95	-258450.82	-416765.95	1.11
41389	-32746	22x-128	-1734.62	-65.48	-259014.62	-416705.48	1.11
41389	-32746	22x-128	-1778.59	-121.3	-259058.59	-416761.3	1.11
41390	-32746	22x-128	-2430.29	1571.56	-259710.29	-415068.44	1.11
41390	-32746	22x-128	-2101.7	1565.42	-259381.7	-415074.58	1.11
41390	-32746	22x-128	-2224.99	1271.25	-259504.99	-415368.75	1.11
41390	-32746	22x-128	-2534.73	1233.74	-259814.73	-415406.26	1.11
41390	-32746	22x-128	-1690.68	2019.24	-258970.68	-414620.76	1.11
41390	-32746	22x-128	-1226.27	2002.11	-258506.27	-414637.89	1.11
41390	-32746	22x-128	-1459.47	1739.23	-258739.47	-414900.77	1.11
41390	-32746	22x-128	-801.28	1573.37	-258081.28	-415066.63	1.11
41390	-32746	22x-128	-815.94	1297.65	-258095.94	-415342.35	1.11
41390	-32746	22x-128	-523.34	1126.64	-257803.34	-415513.36	1.11
41390	-32746	22x-128	-341.55	1337.54	-257621.55	-415302.46	1.11
41390	-32746	22x-128	-440.35	1595.67	-257720.35	-415044.33	1.11
41390	-32746	22x-128	820.67	477.41	-256459.33	-416162.59	1.11
41390	-32746	22x-128	402.11	232.97	-256877.89	-416407.03	1.11
41391	-32746	22x-128	2087.38	296.21	-255192.62	-416343.79	1.11
41391	-32746	22x-128	2224.49	11.08	-255055.51	-416628.92	1.11
41391	-32746	22x-128	2548.81	246.52	-254731.19	-416393.48	1.11
41391	-32746	22x-128	2589.68	636.29	-254690.32	-416003.71	1.11
41391	-32746	22x-128	2266.36	643.82	-255013.64	-415996.18	1.11
41391	-32746	22x-128	1483.35	2099.15	-255796.65	-414540.85	1.11
41391	-32746	22x-128	1854.93	1925.89	-255425.07	-414714.11	1.11
41391	-32746	22x-128	1706.99	1583.34	-255573.01	-415056.66	1.11
41391	-32746	22x-128	1286.33	1559.4	-255993.67	-415080.6	1.11
41391	-32746	22x-128	1124.1	1918.36	-256155.9	-414721.64	1.11
41391	-32746	22x-128	-1472.9	858.45	-258752.9	-415781.55	1.59
41391	-32746	22x-128	575.73	-1148.85	-256704.27	-417788.85	1.11
41391	-32746	22x-128	759.6	-1016.57	-256520.4	-417656.57	1.11
41391	-32746	22x-128	1083.4	-1111.17	-256196.6	-417751.17	1.11
41391	-32746	22x-128	716.16	-1437.03	-256563.84	-418077.03	1.11
41391	-32746	22x-128	1047.4	-1549.26	-256232.6	-418189.26	1.11
41391	-32746	22x-128	1166.57	-1457.34	-256113.43	-418097.34	1.11
41392	-32746	22x-128	-2216.76	537.93	-259496.76	-416102.07	1.11
41392	-32746	22x-128	-2130.94	379.2	-259410.94	-416260.8	1.11
41392	-32746	22x-128	-2590.45	558.48	-259870.45	-416081.52	1.11
41392	-32746	22x-128	-2580.55	213.17	-259860.55	-416426.83	1.11
41392	-32746	22x-128	-2325.73	38.58	-259605.73	-416601.42	1.11
41391	-32746	22x-128	754.02	456.08	-256525.98	-416183.92	1.11
41391	-32746	22x-128	764.44	489.06	-256515.56	-416150.94	1.11
41391	-32746	22x-128	791.95	446.54	-256488.05	-416193.46	1.11
41391	-32746	22x-128	477.08	269.28	-256802.92	-416370.72	1.11
