refid	region	sector	local_x	local_z	world_x	world_z	height
41402	25291	203x98	366.33	943.06	90606.33	18223.06	-211.64
41402	25291	203x98	790.95	1249.72	91030.95	18529.72	-215.02
41402	25290	202x98	1731.64	1216.41	90051.64	18496.41	-214.92
41402	25290	202x98	1220.56	1436.07	89540.56	18716.07	-195.83
41401	25290	202x98	933.06	1822.65	89253.06	19102.65	-190.55
41401	25546	202x99	1540.08	101.27	89860.08	19301.27	-77.14
41401	25290	202x98	1834.76	1742.51	90154.76	19022.51	-172.25
41401	25291	203x98	403.15	1527.87	90643.15	18807.87	-205.68
41401	25547	203x99	233.37	323.36	90473.37	19523.36	-142.74
41401	25547	203x99	744.73	83.56	90984.73	19283.56	-176.63
41402	25291	203x98	1115.47	1677.18	91355.47	18957.18	-181.12
41401	25292	204x98	949.55	463.47	93109.55	17743.47	-187.68
41401	25292	204x98	1805.43	739.66	93965.43	18019.66	-70.28
41402	25291	203x98	1242.75	727.5	91482.75	18007.5	-197.36
41402	25291	203x98	1747.75	913.62	91987.75	18193.62	-194.99
41402	25292	204x98	282.87	742.1	92442.87	18022.1	-163.33
41401	25292	204x98	1393.42	627.88	93553.42	17907.88	-133.62
41402	25293	205x98	170.27	1078.29	94250.27	18358.29	-1.89
41401	25036	204x97	1523.16	1875.9	93683.16	17235.9	-147.98
41402	25293	205x98	91.54	134.32	94171.54	17414.32	-146.06
41402	25293	205x98	409.41	457.8	94489.41	17737.8	-64.88
41401	25036	204x97	1802.91	1368.48	93962.91	16728.48	-147.27
41402	25037	205x97	343.9	1614.35	94423.9	16974.35	-62.26
41402	25293	205x98	736.5	20.41	94816.5	17300.41	-50.51
41402	25037	205x97	931.74	1626.56	95011.74	16986.56	16.95
41402	25037	205x97	594.58	1248.93	94674.58	16608.93	-77.46
41402	25037	205x97	241.63	971.5	94321.63	16331.5	-116.07
41402	25037	205x97	367.51	663.72	94447.51	16023.72	-163.53
41402	25038	206x97	145.7	1504.05	96145.7	16864.05	-1.94
41402	25038	206x97	852.32	1575.65	96852.32	16935.65	-76.64
41402	25038	206x97	1221.11	1371.51	97221.11	16731.51	-121.16
41402	25038	206x97	1668.08	1200.47	97668.08	16560.47	-168.18
41402	25037	205x97	1541.79	1225.78	95621.79	16585.78	3.39
41402	25038	206x97	145.32	657.86	96145.32	16017.86	-59.58
41402	25038	206x97	875.34	488.07	96875.34	15848.07	-122.1
41402	24782	206x96	612.16	1678.91	96612.16	15118.91	-142.92
41402	24781	205x96	1751.93	1802.29	95831.93	15242.29	-174.66
41402	25037	205x97	1304.4	418.7	95384.4	15778.7	-148.51
41402	24781	205x96	1129.08	1479.95	95209.08	14919.95	-207.15
41402	24782	206x96	72.87	1020.35	96072.87	14460.35	-162.79
41401	25037	205x97	1275.5	785.89	95355.5	16145.89	-73.33
41401	25037	205x97	869.81	6.3	94949.81	15366.3	-181.26
41401	24781	205x96	708.53	1373.61	94788.53	14813.61	-205.61
41401	24781	205x96	982.3	903.41	95062.3	14343.41	-196.76
41401	24781	205x96	1567.05	1242.42	95647.05	14682.42	-194.62
41401	24781	205x96	1540.4	704.59	95620.4	14144.59	-191.89
41401	24782	206x96	263.8	557.38	96263.8	13997.38	-161.28
41401	24782	206x96	604.17	1126.84	96604.17	14566.84	-161.4
41401	24782	206x96	1048.51	1546.5	97048.51	14986.5	-161.05
41401	25038	206x97	1229.21	51.91	97229.21	15411.91	-194.36
41401	25038	206x97	366.98	226.59	96366.98	15586.59	-49.18
41401	25038	206x97	1454.5	537.08	97454.5	15897.08	-181.98
41401	25038	206x97	680.58	903.41	96680.58	16263.41	-32.71
41401	25037	205x97	1721.02	350.98	95801.02	15710.98	-120.49
41401	25037	205x97	1355.52	5.61	95435.52	15365.61	-171.29
41401	25294	206x98	1035.52	574.86	97035.52	17854.86	-114.51
41401	25294	206x98	1293.62	913.02	97293.62	18193.02	-141.28
41402	25038	206x97	937.06	321.03	96937.06	15681.03	-136.95
41402	25038	206x97	901.67	345.37	96901.67	15705.37	-129.74
41402	25293	205x98	290.05	1013.75	94370.05	18293.75	0.62
41402	25293	205x98	341.37	1002.43	94421.37	18282.43	3.46
41403	-32746	22x-128	-3.14	-1695.38	-257283.14	-418335.38	1.59
41403	-32746	22x-128	-1469.21	849.01	-258749.21	-415790.99	1.59
41403	-32746	22x-128	2094.44	498.59	-255185.56	-416141.41	1.11
41403	-32746	22x-128	2409.62	580.22	-254870.38	-416059.78	1.11
41403	-32746	22x-128	2612.29	427.62	-254667.71	-416212.38	1.11
41403	-32746	22x-128	2370.46	67.85	-254909.54	-416572.15	1.11
41403	-32746	22x-128	2072.88	123.58	-255207.12	-416516.42	1.11
41403	-32746	22x-128	1421.34	871.28	-255858.66	-415768.72	1.59
41403	-32746	22x-128	922.27	-1149.41	-256357.73	-417789.41	1.11
41403	-32746	22x-128	901.23	-2223.27	-256378.77	-418863.27	1.03
41403	-32746	22x-128	-773.0	-1035.62	-258053.0	-417675.62	1.11
41403	-32746	22x-128	-956.97	-1298.34	-258236.97	-417938.34	1.11
41403	-32746	22x-128	1421.34	820.28	-255858.66	-415819.72	1.59
41403	-32746	22x-128	1466.34	792.28	-255813.66	-415847.72	1.59
41403	-32746	22x-128	1515.34	873.28	-255764.66	-415766.72	1.59
41403	-32746	22x-128	1515.34	820.28	-255764.66	-415819.72	1.59
41403	-32746	22x-128	1466.34	901.28	-255813.66	-415738.72	1.59
41404	-32746	22x-128	1606.75	1022.7	-255673.25	-415617.3	1.59
41404	-32746	22x-128	1649.86	957.79	-255630.14	-415682.21	1.59
41404	-32746	22x-128	1696.71	899.09	-255583.29	-415740.91	1.59
41404	-32746	22x-128	-1472.9	858.45	-258752.9	-415781.55	1.59
41404	-32746	22x-128	-33.41	-1677.76	-257313.41	-418317.76	1.59
41404	-32746	22x-128	2085.61	500.23	-255194.39	-416139.77	1.11
41404	-32746	22x-128	2414.81	594.52	-254865.19	-416045.48	1.11
41404	-32746	22x-128	2620.25	443.51	-254659.75	-416196.49	1.11
41404	-32746	22x-128	2374.49	76.5	-254905.51	-416563.5	1.11
41404	-32746	22x-128	2070.66	134.41	-255209.34	-416505.59	1.11
41404	-32746	22x-128	-41.53	-647.76	-257321.53	-417287.76	1.11
41404	-32746	22x-128	-13.4	-633.86	-257293.4	-417273.86	1.11
41404	-32746	22x-128	14.63	-642.77	-257265.37	-417282.77	1.11
41404	-32746	22x-128	-734.28	-1045.18	-258014.28	-417685.18	1.11
41404	-32746	22x-128	-771.08	-1060.75	-258051.08	-417700.75	1.11
41404	-32746	22x-128	-929.36	-1316.57	-258209.36	-417956.57	1.11
41404	-32746	22x-128	-931.28	-1363.57	-258211.28	-418003.57	1.11
41404	-32746	22x-128	823.33	-2186.53	-256456.67	-418826.53	1.11
41404	-32746	22x-128	826.97	-2215.81	-256453.03	-418855.81	1.11
41404	-32746	22x-128	-1468.0	849.0	-258748.0	-415791.0	1.588583
41404	-32746	22x-128	-33.41	-1714.76	-257313.41	-418354.76	1.59
41404	-32746	22x-128	32.59	-1677.76	-257247.41	-418317.76	1.59
41404	-32746	22x-128	32.59	-1714.76	-257247.41	-418354.76	1.59
41757	-32746	22x-128	1345.41	1076.03	-255934.59	-415563.97	1.59
41757	-32746	22x-128	1593.45	1074.1	-255686.55	-415565.9	1.59
41757	-32746	22x-128	1716.05	846.07	-255563.95	-415793.93	1.59
41757	-32746	22x-128	1600.48	640.32	-255679.52	-415999.68	1.59
41757	-32746	22x-128	1339.99	638.42	-255940.01	-416001.58	1.59
41757	-32746	22x-128	1228.07	852.88	-256051.93	-415787.12	1.59
41756	-32746	22x-128	1364.89	909.44	-255915.11	-415730.56	1.59
41756	-32746	22x-128	1568.69	907.88	-255711.31	-415732.12	1.59
41756	-32746	22x-128	1466.72	733.58	-255813.28	-415906.42	1.59
41756	-32746	22x-128	1467.82	852.85	-255812.18	-415787.15	1.59
41756	-32746	22x-128	1467.82	852.85	-255812.18	-415787.15	1.59
