refid	region	sector	local_x	local_z	world_x	world_z	height
41386	-32746	22x-128	-2215.85	527.72	-259495.85	-416112.28	1.11
41386	-32746	22x-128	-2130.7	369.48	-259410.7	-416270.52	1.11
41386	-32746	22x-128	-2319.85	32.87	-259599.85	-416607.13	1.11
41386	-32746	22x-128	-2570.88	207.21	-259850.88	-416432.79	1.11
41386	-32746	22x-128	-2582.73	548.3	-259862.73	-416091.7	1.11
41386	-32746	22x-128	-714.31	1432.16	-257994.31	-415207.84	1.11
41386	-32746	22x-128	-547.97	1545.81	-257827.97	-415094.19	1.11
41386	-32746	22x-128	-399.64	1439.36	-257679.64	-415200.64	1.11
41386	-32746	22x-128	-598.89	1274.37	-257878.89	-415365.63	1.11
41386	-32746	22x-128	-473.05	1268.1	-257753.05	-415371.9	1.11
41386	-32746	22x-128	1325.58	1931.53	-255954.42	-414708.47	3.03
41386	-32746	22x-128	1599.87	1941.75	-255680.13	-414698.25	3.03
41386	-32746	22x-128	1455.82	1701.9	-255824.18	-414938.1	1.11
41386	-32746	22x-128	2250.17	1512.23	-255029.83	-415127.77	1.11
41386	-32746	22x-128	2452.09	1216.66	-254827.91	-415423.34	1.11
41386	-32746	22x-128	2300.32	1180.13	-254979.68	-415459.87	1.11
41386	-32746	22x-128	1202.67	173.22	-256077.33	-416466.78	1.11
41386	-32746	22x-128	1706.64	182.47	-255573.36	-416457.53	1.11
41386	-32746	22x-128	1908.3	-205.18	-255371.7	-416845.18	1.11
41386	-32746	22x-128	1451.7	-472.62	-255828.3	-417112.62	1.11
41386	-32746	22x-128	997.27	-258.51	-256282.73	-416898.51	1.11
41386	-32746	22x-128	714.64	1509.65	-256565.36	-415130.35	1.11
41386	-32746	22x-128	522.58	1251.39	-256757.42	-415388.61	1.11
41387	-32746	22x-128	2317.42	1144.37	-254962.58	-415495.63	1.11
41387	-32746	22x-128	2160.23	1431.15	-255119.77	-415208.85	1.11
41387	-32746	22x-128	2208.72	1516.04	-255071.28	-415123.96	1.11
41387	-32746	22x-128	1358.94	1918.37	-255921.06	-414721.63	1.11
41387	-32746	22x-128	1609.57	1909.95	-255670.43	-414730.05	1.11
41387	-32746	22x-128	1478.19	1690.05	-255801.81	-414949.95	1.11
41387	-32746	22x-128	-647.66	1521.44	-257927.66	-415118.56	1.11
41387	-32746	22x-128	-722.69	1381.64	-258002.69	-415258.36	1.11
41387	-32746	22x-128	-349.25	1396.55	-257629.25	-415243.45	1.11
41387	-32746	22x-128	-642.18	1145.09	-257922.18	-415494.91	1.11
41387	-32746	22x-128	-525.47	1227.47	-257805.47	-415412.53	1.11
41387	-32746	22x-128	617.25	-960.74	-256662.75	-417600.74	1.11
41387	-32746	22x-128	928.92	-939.2	-256351.08	-417579.2	1.11
41387	-32746	22x-128	627.79	-1282.51	-256652.21	-417922.51	1.11
41387	-32746	22x-128	1152.88	-1239.45	-256127.12	-417879.45	1.11
41387	-32746	22x-128	849.84	-1498.06	-256430.16	-418138.06	1.11
41387	-32746	22x-128	-2216.76	537.93	-259496.76	-416102.07	1.11
41387	-32746	22x-128	-2130.94	379.2	-259410.94	-416260.8	1.11
41387	-32746	22x-128	-2590.45	558.48	-259870.45	-416081.52	1.11
41387	-32746	22x-128	-2580.55	213.17	-259860.55	-416426.83	1.11
41387	-32746	22x-128	-2325.73	38.58	-259605.73	-416601.42	1.11
41387	-32746	22x-128	1247.74	-125.4	-256032.26	-416765.4	1.11
41387	-32746	22x-128	1276.78	-145.43	-256003.22	-416785.43	1.11
41387	-32746	22x-128	1625.85	-159.33	-255654.15	-416799.33	1.11
41387	-32746	22x-128	1659.66	-139.6	-255620.34	-416779.6	1.11
41387	-32746	22x-128	714.29	1480.86	-256565.71	-415159.14	1.11
41387	-32746	22x-128	676.92	1456.23	-256603.08	-415183.77	1.11
41387	-32746	22x-128	553.75	1262.17	-256726.25	-415377.83	1.11
41387	-32746	22x-128	551.8	1221.56	-256728.2	-415418.44	1.11
41751	-32746	22x-128	-1598.87	1087.73	-258878.87	-415552.27	1.59
41751	-32746	22x-128	-1334.64	1099.85	-258614.64	-415540.15	1.59
41751	-32746	22x-128	-1199.8	846.13	-258479.8	-415793.87	1.59
41751	-32746	22x-128	-1334.82	623.76	-258614.82	-416016.24	1.59
41751	-32746	22x-128	-1597.96	621.81	-258877.96	-416018.19	1.59
41751	-32746	22x-128	-1729.35	850.54	-259009.35	-415789.46	1.59
41751	-32746	22x-128	-1572.09	905.61	-258852.09	-415734.39	1.59
41751	-32746	22x-128	-1364.69	911.98	-258644.69	-415728.02	1.59
41751	-32746	22x-128	-1466.32	730.96	-258746.32	-415909.04	1.59
41752	-32746	22x-128	-1469.79	1006.36	-258749.79	-415633.64	1.59
41752	-32746	22x-128	-1328.54	772.56	-258608.54	-415867.44	1.59
41752	-32746	22x-128	-1606.98	765.14	-258886.98	-415874.86	1.59
41752	-32746	22x-128	-1466.59	852.81	-258746.59	-415787.19	1.59
41752	-32746	22x-128	-1276.01	973.98	-258556.01	-415666.02	1.59
41752	-32746	22x-128	-1688.22	984.25	-258968.22	-415655.75	1.59
41752	-32746	22x-128	-1685.39	726.83	-258965.39	-415913.17	1.59
41752	-32746	22x-128	-1467.01	602.72	-258747.01	-416037.28	1.59
41752	-32746	22x-128	-1243.8	723.34	-258523.8	-415916.66	1.59
