refid	region	sector	local_x	local_z	world_x	world_z	height
41380	24266	202x94	1486.43	108.66	89806.43	9708.66	8.97
41380	24267	203x94	96.14	5.58	90336.14	9605.58	-5.53
41380	24011	203x93	581.14	1520.69	90821.14	9200.69	-105.36
41380	24011	203x93	617.68	797.48	90857.68	8477.48	-163.88
41380	24010	202x93	1692.41	1459.42	90012.41	9139.42	-5.9
41380	24011	203x93	115.2	991.07	90355.2	8671.07	-86.43
41380	24010	202x93	1476.21	764.16	89796.21	8444.16	-117.72
41380	24010	202x93	1208.69	289.23	89528.69	7969.23	-204.27
41380	24010	202x93	1388.34	5.36	89708.34	7685.36	-182.39
41380	24010	202x93	1786.14	376.96	90106.14	8056.96	-179.12
41380	24011	203x93	222.53	490.21	90462.53	8170.21	-163
41380	23754	202x92	541.07	1566.46	88861.07	7326.46	-220.82
41380	23753	201x92	1906.07	1682.28	88306.07	7442.28	-259.05
41380	24010	202x93	211.56	260.26	88531.56	7940.26	-211.09
41380	24010	202x93	320.17	842.14	88640.17	8522.14	-97.92
41380	24010	202x93	706.1	1227.82	89026.1	8907.82	-76.7
41380	24010	202x93	205.03	1423.11	88525.03	9103.11	-55.68
41380	24266	202x94	774.09	380.68	89094.09	9980.68	0
41380	24266	202x94	210.63	1209.37	88530.63	10809.37	-9.35
41380	24522	202x95	585.34	554.55	88905.34	12074.55	29.65
41381	24010	202x93	567.21	1834.69	88887.21	9514.69	-11.72
41381	24266	202x94	69.1	180.08	88389.1	9780.08	2.77
41381	24266	202x94	139.66	692.05	88459.66	10292.05	-9.4
41381	24266	202x94	677.52	1034.21	88997.52	10634.21	-6.22
41381	24266	202x94	555.47	1733.37	88875.47	11333.37	-14.41
41381	24522	202x95	15.46	134.1	88335.46	11654.1	96.62
41381	24521	201x95	1790.04	788.35	88190.04	12308.35	97.82
41381	24522	202x95	437.69	1268.32	88757.69	12788.32	0
41381	24521	201x95	1897.14	1600.75	88297.14	13120.75	76.43
41381	24522	202x95	1407.35	789.39	89727.35	12309.39	7.36
41381	24522	202x95	1347.66	1338.1	89667.66	12858.1	22.41
41381	24522	202x95	476.51	1759.98	88796.51	13279.98	0
41381	24778	202x96	502.38	422.21	88822.38	13862.21	0
41381	24778	202x96	73.81	414.08	88393.81	13854.08	34.34
41381	24778	202x96	1350.63	28.02	89670.63	13468.02	-9.79
41381	24778	202x96	1356.81	539.36	89676.81	13979.36	-6.08
41381	24523	203x95	82.45	1837.25	90322.45	13357.25	-58.63
41381	24523	203x95	751.74	1755.33	90991.74	13275.33	-101.42
41381	24779	203x96	16.55	461.61	90256.55	13901.61	-131.15
41381	24779	203x96	145.24	554.05	90385.24	13994.05	-133.49
41381	24779	203x96	180.32	629.39	90420.32	14069.39	-137.86
41380	24011	203x93	46.08	1719.21	90286.08	9399.21	-8.77
41380	24011	203x93	46.08	1736.44	90286.08	9416.44	-8.26
41382	-32746	22x-128	127.63	-1476.5	-257152.37	-418116.5	1.59
41383	-32746	22x-128	127.63	-1476.5	-257152.37	-418116.5	1.59
41382	-32746	22x-128	253.16	-1691.85	-257026.84	-418331.85	1.59
41383	-32746	22x-128	253.16	-1691.85	-257026.84	-418331.85	1.59
41382	-32746	22x-128	142.52	-1916.88	-257137.48	-418556.88	1.59
41383	-32746	22x-128	142.52	-1916.88	-257137.48	-418556.88	1.59
41382	-32746	22x-128	-138.72	-1920.95	-257418.72	-418560.95	1.59
41383	-32746	22x-128	-138.72	-1920.95	-257418.72	-418560.95	1.59
41382	-32746	22x-128	-235.17	-1680.6	-257515.17	-418320.6	1.59
41383	-32746	22x-128	-235.17	-1680.6	-257515.17	-418320.6	1.59
41382	-32746	22x-128	-127.24	-1480.33	-257407.24	-418120.33	1.59
41383	-32746	22x-128	-127.24	-1480.33	-257407.24	-418120.33	1.59
41382	-32746	22x-128	-2259.2	1653.1	-259539.2	-414986.9	1.11
41383	-32746	22x-128	-2250.99	1636.03	-259530.99	-415003.97	1.11
41382	-32746	22x-128	-2572.71	1400.59	-259852.71	-415239.41	1.11
41383	-32746	22x-128	-2557.71	1400.59	-259837.71	-415239.41	1.11
41382	-32746	22x-128	-2020.34	1369.05	-259300.34	-415270.95	1.11
41383	-32746	22x-128	-2020.34	1387.05	-259300.34	-415252.95	1.11
41382	-32746	22x-128	-2405.36	1086.39	-259685.36	-415553.61	1.11
41383	-32746	22x-128	-2405.36	1072.39	-259685.36	-415567.61	1.11
41383	-32746	22x-128	-1734.26	1786.55	-259014.26	-414853.45	1.11
41383	-32746	22x-128	-1467.51	1938.36	-258747.51	-414701.64	1.11
41383	-32746	22x-128	-1143.21	1767.31	-258423.21	-414872.69	1.11
41382	-32746	22x-128	-735.86	1763.91	-258015.86	-414876.09	1.11
41383	-32746	22x-128	-735.86	1763.91	-258015.86	-414876.09	1.11
41382	-32746	22x-128	-517.05	1405.55	-257797.05	-415234.45	1.11
41383	-32746	22x-128	-517.05	1405.55	-257797.05	-415234.45	1.11
41382	-32746	22x-128	-946.07	1416.02	-258226.07	-415223.98	1.11
41383	-32746	22x-128	-946.07	1416.02	-258226.07	-415223.98	1.11
41382	-32746	22x-128	-792.84	1112.12	-258072.84	-415527.88	1.11
41383	-32746	22x-128	-792.84	1112.12	-258072.84	-415527.88	1.11
41382	-32746	22x-128	-495.75	990.63	-257775.75	-415649.37	1.11
41383	-32746	22x-128	-504.3	999.25	-257784.3	-415640.75	1.11
41382	-32746	22x-128	-309.06	1181.53	-257589.06	-415458.47	1.11
41383	-32746	22x-128	-309.06	1181.53	-257589.06	-415458.47	1.11
41382	-32746	22x-128	-1614.0	1087.13	-258894.0	-415552.87	1.59
41383	-32746	22x-128	-1614.0	1087.13	-258894.0	-415552.87	1.59
41382	-32746	22x-128	-1325.06	1094.45	-258605.06	-415545.55	1.59
41383	-32746	22x-128	-1325.06	1094.45	-258605.06	-415545.55	1.59
41382	-32746	22x-128	-1171.67	844.84	-258451.67	-415795.16	1.59
41383	-32746	22x-128	-1171.67	844.84	-258451.67	-415795.16	1.59
41382	-32746	22x-128	-1318.63	610.77	-258598.63	-416029.23	1.59
41383	-32746	22x-128	-1318.63	610.77	-258598.63	-416029.23	1.59
41382	-32746	22x-128	-1604.8	609.16	-258884.8	-416030.84	1.59
41383	-32746	22x-128	-1604.8	609.16	-258884.8	-416030.84	1.59
41382	-32746	22x-128	-1743.88	847.35	-259023.88	-415792.65	1.59
41383	-32746	22x-128	-1743.88	847.35	-259023.88	-415792.65	1.59
41383	-32746	22x-128	1457.57	2090.85	-255822.43	-414549.15	1.11
41383	-32746	22x-128	1079.32	1906.64	-256200.68	-414733.36	1.11
41383	-32746	22x-128	1814.26	1932.02	-255465.74	-414707.98	1.11
41383	-32746	22x-128	1658.29	1569.4	-255621.71	-415070.6	1.11
41383	-32746	22x-128	1263.49	1545.38	-256016.51	-415094.62	1.11
41382	-32746	22x-128	1193.28	866.06	-256086.72	-415773.94	1.59
41383	-32746	22x-128	1216.28	867.06	-256063.72	-415772.94	1.59
41382	-32746	22x-128	1345.68	1117.73	-255934.32	-415522.27	1.59
41383	-32746	22x-128	1321.68	1099.73	-255958.32	-415540.27	1.59
41382	-32746	22x-128	1629.54	1100.89	-255650.46	-415539.11	1.59
41383	-32746	22x-128	1610.54	1090.89	-255669.46	-415549.11	1.59
