refid	region	sector	local_x	local_z	world_x	world_z	height
41372	24268	204x94	1068.03	1850.92	93228.03	11450.92	-14.38
41371	24268	204x94	1400.18	1392.37	93560.18	10992.37	-44.05
41371	24268	204x94	1881.51	976.84	94041.51	10576.84	-100.11
41372	24269	205x94	129.36	1377.37	94209.36	10977.37	-53.32
41371	24269	205x94	254.53	423.34	94334.53	10023.34	-138.88
41371	24269	205x94	776.23	165.1	94856.23	9765.1	-149.7
41371	24269	205x94	654.24	740.82	94734.24	10340.82	-95.18
41371	24269	205x94	1183.82	538.73	95263.82	10138.73	-132.28
41371	24270	206x94	589.46	536.55	96589.46	10136.55	-202.45
41371	24014	206x93	31.16	1906.42	96031.16	9586.42	-206.5
41371	24524	204x95	1594.15	766.21	93754.15	12286.21	-124.82
41371	24524	204x95	1158.79	1190.95	93318.79	12710.95	-122.99
41371	24524	204x95	1726.08	1386.12	93886.08	12906.12	-177.09
41372	24269	205x94	1380.37	18.12	95460.37	9618.12	-160.21
41372	24014	206x93	622.42	1878.11	96622.42	9558.11	-209.67
41372	24269	205x94	1853.94	518.63	95933.94	10118.63	-134.62
41372	24270	206x94	492.48	1208.3	96492.48	10808.3	-162.16
41372	24269	205x94	1202.07	1079.2	95282.07	10679.2	-44.15
41372	24525	205x95	955.81	41.44	95035.81	11561.44	-133.38
41372	24269	205x94	1396.04	1880.65	95476.04	11480.65	-49.68
41372	24525	205x95	378.86	1064.25	94458.86	12584.25	-199.06
41372	24525	205x95	876.38	811.01	94956.38	12331.01	-185.2
41372	24525	205x95	1267.66	490.67	95347.66	12010.67	-150.25
41372	24779	203x96	1473.36	153.86	91713.36	13593.86	-162.63
41372	24779	203x96	1883.2	531.65	92123.2	13971.65	-172.82
41372	24526	206x95	286.26	514.7	96286.26	12034.7	-169.69
41372	24526	206x95	268.36	1209.94	96268.36	12729.94	-181.24
41373	24270	206x94	153.86	1913.64	96153.86	11513.64	-163.35
41373	24525	205x95	1727.42	726.94	95807.42	12246.94	-107.95
