refid	region	sector	local_x	local_z	world_x	world_z	height
41378	-32746	22x-128	575.63	-1125.29	-256704.37	-417765.29	1.11
41378	-32746	22x-128	742.33	-1255.62	-256537.67	-417895.62	1.11
41378	-32746	22x-128	769.61	-1451.49	-256510.39	-418091.49	1.11
41378	-32746	22x-128	727.39	-895.23	-256552.61	-417535.23	1.11
41378	-32746	22x-128	935.04	-982.79	-256344.96	-417622.79	1.11
41378	-32746	22x-128	1069.24	-1229.74	-256210.76	-417869.74	1.11
41378	-32746	22x-128	1078.57	-1429.46	-256201.43	-418069.46	1.11
41378	-32746	22x-128	767.77	-1914.45	-256512.23	-418554.45	1.11
41378	-32746	22x-128	727.67	-2118.36	-256552.33	-418758.36	1.11
41378	-32746	22x-128	544.1	-2269.54	-256735.9	-418909.54	1.11
41378	-32746	22x-128	1123.9	-1956.37	-256156.1	-418596.37	1.11
41378	-32746	22x-128	1120.15	-2210.33	-256159.85	-418850.33	1.11
41378	-32746	22x-128	984.52	-2405.8	-256295.48	-419045.8	1.11
41378	-32746	22x-128	802.0	-2515.6	-256478.0	-419155.6	1.11
41378	-32746	22x-128	192.51	-2471.9	-257087.49	-419111.9	1.11
41378	-32746	22x-128	-168.86	-2462.99	-257448.86	-419102.99	1.11
41378	-32746	22x-128	376.95	-2744.56	-256903.05	-419384.56	1.11
41378	-32746	22x-128	35.87	-2881.5	-257244.13	-419521.5	1.11
41378	-32746	22x-128	-303.33	-2751.47	-257583.33	-419391.47	1.11
41378	-32746	22x-128	-748.49	-1991.14	-258028.49	-418631.14	1.11
41378	-32746	22x-128	-578.53	-2232.7	-257858.53	-418872.7	1.11
41378	-32746	22x-128	-787.14	-2505.72	-258067.14	-419145.72	1.11
41378	-32746	22x-128	-1085.45	-2343.49	-258365.45	-418983.49	1.11
41378	-32746	22x-128	-1090.95	-1972.93	-258370.95	-418612.93	1.11
41378	-32746	22x-128	-622.41	-1119.3	-257902.41	-417759.3	1.11
41378	-32746	22x-128	-771.52	-1392.84	-258051.52	-418032.84	1.11
41378	-32746	22x-128	-1109.83	-1411.4	-258389.83	-418051.4	1.11
41378	-32746	22x-128	-1093.42	-1092.7	-258373.42	-417732.7	1.11
41378	-32746	22x-128	-750.47	-878.3	-258030.47	-417518.3	1.11
41378	-32746	22x-128	2226.91	701.22	-255053.09	-415938.78	1.11
41378	-32746	22x-128	2002.01	295.72	-255277.99	-416344.28	1.11
41378	-32746	22x-128	2598.87	673.84	-254681.13	-415966.16	1.11
