refid	region	sector	local_x	local_z	world_x	world_z	height
41405	24268	204x94	1303.41	185.48	93463.41	9785.48	-138.42
41405	24268	204x94	556.62	1100.42	92716.62	10700.42	-23.79
41405	24268	204x94	265.78	1454.46	92425.78	11054.46	1
41405	24267	203x94	1707.02	1085.82	91947.02	10685.82	0
41405	24268	204x94	504.91	494.74	92664.91	10094.74	-106.24
41405	24012	204x93	755.4	1820.62	92915.4	9500.62	-138.43
41405	24012	204x93	270.82	1438.18	92430.82	9118.18	-154.69
41405	24011	203x93	1722.91	1822.94	91962.91	9502.94	-137.5
41405	24011	203x93	1760.13	1142.08	92000.13	8822.08	-154.21
41405	24011	203x93	1224.88	1023.1	91464.88	8703.1	-154.58
41405	24011	203x93	1337.56	1604.69	91577.56	9284.69	-150.74
41405	24267	203x94	1200.75	154.85	91440.75	9754.85	-15.06
41405	24267	203x94	1351.21	988.78	91591.21	10588.78	0
41405	24267	203x94	1681.14	594.15	91921.14	10194.15	-0.11
41405	24523	203x95	1746.13	187.66	91986.13	11707.66	6.57
41405	24267	203x94	1419.28	1797.34	91659.28	11397.34	37.32
41405	24267	203x94	896.09	1642.73	91136.09	11242.73	30.97
41405	24523	203x95	760.66	267.25	91000.66	11787.25	102.92
41407	-32746	22x-128	-580.1	657.1	-257860.1	-415982.9	1.11
41407	-32746	22x-128	-406.45	493.0	-257686.45	-416147.0	1.11
41407	-32746	22x-128	-886.46	135.73	-258166.46	-416504.27	3.03
41407	-32746	22x-128	-674.38	56.51	-257954.38	-416583.49	1.11
41407	-32746	22x-128	-637.25	359.68	-257917.25	-416280.32	1.11
41407	-32746	22x-128	-1361.87	13.33	-258641.87	-416626.67	1.11
41407	-32746	22x-128	-1546.43	10.37	-258826.43	-416629.63	1.11
41407	-32746	22x-128	-1476.01	-373.45	-258756.01	-417013.45	1.11
41407	-32746	22x-128	-1692.15	-312.38	-258972.15	-416952.38	1.11
41407	-32746	22x-128	-1273.4	-303.62	-258553.4	-416943.62	1.11
41407	-32746	22x-128	-2418.31	622.12	-259698.31	-416017.88	1.11
41407	-32746	22x-128	-2433.98	447.28	-259713.98	-416192.72	1.11
41407	-32746	22x-128	-2355.48	261.57	-259635.48	-416378.43	1.11
41407	-32746	22x-128	-2155.82	149.31	-259435.82	-416490.69	1.11
41406	-32746	22x-128	432.06	1513.04	-256847.94	-415126.96	1.11
41406	-32746	22x-128	955.12	1424.93	-256324.88	-415215.07	1.11
41406	-32746	22x-128	710.3	1016.8	-256569.7	-415623.2	1.11
41406	-32746	22x-128	2389.84	1636.83	-254890.16	-415003.17	1.11
41406	-32746	22x-128	2641.89	1479.04	-254638.11	-415160.96	1.11
41406	-32746	22x-128	2632.19	1178.67	-254647.81	-415461.33	1.11
41406	-32746	22x-128	2145.52	1103.53	-255134.48	-415536.47	1.11
41406	-32746	22x-128	2003.17	1270.14	-255276.83	-415369.86	1.11
41406	-32746	22x-128	1301.68	-85.04	-255978.32	-416725.04	1.11
41406	-32746	22x-128	1508.05	-45.83	-255771.95	-416685.83	1.11
41406	-32746	22x-128	1401.77	-165.06	-255878.23	-416805.06	3.03
41406	-32746	22x-128	1616.22	-192.44	-255663.78	-416832.44	1.11
41407	-32746	22x-128	-2433.45	1604.25	-259713.45	-415035.75	1.11
41407	-32746	22x-128	-2399.75	1599.58	-259679.75	-415040.42	1.11
41407	-32746	22x-128	-2462.74	1594.24	-259742.74	-415045.76	1.11
41407	-32746	22x-128	-2104.52	1593.41	-259384.52	-415046.59	1.11
41407	-32746	22x-128	-2071.26	1580.04	-259351.26	-415059.96	1.11
41407	-32746	22x-128	-2062.47	1545.05	-259342.47	-415094.95	1.34
41407	-32746	22x-128	-2244.11	1292.19	-259524.11	-415347.81	1.11
41407	-32746	22x-128	-2205.42	1298.96	-259485.42	-415341.04	1.11
41407	-32746	22x-128	-2189.52	1265.68	-259469.52	-415374.32	1.11
41407	-32746	22x-128	-2518.35	1258.34	-259798.35	-415381.66	1.11
41407	-32746	22x-128	-2550.04	1253.86	-259830.04	-415386.14	1.11
41407	-32746	22x-128	-2558.71	1226.15	-259838.71	-415413.85	1.11
41407	-32746	22x-128	-1703.56	2056.11	-258983.56	-414583.89	1.11
41407	-32746	22x-128	-1655.88	2013.11	-258935.88	-414626.89	1.11
41407	-32746	22x-128	-1218.08	2029.91	-258498.08	-414610.09	1.11
41407	-32746	22x-128	-1192.59	1986.05	-258472.59	-414653.95	1.11
41407	-32746	22x-128	-1432.79	1727.25	-258712.79	-414912.75	1.11
41407	-32746	22x-128	-1469.57	1700.78	-258749.57	-414939.22	1.11
41407	-32746	22x-128	-795.83	1546.57	-258075.83	-415093.43	1.11
41407	-32746	22x-128	-770.08	1568.75	-258050.08	-415071.25	1.11
41407	-32746	22x-128	-829.36	1276.66	-258109.36	-415363.34	1.11
41407	-32746	22x-128	-797.17	1273.19	-258077.17	-415366.81	1.11
41407	-32746	22x-128	-543.46	1104.62	-257823.46	-415535.38	1.11
41407	-32746	22x-128	-499.19	1097.78	-257779.19	-415542.22	1.11
41407	-32746	22x-128	-328.01	1356.38	-257608.01	-415283.62	1.11
41407	-32746	22x-128	-315.08	1318.52	-257595.08	-415321.48	1.11
41407	-32746	22x-128	-438.33	1572.17	-257718.33	-415067.83	1.11
41407	-32746	22x-128	-412.96	1588.8	-257692.96	-415051.2	1.11
41408	-32746	22x-128	1244.95	74.46	-256035.05	-416565.54	1.11
41408	-32746	22x-128	1669.89	80.67	-255610.11	-416559.33	1.11
41408	-32746	22x-128	1458.32	-339.22	-255821.68	-416979.22	1.11
41408	-32746	22x-128	2048.35	1287.05	-255231.65	-415352.95	1.11
41408	-32746	22x-128	2107.25	1157.98	-255172.75	-415482.02	1.11
41408	-32746	22x-128	2597.11	1170.31	-254682.89	-415469.69	1.11
41408	-32746	22x-128	2607.63	1488.37	-254672.37	-415151.63	1.11
41408	-32746	22x-128	2332.75	1659.97	-254947.25	-414980.03	1.11
41408	-32746	22x-128	928.25	1469.46	-256351.75	-415170.54	1.11
41408	-32746	22x-128	387.86	1442.08	-256892.14	-415197.92	1.11
41408	-32746	22x-128	727.67	1007.67	-256552.33	-415632.33	1.11
41409	-32746	22x-128	-336.25	486.07	-257616.25	-416153.93	1.11
41409	-32746	22x-128	-611.08	56.87	-257891.08	-416583.13	1.11
41409	-32746	22x-128	-591.75	340.72	-257871.75	-416299.28	1.11
41409	-32746	22x-128	-866.82	160.29	-258146.82	-416479.71	1.11
41409	-32746	22x-128	-592.39	612.2	-257872.39	-416027.8	1.11
41409	-32746	22x-128	-2418.29	656.49	-259698.29	-415983.51	1.11
41409	-32746	22x-128	-2424.64	457.86	-259704.64	-416182.14	1.11
41409	-32746	22x-128	-2339.7	261.11	-259619.7	-416378.89	1.11
41409	-32746	22x-128	-2159.62	157.56	-259439.62	-416482.44	1.11
41409	-32746	22x-128	-1624.65	53.9	-258904.65	-416586.1	1.11
41409	-32746	22x-128	-1322.12	54.55	-258602.12	-416585.45	1.11
41409	-32746	22x-128	-1468.63	-393.79	-258748.63	-417033.79	1.11
41409	-32746	22x-128	-1159.48	-246.36	-258439.48	-416886.36	1.11
41409	-32746	22x-128	-1846.25	-239.47	-259126.25	-416879.47	1.11
41408	-32746	22x-128	729.16	-836.74	-256550.84	-417476.74	1.11
41408	-32746	22x-128	880.45	-1257.95	-256399.55	-417897.95	1.11
41408	-32746	22x-128	976.27	-1249.88	-256303.73	-417889.88	1.11
41408	-32746	22x-128	1088.12	-993.49	-256191.88	-417633.49	1.11
41409	-32746	22x-128	-509.04	1547.46	-257789.04	-415092.54	1.11
41409	-32746	22x-128	-478.8	1557.97	-257758.8	-415082.03	1.11
41409	-32746	22x-128	-452.1	1568.51	-257732.1	-415071.49	1.11
41409	-32746	22x-128	-343.78	1031.87	-257623.78	-415608.13	1.11
41409	-32746	22x-128	-312.04	1026.43	-257592.04	-415613.57	1.11
41409	-32746	22x-128	-271.47	1020.95	-257551.47	-415619.05	1.11
41409	-32746	22x-128	-725.48	1009.03	-258005.48	-415630.97	1.11
41409	-32746	22x-128	-691.85	1019.44	-257971.85	-415620.56	1.11
41409	-32746	22x-128	-661.78	1026.34	-257941.78	-415613.66	1.11
41409	-32746	22x-128	-901.06	1540.45	-258181.06	-415099.55	1.11
41409	-32746	22x-128	-881.56	1561.36	-258161.56	-415078.64	3.03
41409	-32746	22x-128	-863.58	1582.91	-258143.58	-415057.09	1.11
41409	-32746	22x-128	-679.41	1282.38	-257959.41	-415357.62	1.11
