refid	region	sector	local_x	local_z	world_x	world_z	height
41365	31979	235x124	1211.84	1428.09	152891.84	68628.09	903
41366	31979	235x124	1319.84	1331.09	152999.84	68531.09	902
41365	31980	236x124	31.32	963.68	153631.32	68163.68	900
41366	31980	236x124	129.32	861.68	153729.32	68061.68	900
41367	31723	235x123	1203.0	1622.1	152883.0	66902.1	856
41367	31723	235x123	623.97	1065.24	152303.97	66345.24	856
41367	31979	235x124	606.0	1269.62	152286.0	68469.62	856
41366	31723	235x123	1070.04	1020.27	152750.04	66300.27	856
41365	31723	235x123	1351.04	1020.27	153031.04	66300.27	856
41366	31979	235x124	479.75	142.88	152159.75	67342.88	856
41365	31979	235x124	718.75	142.88	152398.75	67342.88	856
41366	32235	235x125	1000.24	380.34	152680.24	69500.34	856
41365	32235	235x125	1141.24	213.34	152821.24	69333.34	856
41367	32235	235x125	1842.65	820.17	153522.65	69940.17	856
41365	32236	236x125	926.04	296.97	154526.04	69416.97	856
41365	31980	236x124	348.42	1769.85	153948.42	68969.85	856
41365	31980	236x124	930.99	1364.56	154530.99	68564.56	856
41365	31980	236x124	1412.45	1801.79	155012.45	69001.79	856
41366	32236	236x125	1175.61	373.63	154775.61	69493.63	856
41366	31980	236x124	1249.61	1661.56	154849.61	68861.56	856
41366	31980	236x124	677.95	1426.45	154277.95	68626.45	856
41366	32236	236x125	491.69	56.07	154091.69	69176.07	856
41365	31981	237x124	599.06	1430.18	156119.06	68630.18	900
41366	31981	237x124	502.06	1347.18	156022.06	68547.18	900
41365	31980	236x124	1786.79	967.1	155386.79	68167.1	906
41366	31980	236x124	1696.79	880.1	155296.79	68080.1	900
41367	31725	237x123	579.84	1668.68	156099.84	66948.68	856
41367	31725	237x123	1187.48	972.49	156707.48	66252.49	856
41367	31981	237x124	1173.3	1304.75	156693.3	68504.75	856
41366	31725	237x123	459.24	971.35	155979.24	66251.35	856
41365	31725	237x123	693.24	971.35	156213.24	66251.35	856
41366	31981	237x124	1039.03	235.13	156559.03	67435.13	856
