refid	region	sector	local_x	local_z	world_x	world_z	height
41342	31723	235x123	1218.04	1020.27	152898.04	66300.27	856
41342	31979	235x124	595.75	142.88	152275.75	67342.88	856
41342	32235	235x125	1067.24	294.34	152747.24	69414.34	856
41342	32235	235x125	1761.65	710.17	153441.65	69830.17	856
41342	32236	236x125	620.18	348.39	154220.18	69468.39	856
41342	32236	236x125	1255.44	137.86	154855.44	69257.86	856
41342	31980	236x124	1154.53	1462.27	154754.53	68662.27	856
41342	31980	236x124	474.76	1572.2	154074.76	68772.2	856
41342	31725	237x123	578.24	971.35	156098.24	66251.35	856
41342	31981	237x124	1150.03	235.13	156670.03	67435.13	856
41342	32237	237x125	794.16	304.81	156314.16	69424.81	856
41342	32236	236x125	1755.93	761.7	155355.93	69881.7	856
41342	31979	235x124	1886.05	294.69	153566.05	67494.69	1115
41342	31723	235x123	1893.05	1893.35	153573.05	67173.35	1115
41342	31724	236x123	290.49	1855.71	153890.49	67135.71	1115
41342	31980	236x124	1816.6	304.24	155416.6	67504.24	1115.21
41342	31980	236x124	1814.44	36.23	155414.44	67236.23	1115
41342	31980	236x124	1542.96	0.41	155142.96	67200.41	1115
41342	31723	235x123	1841.91	605.89	153521.91	65885.89	1115
41342	31724	236x123	288.67	608.71	153888.67	65888.71	1115
41342	31723	235x123	1760.59	959.15	153440.59	66239.15	1115
41342	31724	236x123	1520.54	605.29	155120.54	65885.29	1115
41342	31724	236x123	1873.45	619.39	155473.45	65899.39	1115
41342	31725	237x123	0.87	920.87	155520.87	66200.87	1115
41342	-32749	19x-128	908.52	890.01	-262131.48	-415749.99	-134.49
41342	-32749	19x-128	971.32	890.55	-262068.68	-415749.45	-134.5
41342	-32749	19x-128	1028.37	890.19	-262011.63	-415749.81	-134.5
41342	-32749	19x-128	847.98	850.11	-262192.02	-415789.89	-134.5
41342	-32749	19x-128	1089.1	850.58	-261950.9	-415789.42	-134.5
41343	31979	235x124	1874.87	313.83	153554.87	67513.83	1115.4
41343	31723	235x123	1877.69	1882.96	153557.69	67162.96	1115
41343	31980	236x124	279.31	0.7	153879.31	67200.7	1115
41343	31980	236x124	1865.9	282.72	155465.9	67482.72	1115
41343	31724	236x123	1851.0	1890.74	155451.0	67170.74	1115
41343	31724	236x123	1540.66	1849.81	155140.66	67129.81	1115
41343	31723	235x123	1822.69	841.89	153502.69	66121.89	1115
41343	31724	236x123	170.71	590.8	153770.71	65870.8	1115
41343	31724	236x123	385.12	889.85	153985.12	66169.85	1115.01
41343	31724	236x123	1430.08	898.74	155030.08	66178.74	1115
41343	31724	236x123	1692.55	627.9	155292.55	65907.9	1115
41343	31725	237x123	0.53	867.71	155520.53	66147.71	1115
41343	31725	237x123	588.26	931.6	156108.26	66211.6	856
41343	31981	237x124	1217.61	135.58	156737.61	67335.58	856
41343	32237	237x125	793.63	234.05	156313.63	69354.05	856
41343	32236	236x125	1759.54	773.26	155359.54	69893.26	856
41343	31723	235x123	1230.6	961.42	152910.6	66241.42	856
41343	31979	235x124	632.88	113.05	152312.88	67313.05	856
41343	32235	235x125	1073.32	274.16	152753.32	69394.16	856
41343	32235	235x125	1765.17	825.4	153445.17	69945.4	856
41343	-32747	21x-128	933.11	890.94	-258266.89	-415749.06	-134.5
41343	-32749	19x-128	810.35	850.16	-262229.65	-415789.84	-134.5
41343	-32749	19x-128	1110.83	850.07	-261929.17	-415789.93	-134.5
41343	-32749	19x-128	876.5	870.28	-262163.5	-415769.72	-134.5
41343	-32749	19x-128	1049.2	870.03	-261990.8	-415769.97	-134.5
41343	-32748	20x-128	857.58	836.48	-260262.42	-415803.52	-134.49
41343	-32748	20x-128	888.01	835.27	-260231.99	-415804.73	-134.5
41343	-32748	20x-128	1032.83	839.07	-260087.17	-415800.93	-134.5
41343	-32748	20x-128	1061.46	840.0	-260058.54	-415800.0	-134.5
41343	32236	236x125	1878.54	768.26	155478.54	69888.26	856
41343	32235	235x125	1870.17	825.4	153550.17	69945.4	856
41343	-32747	21x-128	896.11	845.94	-258303.89	-415794.06	-134.5
41343	-32747	21x-128	822.11	865.94	-258377.89	-415774.06	-134.5
41343	-32747	21x-128	799.11	875.94	-258400.89	-415764.06	-134.5
41343	-32747	21x-128	1011.11	845.94	-258188.89	-415794.06	-134.5
41343	-32747	21x-128	1088.11	865.94	-258111.89	-415774.06	-134.5
41343	-32747	21x-128	1124.11	875.94	-258075.89	-415764.06	-134.5
41343	-32747	21x-128	859.11	855.94	-258340.89	-415784.06	-134.5
41343	-32747	21x-128	972.11	891.94	-258227.89	-415748.06	-134.5
41343	-32747	21x-128	1048.11	855.94	-258151.89	-415784.06	-134.5
41737	32236	236x125	663.77	399.81	154263.77	69519.81	856
41737	32236	236x125	913.76	294.48	154513.76	69414.48	856
41737	32236	236x125	1157.16	401.34	154757.16	69521.34	856
41737	31980	236x124	1455.78	1876.97	155055.78	69076.97	856
41737	31980	236x124	1183.22	1442.61	154783.22	68642.61	856
41737	31980	236x124	622.58	1451.64	154222.58	68651.64	856
41737	31980	236x124	375.23	1856.0	153975.23	69056.0	856
41737	32236	236x125	594.29	126.85	154194.29	69246.85	856
41737	31980	236x124	538.2	1673.13	154138.2	68873.13	856
41737	31980	236x124	903.94	1412.81	154503.94	68612.81	856
41737	31980	236x124	1271.61	1682.15	154871.61	68882.15	856
41737	32236	236x125	1225.59	105.15	154825.59	69225.15	856
41737	31980	236x124	1454.78	1797.94	155054.78	68997.94	856
41737	31980	236x124	372.81	1883.57	153972.81	69083.57	856
41341	22986	202x89	805.95	1023.77	89125.95	1023.77	-25.49
41341	22986	202x89	1546.19	300.99	89866.19	300.99	-13.29
41341	22729	201x88	1809.03	1899.44	88209.03	-20.56	80.25
41341	22730	202x88	455.03	1373.63	88775.03	-546.37	102.78
41341	22730	202x88	503.23	858.89	88823.23	-1061.11	101.35
41341	22730	202x88	900.04	874.81	89220.04	-1045.19	99.79
41341	22730	202x88	1229.71	216.49	89549.71	-1703.51	93.12
41341	22474	202x87	361.62	1805.54	88681.62	-2034.46	87.96
41341	22474	202x87	1764.91	1466.39	90084.91	-2373.61	208.65
41341	22474	202x87	1228.83	1466.53	89548.83	-2373.47	223.91
41341	22474	202x87	1024.02	1130.43	89344.02	-2709.57	223.92
41341	22473	201x87	1563.78	474.95	87963.78	-3365.05	462.41
41341	22474	202x87	447.98	372.58	88767.98	-3467.42	468.81
41341	22218	202x86	192.42	1869.4	88512.42	-3890.6	463.42
41341	22217	201x86	1287.81	1648.79	87687.81	-4111.21	470.73
41341	22217	201x86	1796.18	1182.11	88196.18	-4577.89	472.38
41341	22218	202x86	243.16	1412.41	88563.16	-4347.59	469.22
41341	22218	202x86	845.94	1569.46	89165.94	-4190.54	473.93
41341	22474	202x87	1262.55	19.01	89582.55	-3820.99	474.72
41341	22474	202x87	1571.19	712.35	89891.19	-3127.65	276.29
41341	22475	203x87	484.83	1850.3	90724.83	-1989.7	149.49
41341	22475	203x87	673.87	1460.47	90913.87	-2379.53	214.48
41341	22475	203x87	1077.08	1760.09	91317.08	-2079.91	182.97
41341	22731	203x88	772.59	640.23	91012.59	-1279.77	5.08
41341	22987	203x89	1284.83	94.21	91524.83	94.21	-5.9
41341	22987	203x89	1545.07	1110.45	91785.07	1110.45	0
41341	22988	204x89	902.5	336.96	93062.5	336.96	12
41341	22988	204x89	1389.35	360.5	93549.35	360.5	-5.4
41341	22731	203x88	875.03	1919.51	91115.03	-0.49	0
41341	22476	204x87	191.97	1136.73	92351.97	-2703.27	269.35
41341	22730	202x88	1774.55	148.22	90094.55	-1771.78	119.68
41341	22474	202x87	1856.93	105.42	90176.93	-3734.58	474.95
41341	22733	205x88	136.17	1151.3	94216.17	-768.7	41.94
41341	22733	205x88	330.46	605.83	94410.46	-1314.17	148.44
41341	22733	205x88	520.41	999.92	94600.41	-920.08	59.66
41341	22730	202x88	508.56	361.45	88828.56	-1558.55	121.89
41341	22475	203x87	452.53	927.62	90692.53	-2912.38	285.32
41341	22220	204x86	745.43	1782.86	92905.43	-3977.14	471.63
