refid	region	sector	local_x	local_z	world_x	world_z	height
41346	31723	235x123	1093.0	1622.1	152773.0	66902.1	856
41347	31723	235x123	1318.0	1622.1	152998.0	66902.1	856
41346	31723	235x123	494.97	1065.24	152174.97	66345.24	856
41347	31723	235x123	756.97	1065.24	152436.97	66345.24	856
41346	31979	235x124	468.0	1269.62	152148.0	68469.62	856
41347	31979	235x124	743.0	1269.62	152423.0	68469.62	856
41347	32236	236x125	796.04	299.97	154396.04	69419.97	856
41347	31980	236x124	348.42	1857.85	153948.42	69057.85	856
41347	31980	236x124	863.99	1365.56	154463.99	68565.56	856
41347	31980	236x124	1403.45	1869.79	155003.45	69069.79	856
41347	32236	236x125	569.18	348.39	154169.18	69468.39	856
41346	32236	236x125	623.18	393.39	154223.18	69513.39	856
41347	32236	236x125	1304.44	140.86	154904.44	69260.86	856
41346	32236	236x125	1287.44	90.86	154887.44	69210.86	856
41347	31980	236x124	1204.53	1462.27	154804.53	68662.27	856
41346	31980	236x124	1154.53	1420.27	154754.53	68620.27	856
41347	31980	236x124	515.76	1572.2	154115.76	68772.2	856
41346	31980	236x124	473.76	1616.2	154073.76	68816.2	856
41346	32236	236x125	1134.61	373.63	154734.61	69493.63	856
41346	31980	236x124	1305.61	1661.56	154905.61	68861.56	856
41346	31980	236x124	639.95	1426.45	154239.95	68626.45	856
41346	32236	236x125	453.69	56.07	154053.69	69176.07	856
41346	31725	237x123	473.84	1668.68	155993.84	66948.68	856
41347	31725	237x123	685.84	1668.68	156205.84	66948.68	856
41346	31725	237x123	1085.48	972.49	156605.48	66252.49	856
41347	31725	237x123	1292.48	972.49	156812.48	66252.49	856
41346	31981	237x124	1049.3	1304.75	156569.3	68504.75	856
41347	31981	237x124	1294.3	1304.75	156814.3	68504.75	856
41347	31979	235x124	1886.05	340.69	153566.05	67540.69	1115
41346	31979	235x124	1886.05	245.69	153566.05	67445.69	1115
41347	31723	235x123	1854.05	1919.35	153534.05	67199.35	1115
41346	31723	235x123	1919.05	1855.35	153599.05	67135.35	1115
41347	31724	236x123	237.49	1855.71	153837.49	67135.71	1115
41346	31724	236x123	343.49	1855.71	153943.49	67135.71	1115
41347	31980	236x124	1816.6	355.24	155416.6	67555.24	1115.21
41346	31980	236x124	1816.6	254.24	155416.6	67454.24	1115.21
41347	31980	236x124	1862.44	58.23	155462.44	67258.23	1115
41346	31980	236x124	1783.44	0.23	155383.44	67200.23	1115
41347	31980	236x124	1491.96	0.41	155091.96	67200.41	1115
41346	31980	236x124	1590.96	0.41	155190.96	67200.41	1115
41347	31723	235x123	1782.91	605.89	153462.91	65885.89	1115
41346	31723	235x123	1896.91	605.89	153576.91	65885.89	1115
41347	31724	236x123	288.67	659.71	153888.67	65939.71	1115
41346	31724	236x123	288.67	555.71	153888.67	65835.71	1115
41347	31723	235x123	1799.59	919.15	153479.59	66199.15	1115
41346	31723	235x123	1799.59	1012.15	153479.59	66292.15	1115
41347	31724	236x123	1523.54	550.29	155123.54	65830.29	1115
41346	31724	236x123	1518.54	660.29	155118.54	65940.29	1115
41347	31724	236x123	1919.45	619.39	155519.45	65899.39	1115
41346	31724	236x123	1819.45	619.39	155419.45	65899.39	1115
41347	31725	237x123	30.87	965.87	155550.87	66245.87	1115
41346	31725	237x123	28.87	876.87	155548.87	66156.87	1115
41349	31979	235x124	1874.87	366.83	153554.87	67566.83	1115.4
41348	31979	235x124	1874.87	255.83	153554.87	67455.83	1115.4
41349	31723	235x123	1851.69	1919.96	153531.69	67199.96	1115
41348	31723	235x123	1916.69	1859.96	153596.69	67139.96	1115
41349	31980	236x124	235.31	0.7	153835.31	67200.7	1115
41348	31980	236x124	322.31	0.7	153922.31	67200.7	1115
41349	31980	236x124	1864.9	339.72	155464.9	67539.72	1115
41348	31980	236x124	1864.9	239.72	155464.9	67439.72	1115
41349	31724	236x123	1889.0	1919.74	155489.0	67199.74	1115
41348	31724	236x123	1813.0	1851.74	155413.0	67131.74	1115
41349	31724	236x123	1491.66	1843.81	155091.66	67123.81	1115
41348	31724	236x123	1586.66	1848.81	155186.66	67128.81	1115
41349	31723	235x123	1779.69	889.89	153459.69	66169.89	1115
41348	31723	235x123	1780.69	791.89	153460.69	66071.89	1115
41349	31724	236x123	170.71	646.8	153770.71	65926.8	1115
41348	31724	236x123	170.71	538.8	153770.71	65818.8	1115
41349	31724	236x123	414.12	838.03	154014.12	66118.03	1115.01
41348	31724	236x123	385.12	804.03	153985.12	66084.03	1115.01
41349	31724	236x123	1414.08	846.74	155014.08	66126.74	1115
41348	31724	236x123	1451.08	812.74	155051.08	66092.74	1115
41349	31724	236x123	1692.55	670.9	155292.55	65950.9	1115
41348	31724	236x123	1692.55	580.9	155292.55	65860.9	1115
41349	31725	237x123	29.53	919.71	155549.53	66199.71	1115
41348	31725	237x123	30.53	818.71	155550.53	66098.71	1115
41348	31725	237x123	449.06	1603.53	155969.06	66883.53	856
41349	31725	237x123	702.06	1603.53	156222.06	66883.53	856
41348	31725	237x123	1063.4	934.82	156583.4	66214.82	856
41349	31725	237x123	1292.4	934.82	156812.4	66214.82	856
41348	31981	237x124	1064.6	1137.59	156584.6	68337.59	856
41349	31981	237x124	1263.6	1138.59	156783.6	68338.59	856
41348	31723	235x123	1093.81	1718.84	152773.81	66998.84	856
41349	31723	235x123	1367.81	1718.84	153047.81	66998.84	856
41348	31723	235x123	476.26	953.44	152156.26	66233.44	856
41349	31723	235x123	722.26	953.44	152402.26	66233.44	856
41348	31979	235x124	510.21	1053.54	152190.21	68253.54	856
41349	31979	235x124	772.21	1053.54	152452.21	68253.54	856
41739	32236	236x125	1844.37	864.63	155444.37	69984.63	856
41738	32236	236x125	1762.15	589.71	155362.15	69709.71	856
41738	32237	237x125	111.02	481.85	155631.02	69601.85	856
41739	32237	237x125	37.55	206.73	155557.55	69326.73	856
41738	32237	237x125	354.88	280.2	155874.88	69400.2	856
41739	32237	237x125	617.63	389.51	156137.63	69509.51	856
41738	32237	237x125	687.98	130.02	156207.98	69250.02	856
41738	32237	237x125	886.5	323.86	156406.5	69443.86	856
41739	32235	235x125	1833.16	938.6	153513.16	70058.6	856
41738	32236	236x125	7.49	618.64	153607.49	69738.64	856
41738	32235	235x125	1588.36	518.05	153268.36	69638.05	856
41739	32235	235x125	1777.51	271.06	153457.51	69391.06	856
41738	32235	235x125	1409.48	266.52	153089.48	69386.52	856
41739	32235	235x125	1098.4	433.79	152778.4	69553.79	856
41738	32235	235x125	930.78	189.01	152610.78	69309.01	856
41738	32235	235x125	795.37	459.15	152475.37	69579.15	856
41739	31979	235x124	1262.09	1398.97	152942.09	68598.97	877.11
41739	31980	236x124	93.53	911.33	153693.53	68111.33	877.11
41738	31979	235x124	1545.09	1391.16	153225.09	68591.16	852.77
41738	31979	235x124	1719.59	1385.79	153399.59	68585.79	852.77
41738	31979	235x124	1274.07	1032.68	152954.07	68232.68	852.77
41738	31979	235x124	1433.54	928.57	153113.54	68128.57	852.77
41738	31979	235x124	1587.13	924.22	153267.13	68124.22	852.77
41738	31979	235x124	1901.75	1389.74	153581.75	68589.74	858.56
41738	31979	235x124	1272.68	853.96	152952.68	68053.96	858.56
41739	31981	237x124	560.28	1389.56	156080.28	68589.56	889.2
41739	31980	236x124	1736.71	917.02	155336.71	68117.02	889.2
41738	31980	236x124	1819.67	1397.33	155419.67	68597.33	859.46
41738	31981	237x124	60.42	1392.15	155580.42	68592.15	859.46
41738	31981	237x124	223.42	1389.56	155743.42	68589.56	859.46
41738	31981	237x124	549.95	1026.41	156069.95	68226.41	859.46
41738	31981	237x124	553.84	845.12	156073.84	68045.12	859.46
41738	31981	237x124	402.02	930.39	155922.02	68130.39	859.46
41738	31981	237x124	229.38	935.57	155749.38	68135.57	859.46
41738	31981	237x124	81.8	927.08	155601.8	68127.08	869.28
41738	31979	235x124	1748.57	917.22	153428.57	68117.22	869.28
41739	31979	235x124	544.83	1920.0	152224.83	69120.0	856
41739	31979	235x124	684.4	1717.0	152364.4	68917.0	856
41739	31979	235x124	496.11	1569.7	152176.11	68769.7	856
41739	31979	235x124	690.99	1345.72	152370.99	68545.72	856
41739	31979	235x124	506.62	766.49	152186.62	67966.49	856
41739	31981	237x124	1138.81	1920.0	156658.81	69120.0	855.8
41739	31981	237x124	1267.31	1656.02	156787.31	68856.02	856
41739	31981	237x124	1120.9	1478.82	156640.9	68678.82	856
41739	31981	237x124	1130.25	1091.69	156650.25	68291.69	856
41739	31981	237x124	1270.04	831.99	156790.04	68031.99	855.39
41739	31979	235x124	682.96	1009.64	152362.96	68209.64	856
41739	31979	235x124	475.63	1159.81	152155.63	68359.81	856
41739	31979	235x124	655.58	589.37	152335.58	67789.37	856
41739	31981	237x124	1328.99	1251.49	156848.99	68451.49	856.29
41739	31981	237x124	1114.13	681.65	156634.13	67881.65	856
41739	31981	237x124	1270.86	490.73	156790.86	67690.73	856
41739	32235	235x125	1046.11	144.5	152726.11	69264.5	856
41739	31979	235x124	1276.44	1376.99	152956.44	68576.99	885.55
41739	31980	236x124	83.09	907.33	153683.09	68107.33	886.2
41739	31980	236x124	1767.72	911.1	155367.72	68111.1	881.98
41739	31981	237x124	552.89	1396.85	156072.89	68596.85	884.7
41739	32237	237x125	722.35	133.68	156242.35	69253.68	856
41739	31979	235x124	542.06	766.96	152222.06	67966.96	856
41739	31981	237x124	1153.08	675.37	156673.08	67875.37	856
41344	23244	204x90	331.33	598.34	92491.33	2518.34	174.86
41344	23244	204x90	779.76	709.77	92939.76	2629.77	169.56
41344	23244	204x90	960.35	1519.88	93120.35	3439.88	6.35
41344	23244	204x90	630.15	98.17	92790.15	2018.17	175.16
41344	22988	204x89	1784.98	1489.95	93944.98	1489.95	94.53
41344	23244	204x90	1391.53	667.12	93551.53	2587.12	169.11
41344	23245	205x90	101.99	1109.75	94181.99	3029.75	7.5
41344	23245	205x90	900.56	736.94	94980.56	2656.94	4.41
41344	22989	205x89	1863.33	1878.83	95943.33	1878.83	0
41345	22732	204x88	427.11	566.71	92587.11	-1353.29	178.39
41345	22475	203x87	1730.45	1684.46	91970.45	-2155.54	182.13
41345	22732	204x88	619.91	96.32	92779.91	-1823.68	174.04
41345	22732	204x88	809.3	688.71	92969.3	-1231.29	168.42
41345	22476	204x87	348.2	1322.24	92508.2	-2517.76	256.55
41345	22476	204x87	595.83	880.14	92755.83	-2959.86	312.73
41345	22475	203x87	1744.72	1038.08	91984.72	-2801.92	292.85
41345	22476	204x87	1189.45	1667.5	93349.45	-2172.5	267.01
41345	22732	204x88	1317.73	548.36	93477.73	-1371.64	170.38
41345	22732	204x88	1695.72	737.16	93855.72	-1182.84	166.66
41345	22732	204x88	1874.51	241.67	94034.51	-1678.33	166.54
41345	22477	205x87	127.82	1539.23	94207.82	-2300.77	257.5
41345	22477	205x87	137.63	1117.36	94217.63	-2722.64	259.38
41345	22476	204x87	1502.38	489.91	93662.38	-3350.09	265.76
41345	22732	204x88	1438.12	1259.34	93598.12	-660.66	13.18
41345	22733	205x88	1137.8	1222.67	95217.8	-697.33	0
41345	22733	205x88	1547.88	1217.41	95627.88	-702.59	0
41345	22733	205x88	708.17	186.36	94788.17	-1733.64	136.6
41345	22733	205x88	1730.56	325.13	95810.56	-1594.87	-44.7
41345	22477	205x87	1437.31	1865.74	95517.31	-1974.26	4.23
41345	22477	205x87	1416.44	1465.58	95496.44	-2374.42	0.23
41345	22989	205x89	396.83	668.26	94476.83	668.26	10.12
41345	22989	205x89	835.77	999.0	94915.77	999.0	1.84
41345	22989	205x89	1396.27	1246.07	95476.27	1246.07	0
41345	23245	205x90	1631.36	19.29	95711.36	1939.29	0
41345	22732	204x88	902.4	1501.65	93062.4	-418.35	6.09
41345	22732	204x88	1195.61	1875.99	93355.61	-44.01	-2
