refid	region	sector	local_x	local_z	world_x	world_z	height
41359	32236	236x125	892.36	284.92	154492.36	69404.92	856
41359	31980	236x124	465.91	1812.42	154065.91	69012.42	856
41359	31980	236x124	900.38	1409.69	154500.38	68609.69	856
41359	31980	236x124	1337.28	1816.76	154937.28	69016.76	856
41359	31979	235x124	1260.85	157.86	152940.85	67357.86	856
41359	31723	235x123	890.93	627.05	152570.93	65907.05	856
41359	31723	235x123	672.87	1578.11	152352.87	66858.11	856
41359	31979	235x124	666.01	1697.94	152346.01	68897.94	856
41359	32235	235x125	1919.65	710.17	153599.65	69830.17	856
41359	31981	237x124	548.65	161.1	156068.65	67361.1	856
41359	31725	237x123	918.79	680.13	156438.79	65960.13	856
41359	31725	237x123	1161.36	1647.86	156681.36	66927.86	856
41359	31981	237x124	1186.21	1758.19	156706.21	68958.19	855.16
41359	32236	236x125	1919.93	761.7	155519.93	69881.7	856
41359	31980	236x124	561.29	349.09	154161.29	67549.09	1115.58
41359	31980	236x124	1237.06	352.65	154837.06	67552.65	1115.58
41359	31723	235x123	1801.67	1273.95	153481.67	66553.95	1115
41359	31725	237x123	42.12	1288.12	155562.12	66568.12	1115
41359	-32749	19x-128	791.32	925.68	-262248.68	-415714.32	-134.49
41359	-32749	19x-128	908.0	956.42	-262132.0	-415683.58	-134.5
41359	-32749	19x-128	1013.85	955.91	-262026.15	-415684.09	-134.5
41359	-32749	19x-128	1120.13	925.37	-261919.87	-415714.63	-134.5
41359	32236	236x125	670.49	79.54	154270.49	69199.54	856
41359	32236	236x125	1122.22	88.54	154722.22	69208.54	856
41359	31980	236x124	1119.46	1657.53	154719.46	68857.53	856
41359	31980	236x124	651.49	1653.15	154251.49	68853.15	856
41360	31980	236x124	169.71	190.37	153769.71	67390.37	1115
41360	31980	236x124	1633.57	204.66	155233.57	67404.66	1115
41360	31723	235x123	1803.54	1326.97	153483.54	66606.97	1115
41360	31725	237x123	10.73	1285.54	155530.73	66565.54	1115
41360	31981	237x124	551.07	127.82	156071.07	67327.82	856
41360	31725	237x123	913.99	686.05	156433.99	65966.05	856
41360	31725	237x123	1212.3	1561.78	156732.3	66841.78	856
41360	31981	237x124	1198.38	1656.65	156718.38	68856.65	855.15
41360	32236	236x125	1785.54	684.26	155385.54	69804.26	856
41360	31979	235x124	1272.5	233.35	152952.5	67433.35	856
41360	31723	235x123	925.42	733.45	152605.42	66013.45	856
41360	31723	235x123	628.86	1531.03	152308.86	66811.03	856
41360	31979	235x124	650.33	1646.42	152330.33	68846.42	856
41360	32235	235x125	1787.17	745.4	153467.17	69865.4	856
41360	-32747	21x-128	930.92	935.12	-258269.08	-415704.88	-134.5
41360	-32748	20x-128	1050.21	889.94	-260069.79	-415750.06	-134.5
41360	32236	236x125	624.56	149.86	154224.56	69269.86	856
41360	31980	236x124	525.94	1645.79	154125.94	68845.79	856
41360	31980	236x124	1162.65	1549.65	154762.65	68749.65	856
41360	32236	236x125	1256.03	71.9	154856.03	69191.9	856
41360	32236	236x125	525.63	57.47	154125.63	69177.47	856
41360	31980	236x124	638.01	1539.4	154238.01	68739.4	856
41360	32236	236x125	1268.73	60.51	154868.73	69180.51	856
41360	31980	236x124	1149.34	1534.26	154749.34	68734.26	856
41360	-32749	19x-128	849.39	960.09	-262190.61	-415679.91	-134.5
41360	-32749	19x-128	965.78	960.33	-262074.22	-415679.67	-134.5
41360	-32749	19x-128	1101.68	950.15	-261938.32	-415689.85	-134.5
