refid	region	sector	local_x	local_z	world_x	world_z	height
41354	32236	236x125	1042.36	322.92	154642.36	69442.92	856
41354	31980	236x124	465.91	1812.42	154065.91	69012.42	856
41354	31980	236x124	900.38	1409.69	154500.38	68609.69	856
41354	31980	236x124	1337.28	1816.76	154937.28	69016.76	856
41353	32236	236x125	650.35	148.34	154250.35	69268.34	856
41353	31980	236x124	650.41	1587.27	154250.41	68787.27	856
41353	31980	236x124	1120.27	1587.69	154720.27	68787.69	856
41353	32236	236x125	1120.06	148.65	154720.06	69268.65	856
41354	31979	235x124	1275.26	1380.01	152955.26	68580.01	901
41354	31980	236x124	81.23	906.59	153681.23	68106.59	900
41353	31979	235x124	1330.94	933.19	153010.94	68133.19	859
41353	31979	235x124	1633.75	1375.53	153313.75	68575.53	864
41354	31979	235x124	1150.77	160.23	152830.77	67360.23	856
41354	31723	235x123	886.29	732.16	152566.29	66012.16	856
41354	31723	235x123	559.35	1578.35	152239.35	66858.35	856
41354	31979	235x124	545.87	1703.29	152225.87	68903.29	856
41353	31981	237x124	25.7	1393.44	155545.7	68593.44	863
41353	31981	237x124	484.52	926.82	156004.52	68126.82	853
41354	31981	237x124	547.06	1392.18	156067.06	68592.18	900
41354	31980	236x124	1740.79	922.1	155340.79	68122.1	901
41354	31981	237x124	599.65	161.1	156119.65	67361.1	856
41354	31725	237x123	921.79	751.13	156441.79	66031.13	856
41354	31725	237x123	1211.36	1647.86	156731.36	66927.86	856
41354	31981	237x124	1237.21	1758.19	156757.21	68958.19	855.16
41354	32236	236x125	752.82	320.68	154352.82	69440.68	856
41354	31980	236x124	902.92	1427.3	154502.92	68627.3	856
41353	32236	236x125	935.79	165.42	154535.79	69285.42	856
41353	31980	236x124	688.2	1820.97	154288.2	69020.97	856
41353	31980	236x124	1122.55	1814.19	154722.55	69014.19	856
41353	31980	236x124	898.79	1556.52	154498.79	68756.52	856
41354	32236	236x125	651.49	148.54	154251.49	69268.54	856
41354	32236	236x125	1122.22	147.54	154722.22	69267.54	856
41354	31980	236x124	1119.46	1589.53	154719.46	68789.53	856
41354	31980	236x124	651.49	1588.15	154251.49	68788.15	856
41353	31979	235x124	1841.1	1381.37	153521.1	68581.37	856
41353	31979	235x124	1596.94	922.34	153276.94	68122.34	856
41353	31981	237x124	199.02	1393.29	155719.02	68593.29	856
41353	31981	237x124	222.56	915.79	155742.56	68115.79	856
41356	32236	236x125	901.99	312.37	154501.99	69432.37	856
41356	31980	236x124	899.64	1404.09	154499.64	68604.09	856
41355	31981	237x124	155.18	1387.27	155675.18	68587.27	865
41355	31981	237x124	463.02	922.47	155983.02	68122.47	865
41356	31981	237x124	596.07	127.82	156116.07	67327.82	856
41356	31725	237x123	964.99	686.21	156484.99	65966.21	856
41356	31725	237x123	1166.3	1561.78	156686.3	66841.78	856
41356	31981	237x124	1155.38	1656.65	156675.38	68856.65	855.15
41356	32236	236x125	902.07	316.48	154502.07	69436.48	856
41356	31980	236x124	899.02	1405.94	154499.02	68605.94	856
41355	31979	235x124	1801.81	1382.85	153481.81	68582.85	880
41355	31979	235x124	1338.43	924.32	153018.43	68124.32	865
41356	31979	235x124	1225.5	233.35	152905.5	67433.35	856
41356	31723	235x123	871.42	733.45	152551.42	66013.45	856
41356	31723	235x123	576.86	1531.03	152256.86	66811.03	856
41356	31979	235x124	600.33	1646.42	152280.33	68846.42	856
41356	31981	237x124	554.19	1384.64	156074.19	68584.64	885
41356	31980	236x124	1742.18	924.24	155342.18	68124.24	885
41356	31979	235x124	1267.04	1386.21	152947.04	68586.21	880
41356	31980	236x124	80.48	912.11	153680.48	68112.11	880
41356	32236	236x125	582.18	109.09	154182.18	69229.09	856
41356	31980	236x124	582.94	1597.79	154182.94	68797.79	856
41356	31980	236x124	1209.65	1593.65	154809.65	68793.65	856
41356	32236	236x125	1211.03	120.9	154811.03	69240.9	856
41356	32236	236x125	582.63	110.47	154182.63	69230.47	856
41356	31980	236x124	584.01	1598.4	154184.01	68798.4	856
41356	32236	236x125	1210.73	121.51	154810.73	69241.51	856
41356	31980	236x124	1209.34	1594.26	154809.34	68794.26	856
41355	31980	236x124	1898.42	1390.35	155498.42	68590.35	856
41355	31981	237x124	221.09	919.45	155741.09	68119.45	857
41355	31979	235x124	1609.97	1384.49	153289.97	68584.49	856
41355	31979	235x124	1615.85	919.03	153295.85	68119.03	856
41740	31979	235x124	518.34	283.67	152198.34	67483.67	856
41741	31979	235x124	688.76	125.57	152368.76	67325.57	856
41740	31723	235x123	524.28	1808.08	152204.28	67088.08	856
41741	31723	235x123	688.49	1626.11	152368.49	66906.11	856
41740	31723	235x123	505.19	1406.12	152185.19	66686.12	856
41741	31723	235x123	660.43	1240.83	152340.43	66520.83	856
41740	31981	237x124	1129.97	233.5	156649.97	67433.5	856
41741	31981	237x124	1286.07	0.0	156806.07	67200.0	855.63
41740	31725	237x123	1135.82	1748.03	156655.82	67028.03	856
41741	31725	237x123	1278.6	1493.45	156798.6	66773.45	856
41740	31725	237x123	1105.35	1324.17	156625.35	66604.17	856
41741	31725	237x123	1275.34	1053.47	156795.34	66333.47	856
