refid	region	sector	local_x	local_z	world_x	world_z	height
41393	24523	203x95	1300.7	578.12	91540.7	12098.12	64.03
41393	24523	203x95	1498.03	1391.63	91738.03	12911.63	-75.8
41393	24523	203x95	720.06	1010.6	90960.06	12530.6	-27.26
41393	24523	203x95	7.68	603.06	90247.68	12123.06	-54.01
41393	24523	203x95	231.71	1184.86	90471.71	12704.86	-6.33
41393	24523	203x95	161.4	33.21	90401.4	11553.21	8.65
41393	24522	202x95	1518.46	110.29	89838.46	11630.29	3.2
41393	24267	203x94	685.25	943.73	90925.25	10543.73	4.21
41393	24267	203x94	78.29	1112.13	90318.29	10712.13	13.24
41393	24266	202x94	1537.46	1402.82	89857.46	11002.82	0.02
41393	24267	203x94	549.03	503.39	90789.03	10103.39	-1.65
41393	24266	202x94	1731.56	749.44	90051.56	10349.44	0.23
41395	24779	203x96	776.14	1617.35	91016.14	15057.35	-147.86
41395	24779	203x96	234.87	1524.73	90474.87	14964.73	-144.83
41395	24778	202x96	1732.12	1637.31	90052.12	15077.31	-149.75
41396	25034	202x97	1497.02	153.06	89817.02	15513.06	-94.97
41396	25035	203x97	126.97	45.76	90366.97	15405.76	-158.04
41395	25035	203x97	700.51	175.64	90940.51	15535.64	-162.12
41396	25035	203x97	1387.74	158.02	91627.74	15518.02	-167.39
41396	25035	203x97	1832.05	481.59	92072.05	15841.59	-173.11
41396	25036	204x97	385.01	814.49	92545.01	16174.49	-181.32
41396	25035	203x97	1509.43	860.67	91749.43	16220.67	-169.97
41396	25035	203x97	1310.62	1211.85	91550.62	16571.85	-173.36
41395	25035	203x97	933.97	860.54	91173.97	16220.54	-163.74
41395	25035	203x97	516.03	1083.61	90756.03	16443.61	-168.35
41396	25035	203x97	277.43	679.74	90517.43	16039.74	-170.76
41396	25034	202x97	1735.45	798.79	90055.45	16158.79	-178.76
41396	25033	201x97	1804.41	1360.98	88204.41	16720.98	20.79
41396	25289	201x98	1890.33	460.14	88290.33	17740.14	-103.04
41394	24267	203x94	1021.27	587.7	91261.27	10187.7	0
41394	24267	203x94	600.53	75.95	90840.53	9675.95	-11.72
41394	24267	203x94	135.1	497.13	90375.1	10097.13	1.27
41394	24011	203x93	265.83	1462.8	90505.83	9142.8	-75.56
41394	24011	203x93	921.42	1280.42	91161.42	8960.42	-156.54
41394	24266	202x94	483.52	387.84	88803.52	9987.84	4.82
41394	24266	202x94	68.22	1580.84	88388.22	11180.84	48.59
41394	24522	202x95	293.96	495.72	88613.96	12015.72	58.31
41394	24522	202x95	233.38	1088.94	88553.38	12608.94	38.34
41394	24778	202x96	199.1	745.24	88519.1	14185.24	6.7
41394	24522	202x95	1770.36	1455.92	90090.36	12975.92	-0.13
41394	24523	203x95	1210.09	1041.77	91450.09	12561.77	47.74
41394	24523	203x95	1057.72	1670.55	91297.72	13190.55	-121.51
41394	24268	204x94	195.08	160.01	92355.08	9760.01	-6.1
41393	24523	203x95	514.36	805.3	90754.36	12325.3	5.31
41393	24523	203x95	559.81	709.03	90799.81	12229.03	12.97
41395	25034	202x97	391.02	1016.57	88711.02	16376.57	-35.75
41395	25034	202x97	451.27	185.95	88771.27	15545.95	-18.7
41395	24777	201x96	1718.78	1366.02	88118.78	14806.02	40.16
41395	25034	202x97	1868.59	414.07	90188.59	15774.07	-160
41397	-32746	22x-128	318.68	503.47	-256961.32	-416136.53	1.11
41397	-32746	22x-128	620.26	728.27	-256659.74	-415911.73	1.11
41397	-32746	22x-128	635.85	378.96	-256644.15	-416261.04	1.11
41397	-32746	22x-128	657.17	26.57	-256622.83	-416613.43	1.11
41397	-32746	22x-128	933.43	270.6	-256346.57	-416369.4	-4.99
41397	-32746	22x-128	708.8	1699.15	-256571.2	-414940.85	1.11
41397	-32746	22x-128	354.9	1205.83	-256925.1	-415434.17	1.11
41397	-32746	22x-128	800.6	1265.61	-256479.4	-415374.39	1.11
41398	-32746	22x-128	2213.9	1681.25	-255066.1	-414958.75	1.11
41398	-32746	22x-128	2467.72	1433.82	-254812.28	-415206.18	1.11
41398	-32746	22x-128	2581.27	1024.27	-254698.73	-415615.73	1.11
41398	-32746	22x-128	2250.86	974.26	-255029.14	-415665.74	1.11
41398	-32746	22x-128	2169.21	1298.02	-255110.79	-415341.98	1.11
41398	-32746	22x-128	2028.83	1414.87	-255251.17	-415225.13	1.11
41397	-32746	22x-128	2392.84	1637.83	-254887.16	-415002.17	1.11
41397	-32746	22x-128	2641.89	1479.04	-254638.11	-415160.96	1.11
41397	-32746	22x-128	2632.19	1178.67	-254647.81	-415461.33	1.11
41397	-32746	22x-128	2145.52	1103.53	-255134.48	-415536.47	1.11
41397	-32746	22x-128	2003.17	1270.14	-255276.83	-415369.86	1.11
41397	-32746	22x-128	2094.44	498.59	-255185.56	-416141.41	1.11
41398	-32746	22x-128	2094.44	498.59	-255185.56	-416141.41	1.11
41397	-32746	22x-128	2409.62	580.22	-254870.38	-416059.78	1.11
41398	-32746	22x-128	2409.62	580.22	-254870.38	-416059.78	1.11
41397	-32746	22x-128	2612.29	427.62	-254667.71	-416212.38	1.11
41398	-32746	22x-128	2612.29	427.62	-254667.71	-416212.38	1.11
41397	-32746	22x-128	2370.46	67.85	-254909.54	-416572.15	1.11
41398	-32746	22x-128	2370.46	67.85	-254909.54	-416572.15	1.11
41397	-32746	22x-128	2072.88	123.58	-255207.12	-416516.42	1.11
41398	-32746	22x-128	2072.88	123.58	-255207.12	-416516.42	1.11
41398	-32746	22x-128	798.24	521.85	-256481.76	-416118.15	1.11
41398	-32746	22x-128	857.13	501.41	-256422.87	-416138.59	1.11
41398	-32746	22x-128	855.23	442.34	-256424.77	-416197.66	1.11
41398	-32746	22x-128	396.89	263.73	-256883.11	-416376.27	1.11
41398	-32746	22x-128	431.64	248.87	-256848.36	-416391.13	1.11
41398	-32746	22x-128	427.42	208.81	-256852.58	-416431.19	1.11
41398	-32746	22x-128	735.22	1483.57	-256544.78	-415156.43	1.11
41398	-32746	22x-128	547.16	1249.98	-256732.84	-415390.02	1.11
41398	-32746	22x-128	1257.41	1790.88	-256022.59	-414849.12	1.11
41397	-32746	22x-128	1236.56	1816.36	-256043.44	-414823.64	1.11
41397	-32746	22x-128	1272.27	1763.94	-256007.73	-414876.06	1.11
41397	-32746	22x-128	1704.59	1830.56	-255575.41	-414809.44	1.11
41398	-32746	22x-128	1692.48	1809.7	-255587.52	-414830.3	1.11
41397	-32746	22x-128	1675.82	1784.42	-255604.18	-414855.58	1.28
41400	-32746	22x-128	566.09	737.78	-256713.91	-415902.22	2.26
41400	-32746	22x-128	375.77	559.18	-256904.23	-416080.82	1.11
41400	-32746	22x-128	872.08	166.41	-256407.92	-416473.59	1.11
41400	-32746	22x-128	622.79	32.84	-256657.21	-416607.16	1.11
41400	-32746	22x-128	609.16	390.83	-256670.84	-416249.17	1.11
41400	-32746	22x-128	1466.3	59.58	-255813.7	-416580.42	1.11
41400	-32746	22x-128	1043.74	-225.44	-256236.26	-416865.44	1.11
41400	-32746	22x-128	1823.22	-217.85	-255456.78	-416857.85	1.11
41399	-32746	22x-128	2217.76	1014.09	-255062.24	-415625.91	1.11
41399	-32746	22x-128	2577.4	1007.25	-254702.6	-415632.75	1.11
41399	-32746	22x-128	2263.2	1291.53	-255016.8	-415348.47	1.11
41399	-32746	22x-128	2461.04	1415.13	-254818.96	-415224.87	1.11
41399	-32746	22x-128	1987.05	1406.53	-255292.95	-415233.47	1.11
41399	-32746	22x-128	2191.49	1743.93	-255088.51	-414896.07	1.11
41400	-32746	22x-128	2048.35	1287.05	-255231.65	-415352.95	1.11
41400	-32746	22x-128	2107.25	1157.98	-255172.75	-415482.02	1.11
41400	-32746	22x-128	2597.11	1170.31	-254682.89	-415469.69	1.11
41400	-32746	22x-128	2607.63	1488.37	-254672.37	-415151.63	1.11
41400	-32746	22x-128	2332.75	1659.97	-254947.25	-414980.03	1.11
41400	-32746	22x-128	659.46	1659.52	-256620.54	-414980.48	1.11
41400	-32746	22x-128	834.35	1240.38	-256445.65	-415399.62	1.11
41400	-32746	22x-128	386.26	1088.22	-256893.74	-415551.78	1.11
41400	-32746	22x-128	2087.16	500.23	-255192.84	-416139.77	1.11
41399	-32746	22x-128	2087.16	500.23	-255192.84	-416139.77	1.11
41400	-32746	22x-128	2414.81	594.52	-254865.19	-416045.48	1.11
41399	-32746	22x-128	2414.81	594.52	-254865.19	-416045.48	1.11
41400	-32746	22x-128	2620.25	443.51	-254659.75	-416196.49	1.11
41399	-32746	22x-128	2620.25	443.51	-254659.75	-416196.49	1.11
41400	-32746	22x-128	2374.49	76.5	-254905.51	-416563.5	1.11
41399	-32746	22x-128	2374.49	76.5	-254905.51	-416563.5	1.11
41400	-32746	22x-128	2070.66	134.41	-255209.34	-416505.59	1.11
41399	-32746	22x-128	2070.66	134.41	-255209.34	-416505.59	1.11
41399	-32746	22x-128	725.33	435.42	-256554.67	-416204.58	1.11
41399	-32746	22x-128	727.95	472.46	-256552.05	-416167.54	1.11
41399	-32746	22x-128	761.33	427.77	-256518.67	-416212.23	1.11
41399	-32746	22x-128	441.16	256.58	-256838.84	-416383.42	1.11
41399	-32746	22x-128	448.42	283.2	-256831.58	-416356.8	1.11
41399	-32746	22x-128	466.79	239.04	-256813.21	-416400.96	1.11
41399	-32746	22x-128	1270.76	-108.67	-256009.24	-416748.67	1.11
41399	-32746	22x-128	1243.07	-155.98	-256036.93	-416795.98	1.11
41399	-32746	22x-128	1635.22	-128.77	-255644.78	-416768.77	1.11
41399	-32746	22x-128	1659.43	-176.32	-255620.57	-416816.32	1.11
41399	-32746	22x-128	1773.47	1783.68	-255506.53	-414856.32	1.11
41400	-32746	22x-128	1755.92	1812.19	-255524.08	-414827.81	1.11
41400	-32746	22x-128	1741.42	1774.95	-255538.58	-414865.05	1.11
41399	-32746	22x-128	1251.08	1809.27	-256028.92	-414830.73	1.11
41400	-32746	22x-128	1210.22	1816.57	-256069.78	-414823.43	1.11
41400	-32746	22x-128	1233.22	1786.25	-256046.78	-414853.75	1.11
41399	-32746	22x-128	687.72	1484.54	-256592.28	-415155.46	1.11
41399	-32746	22x-128	708.63	1452.55	-256571.37	-415187.45	3.03
41399	-32746	22x-128	530.66	1242.85	-256749.34	-415397.15	1.11
41399	-32746	22x-128	573.12	1240.88	-256706.88	-415399.12	1.11
41754	-32746	22x-128	-132.08	-1479.58	-257412.08	-418119.58	1.59
41754	-32746	22x-128	-4.5	-1453.73	-257284.5	-418093.73	1.59
41754	-32746	22x-128	-248.68	-1634.89	-257528.68	-418274.89	1.59
41754	-32746	22x-128	-209.29	-1818.14	-257489.29	-418458.14	1.59
41754	-32746	22x-128	160.99	-1558.76	-257119.01	-418198.76	1.59
41754	-32746	22x-128	199.03	-1683.41	-257080.97	-418323.41	1.59
41754	-32746	22x-128	186.57	-1849.52	-257093.43	-418489.52	1.59
41754	-32746	22x-128	56.41	-1893.39	-257223.59	-418533.39	1.59
41754	-32746	22x-128	-66.9	-1888.13	-257346.9	-418528.13	1.59
41754	-32746	22x-128	-81.62	-1690.46	-257361.62	-418330.46	1.59
41754	-32746	22x-128	44.3	-1665.08	-257235.7	-418305.08	1.59
41754	-32746	22x-128	-34.56	-1583.52	-257314.56	-418223.52	1.59
41754	-32746	22x-128	-34.56	-1583.52	-257314.56	-418223.52	1.59
41754	-32746	22x-128	11.46	-1784.96	-257268.54	-418424.96	1.59
41754	-32746	22x-128	12.31	-1783.25	-257267.69	-418423.25	1.59
41755	-32746	22x-128	-1490.71	2086.68	-258770.71	-414553.32	1.11
41755	-32746	22x-128	-1482.59	1664.55	-258762.59	-414975.45	1.11
41755	-32746	22x-128	-1696.82	1597.54	-258976.82	-415042.46	1.11
41755	-32746	22x-128	-1194.54	1778.95	-258474.54	-414861.05	1.11
41755	-32746	22x-128	-1733.04	1981.06	-259013.04	-414658.94	1.11
41755	-32746	22x-128	-617.45	1358.69	-257897.45	-415281.31	1.11
41755	-32746	22x-128	-900.15	1443.35	-258180.15	-415196.65	1.11
41755	-32746	22x-128	-661.63	1069.25	-257941.63	-415570.75	1.11
41755	-32746	22x-128	-612.25	1617.75	-257892.25	-415022.25	1.11
41755	-32746	22x-128	-372.32	1204.2	-257652.32	-415435.8	1.11
41755	-32746	22x-128	-621.28	370.05	-257901.28	-416269.95	1.11
41755	-32746	22x-128	-533.68	678.57	-257813.68	-415961.43	1.11
41755	-32746	22x-128	-917.16	311.31	-258197.16	-416328.69	-4.99
41755	-32746	22x-128	-844.85	163.04	-258124.85	-416476.96	3.03
41755	-32746	22x-128	-702.3	43.94	-257982.3	-416596.06	1.11
41755	-32746	22x-128	-1481.86	-368.86	-258761.86	-417008.86	1.11
41755	-32746	22x-128	-1747.71	-42.81	-259027.71	-416682.81	3.03
41755	-32746	22x-128	-1250.02	99.57	-258530.02	-416540.43	1.11
41755	-32746	22x-128	-1175.89	-223.45	-258455.89	-416863.45	1.11
41755	-32746	22x-128	-2341.18	371.65	-259621.18	-416268.35	1.11
41755	-32746	22x-128	-2567.94	482.73	-259847.94	-416157.27	1.11
41755	-32746	22x-128	-2055.18	299.94	-259335.18	-416340.06	1.11
41755	-32746	22x-128	-2298.38	96.88	-259578.38	-416543.12	1.11
41755	-32746	22x-128	-2354.43	1362.38	-259634.43	-415277.62	1.11
41755	-32746	22x-128	-2272.12	1617.97	-259552.12	-415022.03	1.11
41755	-32746	22x-128	-2046.81	1430.6	-259326.81	-415209.4	1.11
41755	-32746	22x-128	-2524.22	1067.08	-259804.22	-415572.92	1.11
