refid	region	sector	local_x	local_z	world_x	world_z	height
1995	24189	125x94	241.99	1355.56	-59278.01	10955.56	1526
1995	24189	125x94	497.54	634.58	-59022.46	10234.58	1468
1995	24189	125x94	169.16	0.35	-59350.84	9600.35	1468
1995	24188	124x94	1576.89	863.92	-59863.11	10463.92	1468
1995	24188	124x94	666.19	711.96	-60773.81	10311.96	1473.75
1995	24188	124x94	1269.31	19.69	-60170.69	9619.69	1468
1995	23932	124x93	623.5	1786.98	-60816.5	9466.98	1519.92
1995	23933	125x93	287.8	596.67	-59232.2	8276.67	1468
1995	23931	123x93	1205.93	1357.9	-62154.07	9037.9	1977.13
1995	23931	123x93	468.15	1371.36	-62891.85	9051.36	1964.02
1995	23931	123x93	505.95	617.48	-62854.05	8297.48	2000
1995	23931	123x93	1714.87	559.76	-61645.13	8239.76	1950.94
1995	23932	124x93	477.32	247.48	-60962.68	7927.48	1734.68
1995	23676	124x92	339.22	1572.21	-61100.78	7332.21	1833.68
1995	23676	124x92	1316.88	1140.87	-60123.12	6900.87	1468
1995	23676	124x92	536.38	903.35	-60903.62	6663.35	1605.36
1995	23675	123x92	1579.48	1755.43	-61780.52	7515.43	1962.85
1995	23674	122x92	1867.88	1479.56	-63412.12	7239.56	2000
1995	23675	123x92	1222.51	847.21	-62137.49	6607.21	1989.82
1995	23676	124x92	832.35	343.24	-60607.65	6103.24	1678
1995	23420	124x91	232.29	1706.8	-61207.71	5546.8	1806.53
1995	23675	123x92	1307.69	146.86	-62052.31	5906.86	1871.52
1995	23419	123x91	798.94	1095.2	-62561.06	4935.2	2000
1995	23419	123x91	1721.96	852.88	-61638.04	4692.88	1904
1995	23163	123x90	902.95	1873.13	-62457.05	3793.13	2000
1995	23163	123x90	408.82	757.91	-62951.18	2677.91	2000
1995	22907	123x89	912.23	875.29	-62447.77	875.29	2000
1995	23164	124x90	75.18	1444.51	-61364.82	3364.51	1931.87
1995	23930	122x93	1275.63	513.6	-64004.37	8193.6	1981.91
1995	23930	122x93	251.25	1138.01	-65028.75	8818.01	2051.03
1995	23929	121x93	863.11	500.14	-66336.89	8180.14	2093.61
