refid	region	sector	local_x	local_z	world_x	world_z	height
2111	22145	129x86	1769.16	544.74	-50070.84	-5215.26	1468
2111	22146	130x86	1394.25	1095.86	-48525.75	-4664.14	1483.65
2111	22403	131x87	898.89	495.73	-47101.11	-3344.27	1474.69
2111	22146	130x86	1205.02	1800.18	-48714.98	-3959.82	1479.37
2111	22403	131x87	1154.35	1244.03	-46845.65	-2595.97	1488.84
2111	22659	131x88	380.3	708.51	-47619.7	-1211.49	1463.37
2111	22403	131x87	491.66	22.95	-47508.34	-3817.05	1486.29
2111	22402	130x87	377.5	692.17	-49542.5	-3147.83	1413.98
2111	21889	129x85	1301.66	1649.35	-50538.34	-6030.65	1300.85
2111	21889	129x85	739.29	859.38	-51100.71	-6820.62	1430.24
2111	21889	129x85	494.86	1582.43	-51345.14	-6097.57	1296.98
2111	22914	130x89	325.76	1837.54	-49594.24	1837.54	1374.93
2111	22914	130x89	1240.75	1133.32	-48679.25	1133.32	1456.25
2111	22915	131x89	663.87	1085.02	-47336.13	1085.02	1406.17
2111	22915	131x89	683.12	590.53	-47316.88	590.53	1359.39
2111	22915	131x89	731.52	60.26	-47268.48	60.26	1453
2111	22402	130x87	370.45	1609.57	-49549.55	-2230.43	1431.27
2111	22403	131x87	470.95	550.19	-47529.05	-3289.81	1490.04
2111	21891	131x85	187.17	1088.92	-47812.83	-6591.08	1468.22
2111	21890	130x85	1181.78	1335.36	-48738.22	-6344.64	1377.69
2111	21889	129x85	955.95	1673.04	-50884.05	-6006.96	1340.5
2111	21889	129x85	43.64	1814.49	-51796.36	-5865.51	1243.91
2111	22146	130x86	542.35	1523.68	-49377.65	-4236.32	1394.64
2111	22145	129x86	1571.56	1666.96	-50268.44	-4093.04	1398.4
2111	22146	130x86	1619.14	309.85	-48300.86	-5450.15	1428.86
2111	22146	130x86	1058.3	744.06	-48861.7	-5015.94	1361.89
2111	23426	130x91	280.31	1869.26	-49639.69	5709.26	877.28
2111	23425	129x91	1796.48	1565.2	-50043.52	5405.2	925.41
2111	23426	130x91	87.21	1283.08	-49832.79	5123.08	952.62
2111	23425	129x91	1755.16	303.8	-50084.84	4143.8	1070.19
2111	23425	129x91	1760.56	85.2	-50079.44	3925.2	1107.66
2111	23425	129x91	1452.97	40.3	-50387.03	3880.3	1105.64
2111	23169	129x90	1890.81	1082.43	-49949.19	3002.43	1229.94
2111	23170	130x90	292.16	847.34	-49627.84	2767.34	1278.37
2111	23170	130x90	604.21	483.01	-49315.79	2403.01	1342.21
2111	23170	130x90	640.68	93.44	-49279.32	2013.44	1343.03
2111	22914	130x89	1123.57	1386.8	-48796.43	1386.8	1448.58
2111	22914	130x89	1166.1	798.28	-48753.9	798.28	1448.95
2111	22914	130x89	1743.61	965.2	-48176.39	965.2	1497.46
2111	22914	130x89	1380.78	155.8	-48539.22	155.8	1465.58
2111	22915	131x89	92.42	852.24	-47907.58	852.24	1491.78
2111	22915	131x89	527.74	664.9	-47472.26	664.9	1384.8
2111	22915	131x89	935.4	505.92	-47064.6	505.92	1381.96
2111	22915	131x89	1308.3	238.98	-46691.7	238.98	1410.39
2111	22915	131x89	457.38	175.55	-47542.62	175.55	1463.2
2111	22658	130x88	1590.45	1721.47	-48329.55	-198.53	1491.16
2111	22658	130x88	1221.51	1327.56	-48698.49	-592.44	1479.5
2111	22658	130x88	1751.5	1048.84	-48168.5	-871.16	1436.24
2111	22659	131x88	451.45	1588.97	-47548.55	-331.03	1477.68
2111	22659	131x88	190.37	519.43	-47809.63	-1400.57	1455.39
2111	22658	130x88	1272.13	731.19	-48647.87	-1188.81	1436.23
2111	22403	131x87	540.49	1191.25	-47459.51	-2648.75	1487.89
2111	22402	130x87	1866.41	1214.16	-48053.59	-2625.84	1441.99
2111	22402	130x87	1257.7	1492.66	-48662.3	-2347.34	1391.95
2111	22402	130x87	1330.32	1175.17	-48589.68	-2664.83	1411.07
2111	22403	131x87	1151.09	746.14	-46848.91	-3093.86	1453.17
2111	22403	131x87	1301.58	40.18	-46698.42	-3799.82	1497.15
2111	22402	130x87	1130.0	704.52	-48790.0	-3135.48	1365.32
2111	22401	129x87	1613.81	630.34	-50226.19	-3209.66	1438.44
2111	22146	130x86	881.27	1768.27	-49038.73	-3991.73	1398.91
2111	22146	130x86	1073.23	1395.1	-48846.77	-4364.9	1393.6
2111	22147	131x86	698.85	1455.74	-47301.15	-4304.26	1478.76
2111	22147	131x86	445.38	1187.22	-47554.62	-4572.78	1443.67
2111	22146	130x86	1616.2	1196.85	-48303.8	-4563.15	1424.91
2111	22145	129x86	1222.77	1793.81	-50617.23	-3966.19	1407.11
2111	22145	129x86	1744.81	803.97	-50095.19	-4956.03	1341.86
2111	22146	130x86	15.89	320.26	-49904.11	-5439.74	1229.78
2111	22146	130x86	810.52	466.79	-49109.48	-5293.21	1296.79
2111	22147	131x86	739.0	694.75	-47261.0	-5065.25	1446.49
2111	22147	131x86	1030.24	216.25	-46969.76	-5543.75	1434.71
2111	21891	131x85	712.15	1575.63	-47287.85	-6104.37	1478.77
2111	21891	131x85	28.17	1538.97	-47971.83	-6141.03	1417.04
2111	21890	130x85	1190.66	642.21	-48729.34	-7037.79	1468.96
2111	21890	130x85	803.91	1195.62	-49116.09	-6484.38	1347.11
2111	22146	130x86	1262.9	305.45	-48657.1	-5454.55	1392.26
2111	22146	130x86	899.39	91.12	-49020.61	-5668.88	1324.97
2111	21889	129x85	1262.49	235.31	-50577.51	-7444.69	1485.06
2111	21889	129x85	1617.59	1322.66	-50222.41	-6357.34	1319.13
