refid	region	sector	local_x	local_z	world_x	world_z	height
2002	23422	126x91	1762.51	982.75	-55837.49	4822.75	456.24
2002	23424	128x91	527.29	589.58	-53232.71	4429.58	194.26
2002	22912	128x89	694.28	1672.36	-53065.72	1672.36	537.77
2002	23166	126x90	1880.8	267.65	-55719.2	2187.65	534.36
2002	23931	123x93	1418.61	573.73	-61941.39	8253.73	1793.99
2002	22139	123x86	982.9	1082.73	-62377.1	-4677.27	1864.17
2002	22141	125x86	828.11	208.22	-58691.89	-5551.78	1770.59
2002	22146	130x86	996.61	484.92	-48923.39	-5275.08	1330.66
2002	23937	129x93	1113.96	1228.19	-50726.04	8908.19	1277.18
2002	24191	127x94	1283.78	784.22	-54396.22	10384.22	1397.57
2002	23421	125x91	615.84	688.46	-58904.16	4528.46	843.01
