refid	region	sector	local_x	local_z	world_x	world_z	height
2126	23680	128x92	161.31	171.66	-53598.69	5931.66	388.43
2126	23680	128x92	1657.99	847.23	-52102.01	6607.23	580.02
2126	23425	129x91	368.69	1848.5	-51471.31	5688.5	535.74
2126	23424	128x91	1398.24	1115.47	-52361.76	4955.47	412.36
2126	23424	128x91	431.43	376.53	-53328.57	4216.53	452.45
2126	23423	127x91	1581.88	934.48	-54098.12	4774.48	452.82
2126	23168	128x90	778.1	1450.73	-52981.9	3370.73	497.52
2126	23425	129x91	897.62	1169.34	-50942.38	5009.34	533.11
2126	23169	129x90	482.77	1824.07	-51357.23	3744.07	460.18
2126	23168	128x90	1582.26	1131.54	-52177.74	3051.54	488.68
2126	23169	129x90	348.32	161.34	-51491.68	2081.34	454.98
2126	22913	129x89	402.78	1253.37	-51437.22	1253.37	451.72
2126	22913	129x89	1229.3	1193.95	-50610.7	1193.95	500.85
2126	23680	128x92	894.74	538.98	-52865.26	6298.98	353.4
2126	22912	128x89	972.16	1610.04	-52787.84	1610.04	531.41
2126	22912	128x89	1656.13	1797.78	-52103.87	1797.78	491.34
2126	23681	129x92	84.97	470.69	-51755.03	6230.69	576.68
2126	23425	129x91	643.43	1522.0	-51196.57	5362.0	567.81
2126	23425	129x91	784.38	523.63	-51055.62	4363.63	466.76
2126	23169	129x90	664.79	1042.87	-51175.21	2962.87	529.65
2126	23168	128x90	1199.64	1363.09	-52560.36	3283.09	380.19
2126	23424	128x91	1750.25	1474.2	-52009.75	5314.2	359.38
2126	23423	127x91	1509.38	1659.61	-54170.62	5499.61	381.87
2126	23680	128x92	499.53	396.78	-53260.47	6156.78	348.87
2126	23680	128x92	1215.77	794.61	-52544.23	6554.61	462.53
2126	23169	129x90	87.91	1599.32	-51752.09	3519.32	363.38
2126	23168	128x90	1691.67	518.8	-52068.33	2438.8	471.7
2126	22913	129x89	526.18	1715.7	-51313.82	1715.7	480.6
2126	22913	129x89	1263.85	787.64	-50576.15	787.64	477
2126	23424	128x91	89.22	160.13	-53670.78	4000.13	461.62
2126	23169	129x90	779.34	352.7	-51060.66	2272.7	479.42
