refid	region	sector	local_x	local_z	world_x	world_z	height
2127	23165	125x90	385.18	850.29	-59134.82	2770.29	355.51
2127	23165	125x90	1469.96	1017.14	-58050.04	2937.14	426.72
2127	23166	126x90	692.9	1458.59	-56907.1	3378.59	535.48
2127	23166	126x90	1738.5	965.36	-55861.5	2885.36	532.49
2127	23167	127x90	476.41	147.04	-55203.59	2067.04	534.28
2127	22910	126x89	1375.9	1912.16	-56224.1	1912.16	541.88
2127	22911	127x89	1102.53	1236.41	-54577.47	1236.41	537.32
2127	22911	127x89	1066.97	284.43	-54613.03	284.43	526
2127	22655	127x88	1039.04	1235.03	-54640.96	-684.97	563.96
2127	22655	127x88	1061.5	227.77	-54618.5	-1692.23	545.93
2127	22655	127x88	250.14	850.65	-55429.86	-1069.35	419.86
2127	22654	126x88	1165.16	1141.73	-56434.84	-778.27	332.51
2127	22654	126x88	1744.81	1907.05	-55855.19	-12.95	533.56
2127	22910	126x89	1518.42	811.84	-56081.58	811.84	558.51
2127	22910	126x89	741.44	20.55	-56858.56	20.55	574.18
2127	22654	126x88	328.42	1041.37	-57271.58	-878.63	734.83
2127	22910	126x89	131.85	670.58	-57468.15	670.58	598.16
2127	22909	125x89	1146.37	800.29	-58373.63	800.29	567.22
2127	22910	126x89	66.41	1528.59	-57533.59	1528.59	597.7
2127	22909	125x89	802.13	1562.83	-58717.87	1562.83	361.39
2127	23165	125x90	1282.01	258.89	-58237.99	2178.89	353.38
2127	23166	126x90	1061.07	861.41	-56538.93	2781.41	538.14
2127	23422	126x91	1580.82	1102.78	-56019.18	4942.78	409.4
2127	22911	127x89	334.46	532.01	-55345.54	532.01	606.74
2127	22912	128x89	192.86	274.8	-53567.14	274.8	501.31
2127	22656	128x88	666.44	852.18	-53093.56	-1067.82	500.39
2127	22655	127x88	1441.71	169.02	-54238.29	-1750.98	543.38
2127	22655	127x88	622.11	1033.08	-55057.89	-886.92	510.28
2127	22655	127x88	1059.83	1736.27	-54620.17	-183.73	548.25
2127	22911	127x89	1109.4	729.67	-54570.6	729.67	534.95
2127	22910	126x89	1793.05	396.0	-55806.95	396.0	579.11
2127	22654	126x88	1413.11	1489.23	-56186.89	-430.77	384.5
2127	22654	126x88	475.86	1495.84	-57124.14	-424.16	729.92
2127	22910	126x89	16.44	269.82	-57583.56	269.82	758.87
2127	22909	125x89	1456.97	1087.02	-58063.03	1087.02	431.7
2127	23165	125x90	1690.1	51.5	-57829.9	1971.5	439.48
2127	23165	125x90	781.29	534.63	-58738.71	2454.63	336.24
2127	23165	125x90	162.52	1062.82	-59357.48	2982.82	409.63
2127	23165	125x90	1827.71	1556.42	-57692.29	3476.42	543.21
2127	23166	126x90	469.69	1838.68	-57130.31	3758.68	538.29
2127	23166	126x90	1863.63	1364.46	-55736.37	3284.46	523.89
2127	23167	127x90	1203.36	145.09	-54476.64	2065.09	537.23
2127	23165	125x90	281.53	374.77	-59238.47	2294.77	387.47
2127	22910	126x89	792.42	1875.51	-56807.58	1875.51	480.21
