refid	region	sector	local_x	local_z	world_x	world_z	height
2125	22912	128x89	619.49	1590.2	-53140.51	1590.2	538.42
2125	22912	128x89	1229.09	950.43	-52530.91	950.43	492.03
2125	22912	128x89	326.53	697.78	-53433.47	697.78	506.38
2125	22656	128x88	97.24	1760.02	-53662.76	-159.98	513.71
2125	22399	127x87	1813.08	1868.19	-53866.92	-1971.81	573.21
2125	22655	127x88	1319.84	141.33	-54360.16	-1778.67	544.46
2125	22656	128x88	421.28	512.16	-53338.72	-1407.84	514.01
2125	22656	128x88	965.08	1197.4	-52794.92	-722.6	484.16
2125	22656	128x88	1543.85	1818.19	-52216.15	-101.81	449.52
2125	22657	129x88	15.69	1125.23	-51824.31	-794.77	468.71
2125	22913	129x89	33.73	519.82	-51806.27	519.82	443.61
2125	22913	129x89	609.14	147.31	-51230.86	147.31	438.35
2125	22913	129x89	1355.2	358.96	-50484.8	358.96	466.83
2125	22657	129x88	699.42	1130.73	-51140.58	-789.27	472.54
2125	23166	126x90	1881.46	267.38	-55718.54	2187.38	534.33
2125	23168	128x90	68.05	405.01	-53691.95	2325.01	546.3
2125	22657	129x88	1097.2	913.39	-50742.8	-1006.61	517.81
2125	22657	129x88	1549.83	1514.03	-50290.17	-405.97	500.23
2125	22657	129x88	78.79	1409.29	-51761.21	-510.71	448.52
2125	23168	128x90	40.62	579.23	-53719.38	2499.23	533
2125	22913	129x89	698.3	608.38	-51141.7	608.38	450.67
