refid	region	sector	local_x	local_z	world_x	world_z	height
2114	23682	130x92	779.89	1289.45	-49140.11	7049.45	1468
2114	23938	130x93	725.36	17.58	-49194.64	7697.58	1046
2114	23938	130x93	580.04	942.19	-49339.96	8622.19	1283
2114	23937	129x93	765.8	240.4	-51074.2	7920.4	1442
2114	23937	129x93	610.38	1172.53	-51229.62	8852.53	1386
2114	23937	129x93	1512.47	1688.22	-50327.53	9368.22	1468
2114	23938	130x93	425.21	1670.92	-49494.79	9350.92	1468
2114	24194	130x94	1102.23	237.13	-48817.77	9837.13	1468
2114	24194	130x94	1077.63	1417.39	-48842.37	11017.39	1468
2114	24194	130x94	463.27	1449.23	-49456.73	11049.23	1514
2114	24193	129x94	1173.36	535.78	-50666.64	10135.78	1468
2114	24193	129x94	514.52	822.71	-51325.48	10422.71	1468
2114	24192	128x94	1644.5	1008.14	-52115.5	10608.14	1468
2114	24448	128x95	1206.39	30.56	-52553.61	11550.56	1468
2114	24448	128x95	262.23	95.07	-53497.77	11615.07	1547
2114	24191	127x94	1581.14	1629.1	-54098.86	11229.1	1468
2114	24191	127x94	733.93	1792.23	-54946.07	11392.23	1468
2114	24190	126x94	1834.18	573.08	-55765.82	10173.08	1468
2114	24190	126x94	1364.57	1107.38	-56235.43	10707.38	1393
2114	24190	126x94	52.26	119.29	-57547.74	9719.29	1468
2114	23933	125x93	299.47	1412.01	-59220.53	9092.01	1468
2114	23932	124x93	1392.24	676.17	-60047.76	8356.17	1499.27
2114	23932	124x93	1604.58	217.34	-59835.42	7897.34	1468
2114	23934	126x93	800.1	748.59	-56799.9	8428.59	1429
2114	23934	126x93	1663.13	891.98	-55936.87	8571.98	1468
2114	24191	127x94	812.41	361.58	-54867.59	9961.58	1468
2114	24191	127x94	1817.32	376.47	-53862.68	9976.47	1468
2114	23936	128x93	1857.64	1549.25	-51902.36	9229.25	1468
2114	23675	123x92	708.22	1264.71	-62651.78	7024.71	2000
2114	23681	129x92	1919.16	647.04	-49920.84	6407.04	1248
2114	23682	130x92	1475.6	747.73	-48444.4	6507.73	1468
