refid	region	sector	local_x	local_z	world_x	world_z	height
1996	22651	123x88	950.12	813.95	-62409.88	-1106.05	2000
1996	22139	123x86	387.6	1370.72	-62972.4	-4389.28	2000
1996	22139	123x86	1434.02	462.17	-61925.98	-5297.83	2000
1996	22141	125x86	1330.31	1098.74	-58189.69	-4661.26	1925.14
1996	22141	125x86	1135.25	317.32	-58384.75	-5442.68	2000
1996	22142	126x86	483.81	1124.76	-57116.19	-4635.24	1598.47
1996	22142	126x86	0.18	366.21	-57599.82	-5393.79	1808.39
1996	22142	126x86	1315.44	396.12	-56284.56	-5363.88	1468
1996	22143	127x86	631.27	1358.65	-55048.73	-4401.35	1468
1996	22144	128x86	1292.51	1220.51	-52467.49	-4539.49	1468
1996	22145	129x86	960.87	456.38	-50879.13	-5303.62	1468
1996	22145	129x86	613.82	1264.86	-51226.18	-4495.14	1468
1996	22145	129x86	97.6	636.78	-51742.4	-5123.22	1468
1996	22144	128x86	395.9	815.34	-53364.1	-4944.66	1468
1996	22143	127x86	1410.14	415.77	-54269.86	-5344.23	1468
1996	22143	127x86	8.42	643.94	-55671.58	-5116.06	1468
1996	22142	126x86	1485.63	1753.5	-56114.37	-4006.5	1502.38
1996	22140	124x86	775.12	278.06	-60664.88	-5481.94	2000
1996	21888	128x85	1806.49	1051.71	-51953.51	-6628.29	1413.8
1996	21888	128x85	819.35	445.58	-52940.65	-7234.42	1371.89
1996	21887	127x85	1124.43	120.41	-54555.57	-7559.59	1376.04
1996	21887	127x85	243.46	1060.54	-55436.54	-6619.46	1410.1
1996	21886	126x85	1111.22	813.59	-56488.78	-6866.41	1417.65
1996	21885	125x85	1863.15	986.95	-57656.85	-6693.05	1672.88
1996	21885	125x85	1063.36	682.41	-58456.64	-6997.59	1865.36
1996	21884	124x85	656.82	1053.99	-60783.18	-6626.01	2041.07
1996	21884	124x85	1583.07	1169.41	-59856.93	-6510.59	1950.2
1996	22908	124x89	886.59	408.11	-60553.41	408.11	1364.36
1996	22652	124x88	1098.91	591.59	-60341.09	-1328.41	929.58
1996	22398	126x87	35.22	977.04	-57564.78	-2862.96	1175.09
1996	21885	125x85	941.17	1506.47	-58578.83	-6173.53	1871.71
1996	21886	126x85	1759.82	193.88	-55840.18	-7486.12	1366.23
1996	21888	128x85	447.43	1649.83	-53312.57	-6030.17	1173.59
1996	22398	126x87	1431.19	612.14	-56168.81	-3227.86	1483.87
1996	21887	127x85	1827.48	1429.17	-53852.52	-6250.83	1246.16
1996	22143	127x86	1382.38	1185.25	-54297.62	-4574.75	1395.29
1996	21887	127x85	511.07	75.17	-55168.93	-7604.83	1419.28
1996	21886	126x85	1663.61	1655.75	-55936.39	-6024.25	1337.98
1996	22142	126x86	1221.36	1164.28	-56378.64	-4595.72	1410.99
1996	22142	126x86	324.97	1714.63	-57275.03	-4045.37	1792.79
1996	21885	125x85	242.92	1509.55	-59277.08	-6170.45	1883.51
1996	22142	126x86	21.58	774.18	-57578.42	-4985.82	1667.78
1996	21885	125x85	1891.59	1550.27	-57628.41	-6129.73	1600.66
1996	21888	128x85	1018.42	1287.92	-52741.58	-6392.08	1293.79
