refid	region	sector	local_x	local_z	world_x	world_z	height
1987	24201	137x94	1430.34	1074.18	-35049.66	10674.18	80.89
1987	23947	139x93	162.11	1411.06	-32477.89	9091.06	57.39
1987	23691	139x92	571.01	1766.98	-32068.99	7526.98	19.14
1987	24203	139x94	1077.46	218.42	-31562.54	9818.42	102.89
1987	24203	139x94	1343.57	1392.07	-31296.43	10992.07	87
1987	24202	138x94	1475.0	1174.19	-33085.0	10774.19	55.63
1987	24202	138x94	438.6	1374.16	-34121.4	10974.16	87.07
1987	24201	137x94	474.34	1370.78	-36005.66	10970.78	63.27
1987	24457	137x95	1427.17	131.2	-35052.83	11651.2	67.96
1987	24457	137x95	904.77	1289.19	-35575.23	12809.19	22.58
1987	24457	137x95	1630.66	1247.05	-34849.34	12767.05	47.29
1987	24458	138x95	1292.97	467.12	-33267.03	11987.12	82
1987	24459	139x95	415.83	410.73	-32224.17	11930.73	130.26
1987	24459	139x95	117.21	1055.45	-32522.79	12575.45	96.27
1987	24458	138x95	1397.62	1582.01	-33162.38	13102.01	-5
1987	24713	137x96	1712.3	957.25	-34767.7	14397.25	32
1987	24715	139x96	517.95	1051.61	-32122.05	14491.61	140.84
1987	24715	139x96	1045.9	1796.34	-31594.1	15236.34	276.4
1987	24971	139x97	405.35	541.72	-32234.65	15901.72	453.05
1987	24714	138x96	1508.38	1733.55	-33051.62	15173.55	316.46
1987	24713	137x96	1796.82	1858.79	-34683.18	15298.79	81
1987	24713	137x96	631.03	1812.85	-35848.97	15252.85	-5
1987	24969	137x97	1747.42	783.19	-34732.58	16143.19	-1.6
1987	25225	137x98	1558.81	262.65	-34921.19	17542.65	0.17
1987	25226	138x98	43.71	1077.13	-34516.29	18357.13	53.66
1987	24714	138x96	46.44	287.6	-34513.56	13727.6	43.11
1987	24968	136x97	219.18	950.6	-38180.82	16310.6	0
1987	25225	137x98	474.04	809.87	-36005.96	18089.87	134
1987	24969	137x97	1599.22	1448.94	-34880.78	16808.94	37.97
1987	24715	139x96	281.08	283.63	-32358.92	13723.63	146.47
1987	24714	138x96	834.93	684.07	-33725.07	14124.07	40
1987	24457	137x95	1098.84	685.48	-35381.16	12205.48	-36.87
1987	24457	137x95	651.07	313.44	-35828.93	11833.44	-10.09
1987	24458	138x95	397.76	159.57	-34162.24	11679.57	62
1987	24203	139x94	392.54	1769.66	-32247.46	11369.66	104
1987	24201	137x94	1633.31	365.74	-34846.69	9965.74	87.09
1987	23945	137x93	1767.67	1686.32	-34712.33	9366.32	88.81
1987	23946	138x93	811.4	655.15	-33748.6	8335.15	24.98
1987	23433	137x91	1612.94	1232.79	-34867.06	5072.79	58.75
1987	24971	139x97	1248.4	792.94	-31391.6	16152.94	502.94
