refid	region	sector	local_x	local_z	world_x	world_z	height
1991	24197	133x94	1119.73	480.52	-43040.27	10080.52	70.24
1991	24197	133x94	402.71	996.96	-43757.29	10596.96	215.81
1991	24452	132x95	1203.05	171.42	-44876.95	11691.42	551.42
1991	24196	132x94	560.29	1290.56	-45519.71	10890.56	811.74
1991	23427	131x91	412.34	1538.52	-47587.66	5378.52	1300.94
1991	23174	134x90	235.89	1042.03	-42004.11	2962.03	273.6
1991	23683	131x92	1591.27	1044.09	-46408.73	6804.09	1154.96
1991	23684	132x92	278.22	1485.36	-45801.78	7245.36	1037.56
1991	23684	132x92	1085.18	992.8	-44994.82	6752.8	941.61
1991	23684	132x92	1802.23	798.99	-44277.77	6558.99	791.51
1991	23940	132x93	1450.26	242.42	-44629.74	7922.42	863.32
1991	23940	132x93	836.82	554.69	-45243.18	8234.69	836.22
1991	23173	133x90	1558.84	1497.93	-42601.16	3417.93	287.96
1991	22917	133x89	10.9	550.4	-44149.1	550.4	1349.57
1991	22917	133x89	721.16	991.61	-43438.84	991.61	1193.31
1991	23171	131x90	792.84	836.95	-47207.16	2756.95	1500.76
1991	23939	131x93	326.94	573.87	-47673.06	8253.87	1191.79
1991	23939	131x93	549.49	1702.46	-47450.51	9382.46	1289.59
1991	24195	131x94	1178.15	788.3	-46821.85	10388.3	1253.01
1991	24451	131x95	1178.25	1398.93	-46821.75	12918.93	1445.71
1991	24707	131x96	438.67	345.91	-47561.33	13785.91	1455.09
1991	24451	131x95	58.14	1255.35	-47941.86	12775.35	1554.69
1991	24450	130x95	1101.99	372.31	-48818.01	11892.31	1531.59
