refid	region	sector	local_x	local_z	world_x	world_z	height
1990	24713	137x96	955.98	336.9	-35524.02	13776.9	41.3
1990	24458	138x95	495.3	885.07	-34064.7	12405.07	83
1990	24714	138x96	549.0	104.4	-34011.0	13544.4	48
1990	24714	138x96	1590.04	700.06	-32969.96	14140.06	-5
1990	24714	138x96	704.15	1578.81	-33855.85	15018.81	128
1990	24969	137x97	759.71	721.79	-35720.29	16081.79	0
1990	24968	136x97	1556.04	261.66	-36843.96	15621.66	80.71
1990	24968	136x97	1051.62	811.56	-37348.38	16171.56	100
1990	25224	136x98	394.68	568.61	-38005.32	17848.61	70
1990	25225	137x98	1265.64	740.03	-35214.36	18020.03	103
1990	25224	136x98	1300.49	675.53	-37099.51	17955.53	92
1990	24968	136x97	1769.74	1893.7	-36630.26	17253.7	0
1990	24969	137x97	1310.53	351.3	-35169.47	15711.3	0
1990	24968	136x97	178.38	1583.59	-38221.62	16943.59	0.04
1990	25223	135x98	637.35	917.01	-39682.65	18197.01	152.37
1990	24967	135x97	604.95	1089.86	-39715.05	16449.86	83
1990	24710	134x96	1431.4	1448.81	-40808.6	14888.81	130
1990	24709	133x96	1603.35	1263.25	-42556.65	14703.25	127.48
1990	24965	133x97	850.39	823.8	-43309.61	16183.8	98.46
1990	24966	134x97	210.19	1775.8	-42029.81	17135.8	64.32
1990	24966	134x97	663.89	160.12	-41576.11	15520.12	-6.62
1990	24966	134x97	1186.57	1391.81	-41053.43	16751.81	110
1990	23689	137x92	1612.88	65.86	-34867.12	5825.86	68.55
1990	23434	138x91	245.07	1174.88	-34314.93	5014.88	67.93
1990	23433	137x91	1007.07	1333.19	-35472.93	5173.19	112.53
1990	23177	137x90	609.79	706.52	-35870.21	2626.52	133.84
1990	23177	137x90	159.16	1368.69	-36320.84	3288.69	120.95
1990	23177	137x90	578.62	41.54	-35901.38	1961.54	32.72
1990	22920	136x89	471.63	1567.74	-37928.37	1567.74	29.81
1990	22919	135x89	1064.96	1189.67	-39255.04	1189.67	90.46
1990	22919	135x89	1828.41	1851.12	-38491.59	1851.12	10.72
1990	23176	136x90	826.8	369.13	-37573.2	2289.13	76.8
1990	23176	136x90	1596.51	501.67	-36803.49	2421.67	143.85
1990	24969	137x97	849.16	1354.57	-35630.84	16714.57	142
1990	23177	137x90	1630.42	200.1	-34849.58	2120.1	-65
1990	23174	134x90	213.13	38.33	-42026.87	1958.33	262.05
1990	23689	137x92	1841.33	1656.34	-34638.67	7416.34	37.55
1990	23945	137x93	1364.88	776.41	-35115.12	8456.41	31.48
1990	23945	137x93	563.98	1901.92	-35916.02	9581.92	21.09
1990	24456	136x95	1645.9	1668.42	-36754.1	13188.42	-224.89
1990	24712	136x96	1719.25	979.18	-36680.75	14419.18	-6.54
1990	24712	136x96	736.4	1349.03	-37663.6	14789.03	-5.47
1990	23175	135x90	1560.72	425.92	-38759.28	2345.92	43.29
1990	24710	134x96	498.43	1007.44	-41741.57	14447.44	13.59
