refid	region	sector	local_x	local_z	world_x	world_z	height
1980	23697	145x92	1734.82	1554.07	-19385.18	7314.07	1090
1980	23953	145x93	1919.4	414.28	-19200.6	8094.28	1100
1980	23953	145x93	1108.55	1207.35	-20011.45	8887.35	1100
1980	23954	146x93	634.52	1745.28	-18565.48	9425.28	1100
1980	24210	146x94	984.75	618.42	-18215.25	10218.42	1123
1980	24210	146x94	1661.8	981.09	-17538.2	10581.09	1155
1980	24211	147x94	388.57	573.6	-16891.43	10173.6	1100
1980	23957	149x93	618.98	1704.5	-12821.02	9384.5	955.86
1980	24213	149x94	454.52	291.6	-12985.48	9891.6	1084.09
1980	24212	148x94	1505.9	122.62	-13854.1	9722.62	1073.75
1980	24212	148x94	740.39	765.84	-14619.61	10365.84	1099.45
1980	24212	148x94	118.25	1074.88	-15241.75	10674.88	1100
1980	24211	147x94	1535.04	1703.61	-15744.96	11303.61	1094.14
1980	24211	147x94	872.95	1371.29	-16407.05	10971.29	1098.54
1980	24211	147x94	492.67	1062.96	-16787.33	10662.96	1100
1980	24211	147x94	1323.33	900.18	-15956.67	10500.18	1100
1980	24467	147x95	1917.98	504.9	-15362.02	12024.9	1099.54
1980	24468	148x95	723.65	340.89	-14636.35	11860.89	1100
1980	24212	148x94	1254.66	1802.94	-14105.34	11402.94	1097.74
1980	24212	148x94	1844.65	1332.38	-13515.35	10932.38	1094.04
1980	24213	149x94	699.65	1028.3	-12740.35	10628.3	1080.51
1980	24724	148x96	1283.06	699.01	-14076.94	14139.01	1097.79
1980	24724	148x96	1211.27	254.28	-14148.73	13694.28	1072.94
1980	24468	148x95	1190.84	1491.3	-14169.16	13011.3	1073.8
1980	24468	148x95	1245.65	735.29	-14114.35	12255.29	1069.79
1980	24469	149x95	132.78	317.25	-13307.22	11837.25	1148.77
1980	24213	149x94	747.01	1704.72	-12692.99	11304.72	1131.14
1980	24213	149x94	1400.71	770.41	-12039.29	10370.41	1131.06
1980	24213	149x94	1886.44	158.79	-11553.56	9758.79	1089.39
1980	24213	149x94	1369.81	44.65	-12070.19	9644.65	989.68
1980	23958	150x93	318.73	1504.27	-11201.27	9184.27	943.36
1980	23958	150x93	908.47	1082.72	-10611.53	8762.72	956.49
1980	23443	147x91	1101.7	1612.33	-16178.3	5452.33	289.75
1980	23444	148x91	984.83	767.26	-14375.17	4607.26	668.03
1980	23444	148x91	610.12	1357.92	-14749.88	5197.92	625.38
1980	23700	148x92	1619.15	806.21	-13740.85	6566.21	386.93
1980	23701	149x92	321.61	1201.11	-13118.39	6961.11	295.15
1980	23445	149x91	791.19	1703.0	-12648.81	5543.0	363.54
1980	23445	149x91	1387.25	1919.18	-12052.75	5759.18	919.57
1980	23699	147x92	1324.41	0.81	-15955.59	5760.81	699.16
1980	23700	148x92	290.41	690.46	-15069.59	6450.46	362.97
1980	23444	148x91	1409.62	1402.35	-13950.38	5242.35	629.26
1980	23699	147x92	1919.81	1487.91	-15360.19	7247.91	218.99
1980	23698	146x92	999.91	106.4	-18200.09	5866.4	765.58
1980	23956	148x93	942.47	810.8	-14417.53	8490.8	767.15
