refid	region	sector	local_x	local_z	world_x	world_z	height
1981	24463	143x95	351.36	1543.43	-24608.64	13063.43	1093.51
1981	24463	143x95	389.26	1137.59	-24570.74	12657.59	1102.44
1981	24463	143x95	977.41	1361.49	-23982.59	12881.49	1045.94
1981	24463	143x95	1086.58	565.59	-23873.42	12085.59	1085.36
1981	24463	143x95	1602.69	896.42	-23357.31	12416.42	1034.11
1981	24463	143x95	1731.71	30.44	-23228.29	11550.44	1068.39
1981	24208	144x94	7.28	1159.7	-23032.72	10759.7	1107.6
1981	24208	144x94	317.99	488.76	-22722.01	10088.76	1102.3
1981	24207	143x94	1731.58	236.94	-23228.42	9836.94	1069.52
1981	23952	144x93	155.5	1363.18	-22884.5	9043.18	1168.89
1981	23952	144x93	256.83	652.83	-22783.17	8332.83	1241.77
1981	23696	144x92	15.48	1686.56	-23024.52	7446.56	1121.82
1981	24464	144x95	343.79	512.82	-22696.21	12032.82	1046.78
1981	24464	144x95	872.02	1213.42	-22167.98	12733.42	949.51
1981	24464	144x95	846.67	1889.8	-22193.33	13409.8	971.11
1981	24720	144x96	1478.72	267.95	-21561.28	13707.95	986.8
1981	24721	145x96	16.51	781.38	-21103.49	14221.38	1008.29
1981	24721	145x96	296.16	1364.04	-20823.84	14804.04	1075.84
1981	24721	145x96	655.29	65.7	-20464.71	13505.7	961.64
1981	24465	145x95	34.88	1357.6	-21085.12	12877.6	1009.96
1981	24464	144x95	1816.53	619.1	-21223.47	12139.1	1044.92
1981	24465	145x95	1062.8	1351.17	-20057.2	12871.17	1019.8
1981	24465	145x95	1693.51	1748.56	-19426.49	13268.56	952.95
1981	24466	146x95	648.71	1902.08	-18551.29	13422.08	919.02
1981	24722	146x96	254.53	825.35	-18945.47	14265.35	955.25
1981	24978	146x97	997.01	286.62	-18202.99	15646.62	746.41
1981	24722	146x96	1086.91	957.53	-18113.09	14397.53	862.46
1981	24466	146x95	1072.13	1322.98	-18127.87	12842.98	1012.38
1981	24208	144x94	520.26	1107.28	-22519.74	10707.28	1108.92
1981	23699	147x92	1106.0	466.45	-16174.0	6226.45	754.39
1981	23443	147x91	1178.16	746.57	-16101.84	4586.57	292.71
1981	23444	148x91	0.85	485.44	-15359.15	4325.44	250.47
1981	23444	148x91	1473.83	513.16	-13886.17	4353.16	295.85
1981	23700	148x92	947.43	1152.66	-14412.57	6912.66	825.53
1981	23445	149x91	208.65	859.33	-13231.35	4699.33	552.58
1981	23701	149x92	132.33	17.36	-13307.67	5777.36	830.12
1981	23700	148x92	1451.01	1411.0	-13908.99	7171.0	277.89
1981	23701	149x92	261.98	645.82	-13178.02	6405.82	611.12
1981	23701	149x92	1060.35	367.34	-12379.65	6127.34	423.68
1981	23445	149x91	1287.61	1269.39	-12152.39	5109.39	294.85
1981	23445	149x91	1026.13	1010.86	-12413.87	4850.86	285.97
1981	23443	147x91	1822.28	1469.0	-15457.72	5309.0	232.4
1981	23699	147x92	948.68	25.77	-16331.32	5785.77	329.58
1981	23701	149x92	1486.92	981.65	-11953.08	6741.65	477.11
1981	24465	145x95	1906.69	873.19	-19213.31	12393.19	1035.23
1981	23699	147x92	851.56	1407.88	-16428.44	7167.88	223.62
1981	24467	147x95	0.63	1583.03	-17279.37	13103.03	1095.52
